ENTRY            O2533   20220218                             O089O2533  0    1 
SUBENT        O2533001   20220218                             O089O2533  1    1 
BIB                 12         35                                 O2533  1    2 
TITLE      Study of differential cross-sections of the            O2533  1    3 
            14N(d,alpha0,p0,alpha1) reactions suitable for NRA    O2533  1    4 
AUTHOR     (M.Kokkoris, X.Aslanoglou, M.Axiotis, A.Lagoyannis,    O2533  1    5 
            K.Michalakis, P.Misaelides, E.Ntemou, N.Patronis,     O2533  1    6 
            K.Preketes-Sigalas, P.Tsintari)                       O2533  1    7 
INSTITUTE  (2GRCTUA,2GRCIOA,2GRCATH,2GRCARU)                      O2533  1    8 
           (1USAUSA) Central Michigan University, Mt Pleasant,    O2533  1    9 
           Michigan                                               O2533  1   10 
REFERENCE  (J,NIM/B,450,31,2019)                                  O2533  1   11 
           #doi:10.1016/j.nimb.2018.08.034                        O2533  1   12 
FACILITY   (VDGT,2GRCATH)                                         O2533  1   13 
METHOD     (BCINT)                                                O2533  1   14 
DETECTOR   (SIBAR) Three Si surface barrier detectors with        O2533  1   15 
           thickness of 1000-2000 um; set at 10 degree            O2533  1   16 
           intervals. The subtended solid angles for all three    O2533  1   17 
           SSB detectors varied between 3.5 and 4 msr.            O2533  1   18 
SAMPLE     Ultra-thin, high-purity silicon nitrite membrane       O2533  1   19 
           self-supporting target, having a nominal thickness of  O2533  1   20 
           75 nm. The determination of the target stoichiometry   O2533  1   21 
           and Si:N ratio were accomplished via the analysis of   O2533  1   22 
           proton EBS spectra taken at Ep,lab = 980, 1200 and     O2533  1   23 
           1300 keV.                                              O2533  1   24 
MONITOR    (14-SI-28(D,EL)14-SI-28,,DA,,RTH)                      O2533  1   25 
ERR-ANALYS (ERR-T) The total experimental uncertainty was         O2533  1   26 
           calculated by standard error propagation based on the  O2533  1   27 
           following partial uncertainties:                       O2533  1   28 
           (ERR-S,,8.) statistical uncertainty of the studied     O2533  1   29 
           reaction yield                                         O2533  1   30 
           (ERR-1,,1.) statistical error in deuteron elastic      O2533  1   31 
           scattering from silicon                                O2533  1   32 
           (ERR-2,,5.) total uncertainty of the Si:Ni ratio       O2533  1   33 
           (ERR-3,3.,5.) uncertainty of the integrated beam       O2533  1   34 
           induced charge.                                        O2533  1   35 
STATUS     (APRVD) Approved by M.Kokkoris, 1 March 2022.          O2533  1   36 
HISTORY    (20220218C) VS.                                        O2533  1   37 
ENDBIB              35          0                                 O2533  1   38 
COMMON               1          3                                 O2533  1   39 
EN-NRM                                                            O2533  1   40 
KEV                                                               O2533  1   41 
       900.                                                       O2533  1   42 
ENDCOMMON            3          0                                 O2533  1   43 
ENDSUBENT           42          0                                 O2533  199999 
SUBENT        O2533002   20220218                             O089O2533  2    1 
BIB                  2          4                                 O2533  2    2 
REACTION   (7-N-14(D,A)6-C-12,PAR,DA)                             O2533  2    3 
STATUS     (TABLE) Tables 1 and 3 of                              O2533  2    4 
           Nucl.Instrum.Method Phys.Res.B450(2019)31              O2533  2    5 
           Converted by R33toX4 from R33 files                    O2533  2    6 
ENDBIB               4          0                                 O2533  2    7 
COMMON               1          3                                 O2533  2    8 
EN-ERR                                                            O2533  2    9 
KEV                                                               O2533  2   10 
 2.0                                                              O2533  2   11 
ENDCOMMON            3          0                                 O2533  2   12 
DATA                 5        262                                 O2533  2   13 
Q-VAL      ANG        EN         DATA       ERR-T                 O2533  2   14 
KEV        ADEG       KEV        MB/SR      MB/SR                 O2533  2   15 
     9135.0       145.      902.4       1.15       0.06           O2533  2   16 
     9135.0       145.      952.5       1.27       0.06           O2533  2   17 
     9135.0       145.     1002.6       1.35       0.07           O2533  2   18 
     9135.0       145.     1052.7       1.66       0.08           O2533  2   19 
     9135.0       145.     1102.8       1.72       0.09           O2533  2   20 
     9135.0       145.     1152.9       1.72       0.09           O2533  2   21 
     9135.0       145.     1203.0       1.71       0.09           O2533  2   22 
     9135.0       145.     1253.1       1.68       0.10           O2533  2   23 
     9135.0       145.     1303.2       1.55       0.09           O2533  2   24 
     9135.0       145.     1353.3       1.72       0.10           O2533  2   25 
     9135.0       145.     1403.4       1.71       0.09           O2533  2   26 
     9135.0       145.     1453.4       1.72       0.09           O2533  2   27 
     9135.0       145.     1503.5       1.92       0.10           O2533  2   28 
     9135.0       145.     1553.6       1.96       0.10           O2533  2   29 
     9135.0       145.     1603.6       2.34       0.13           O2533  2   30 
     9135.0       145.     1653.7       2.58       0.14           O2533  2   31 
     9135.0       145.     1703.7       2.71       0.14           O2533  2   32 
     9135.0       145.     1753.8       2.74       0.14           O2533  2   33 
     9135.0       145.     1803.8       2.87       0.15           O2533  2   34 
     9135.0       145.     1853.9       3.08       0.16           O2533  2   35 
     9135.0       145.     1903.9       3.08       0.16           O2533  2   36 
     9135.0       145.     1954.0       3.08       0.16           O2533  2   37 
     9135.0       145.     2004.0       2.98       0.15           O2533  2   38 
     9135.0       150.      902.4       1.43       0.08           O2533  2   39 
     9135.0       150.      952.5       1.55       0.08           O2533  2   40 
     9135.0       150.     1002.6       1.78       0.09           O2533  2   41 
     9135.0       150.     1102.8       2.10       0.11           O2533  2   42 
     9135.0       150.     1152.9       2.11       0.11           O2533  2   43 
     9135.0       150.     1253.1       1.98       0.10           O2533  2   44 
     9135.0       150.     1303.2       1.88       0.10           O2533  2   45 
     9135.0       150.     1353.3       1.98       0.10           O2533  2   46 
     9135.0       150.     1403.4       2.02       0.10           O2533  2   47 
     9135.0       150.     1453.4       2.25       0.11           O2533  2   48 
     9135.0       150.     1503.5       2.53       0.13           O2533  2   49 
     9135.0       150.     1553.6       2.39       0.12           O2533  2   50 
     9135.0       150.     1603.6       2.84       0.14           O2533  2   51 
     9135.0       150.     1653.7       3.17       0.17           O2533  2   52 
     9135.0       150.     1703.7       3.49       0.18           O2533  2   53 
     9135.0       150.     1753.8       3.63       0.19           O2533  2   54 
     9135.0       150.     1853.9       3.93       0.20           O2533  2   55 
     9135.0       150.     1903.9       4.11       0.20           O2533  2   56 
     9135.0       150.     1954.0       4.23       0.21           O2533  2   57 
     9135.0       150.     2004.0       3.83       0.19           O2533  2   58 
     9135.0       155.      902.4       1.34       0.09           O2533  2   59 
     9135.0       155.      952.5       1.46       0.10           O2533  2   60 
     9135.0       155.     1002.6       1.60       0.11           O2533  2   61 
     9135.0       155.     1052.7       2.11       0.15           O2533  2   62 
     9135.0       155.     1102.8       2.11       0.15           O2533  2   63 
     9135.0       155.     1152.9       2.18       0.15           O2533  2   64 
     9135.0       155.     1203.0       2.12       0.15           O2533  2   65 
     9135.0       155.     1253.1       2.36       0.17           O2533  2   66 
     9135.0       155.     1303.2       2.04       0.15           O2533  2   67 
     9135.0       155.     1353.3       2.44       0.17           O2533  2   68 
     9135.0       155.     1403.4       2.47       0.17           O2533  2   69 
     9135.0       155.     1453.4       2.64       0.19           O2533  2   70 
     9135.0       155.     1503.5       2.91       0.21           O2533  2   71 
     9135.0       155.     1553.6       2.35       0.17           O2533  2   72 
     9135.0       155.     1603.6       3.07       0.21           O2533  2   73 
     9135.0       155.     1653.7       3.01       0.21           O2533  2   74 
     9135.0       155.     1703.7       3.42       0.24           O2533  2   75 
     9135.0       155.     1753.8       3.37       0.24           O2533  2   76 
     9135.0       155.     1803.8       3.57       0.25           O2533  2   77 
     9135.0       155.     1853.9       3.71       0.26           O2533  2   78 
     9135.0       155.     1903.9       3.61       0.25           O2533  2   79 
     9135.0       155.     1954.0       3.73       0.26           O2533  2   80 
     9135.0       155.     2004.0       3.52       0.25           O2533  2   81 
     9135.0       160.      902.4       1.39       0.10           O2533  2   82 
     9135.0       160.      952.5       1.69       0.12           O2533  2   83 
     9135.0       160.     1002.6       1.84       0.13           O2533  2   84 
     9135.0       160.     1102.8       2.29       0.16           O2533  2   85 
     9135.0       160.     1152.9       2.27       0.16           O2533  2   86 
     9135.0       160.     1253.1       2.18       0.15           O2533  2   87 
     9135.0       160.     1303.2       2.03       0.14           O2533  2   88 
     9135.0       160.     1353.3       2.14       0.15           O2533  2   89 
     9135.0       160.     1403.4       2.21       0.15           O2533  2   90 
     9135.0       160.     1453.4       2.48       0.17           O2533  2   91 
     9135.0       160.     1503.5       2.79       0.19           O2533  2   92 
     9135.0       160.     1553.6       2.86       0.20           O2533  2   93 
     9135.0       160.     1603.6       3.24       0.22           O2533  2   94 
     9135.0       160.     1653.7       3.76       0.26           O2533  2   95 
     9135.0       160.     1703.7       3.91       0.27           O2533  2   96 
     9135.0       160.     1753.8       4.09       0.28           O2533  2   97 
     9135.0       160.     1803.8       4.07       0.28           O2533  2   98 
     9135.0       160.     1853.9       4.50       0.31           O2533  2   99 
     9135.0       160.     1903.9       4.54       0.31           O2533  2  100 
     9135.0       160.     1954.0       4.50       0.31           O2533  2  101 
     9135.0       160.     2004.0       4.24       0.29           O2533  2  102 
     9135.0       165.      902.4       1.51       0.08           O2533  2  103 
     9135.0       165.      952.5       1.57       0.08           O2533  2  104 
     9135.0       165.     1002.6       1.56       0.08           O2533  2  105 
     9135.0       165.     1052.7       2.14       0.10           O2533  2  106 
     9135.0       165.     1102.8       2.18       0.11           O2533  2  107 
     9135.0       165.     1152.9       2.15       0.11           O2533  2  108 
     9135.0       165.     1203.0       2.02       0.11           O2533  2  109 
     9135.0       165.     1253.1       2.18       0.11           O2533  2  110 
     9135.0       165.     1303.2       2.02       0.11           O2533  2  111 
     9135.0       165.     1353.3       2.00       0.11           O2533  2  112 
     9135.0       165.     1403.4       2.30       0.13           O2533  2  113 
     9135.0       165.     1453.4       2.39       0.13           O2533  2  114 
     9135.0       165.     1503.5       2.67       0.14           O2533  2  115 
     9135.0       165.     1553.6       2.67       0.14           O2533  2  116 
     9135.0       165.     1603.6       2.95       0.15           O2533  2  117 
     9135.0       165.     1653.7       3.63       0.18           O2533  2  118 
     9135.0       165.     1703.7       3.83       0.20           O2533  2  119 
     9135.0       165.     1753.8       3.88       0.20           O2533  2  120 
     9135.0       165.     1803.8       3.79       0.19           O2533  2  121 
     9135.0       165.     1853.9       4.20       0.21           O2533  2  122 
     9135.0       165.     1903.9       4.27       0.21           O2533  2  123 
     9135.0       165.     1954.0       4.12       0.21           O2533  2  124 
     9135.0       165.     2004.0       3.79       0.19           O2533  2  125 
     9135.0       170.      902.4       1.58       0.07           O2533  2  126 
     9135.0       170.      952.5       1.78       0.08           O2533  2  127 
     9135.0       170.     1002.6       1.87       0.08           O2533  2  128 
     9135.0       170.     1102.8       2.22       0.09           O2533  2  129 
     9135.0       170.     1152.9       2.30       0.10           O2533  2  130 
     9135.0       170.     1253.1       2.22       0.09           O2533  2  131 
     9135.0       170.     1303.2       2.12       0.09           O2533  2  132 
     9135.0       170.     1353.3       2.12       0.09           O2533  2  133 
     9135.0       170.     1403.4       2.40       0.10           O2533  2  134 
     9135.0       170.     1453.4       2.67       0.11           O2533  2  135 
     9135.0       170.     1503.5       2.98       0.12           O2533  2  136 
     9135.0       170.     1553.6       2.82       0.12           O2533  2  137 
     9135.0       170.     1603.6       3.41       0.14           O2533  2  138 
     9135.0       170.     1653.7       3.95       0.17           O2533  2  139 
     9135.0       170.     1703.7       3.99       0.16           O2533  2  140 
     9135.0       170.     1753.8       4.23       0.18           O2533  2  141 
     9135.0       170.     1803.8       4.37       0.18           O2533  2  142 
     9135.0       170.     1853.9       4.41       0.18           O2533  2  143 
     9135.0       170.     1903.9       4.85       0.20           O2533  2  144 
     9135.0       170.     1954.0       4.73       0.19           O2533  2  145 
     9135.0       170.     2004.0       4.24       0.17           O2533  2  146 
    13574.0       145.      902.4      0.096      0.010           O2533  2  147 
    13574.0       145.      952.5      0.086      0.010           O2533  2  148 
    13574.0       145.     1002.6      0.090      0.010           O2533  2  149 
    13574.0       145.     1052.7      0.114      0.012           O2533  2  150 
    13574.0       145.     1102.8      0.249      0.019           O2533  2  151 
    13574.0       145.     1152.9       0.29      0.021           O2533  2  152 
    13574.0       145.     1203.0       0.53       0.04           O2533  2  153 
