ENTRY            O1034   20030324                             0000O103400000001 
SUBENT        O1034001   20030324                             0000O103400100001 
BIB                 12         15                                 O103400100002 
TITLE      The Na-23(d,a)Ne-21 reaction at low energies.          O103400100003 
AUTHOR     (S.L.Huang, Y.C.Liu)                                   O103400100004 
INSTITUTE  (3CHFTHU)                                              O103400100005 
REFERENCE  (J,CHP,11,105,1973)                                    O103400100006 
HISTORY    (20030213C)                                            O103400100007 
           (20030324U) Last checking has been done.               O103400100008 
ADD-RES    (COMP) The Hauser-Feshbach theory.                     O103400100009 
           (POT)                                                  O103400100010 
SAMPLE     The targets were prepared by evaporating of Na-23 on   O103400100011 
           thin carbon foils in the target chamber.               O103400100012 
DETECTOR   (SIBAR)                                                O103400100013 
FACILITY   (VDG,3CHFTHU) 3-MeV Van de Graaff accelerator.         O103400100014 
METHOD     (BCINT)                                                O103400100015 
PART-DET   (A)                                                    O103400100016 
STATUS     (CURVE).By CAJAD.                                      O103400100017 
ENDBIB              15          0                                 O103400100018 
NOCOMMON             0          0                                 O103400100019 
ENDSUBENT           18          0                                 O103400199999 
SUBENT        O1034002   20030324                             0000O103400200001 
BIB                  4          8                                 O103400200002 
REACTION   (11-NA-23(D,A)10-NE-21,PAR,DA,,REL/RAW)  Fig.3         O103400200003 
EN-SEC     (E-EXC,10-NE-21)                                       O103400200004 
ERR-ANALYS (ERR-T).The uncertainty is shown by authors on figure  O103400200005 
           without any analysis.                                  O103400200006 
           (EN-ERR-DIG) Data-point reader uncertainty.            O103400200007 
COMMENT    - By authors. Assuming a Gaussian distribution, the    O103400200008 
           overlapping alpha groups have been resolved by a       O103400200009 
           nonlinear least square fitting technique.              O103400200010 
ENDBIB               8          0                                 O103400200011 
COMMON               2          3                                 O103400200012 
ANG        EN-ERR-DIG                                             O103400200013 
ADEG       MEV                                                    O103400200014 
       160.      0.003                                            O103400200015 
ENDCOMMON            3          0                                 O103400200016 
DATA                 4        178                                 O103400200017 
EN         E-EXC      DATA       ERR-T                            O103400200018 
MEV        MEV        ARB-UNITS  ARB-UNITS                        O103400200019 
      1.996       3.89       148.        13.                      O103400200020 
      2.007       3.89       148.        12.                      O103400200021 
      2.023      2.797       348.        15.                      O103400200022 
      2.032       3.89       176.        13.                      O103400200023 
      2.036       0.35       489.        22.                      O103400200024 
      2.039      2.797       382.        18.                      O103400200025 
      2.041       3.66       461.        20.                      O103400200026 
      2.049       3.89       186.        13.                      O103400200027 
       2.05         0.       260.        12.                      O103400200028 
      2.051       0.35       487.        21.                      O103400200029 
      2.052      1.747       244.        14.                      O103400200030 
      2.056      2.797       346.        17.                      O103400200031 
       2.06       3.66       447.        17.                      O103400200032 
      2.067         0.       260.        14.                      O103400200033 
      2.069      1.747       259.        13.                      O103400200034 
      2.071       0.35       547.        28.                      O103400200035 
      2.072       3.89       195.        12.                      O103400200036 
      2.077      2.797       365.        15.                      O103400200037 
      2.087      1.747       283.        15.                      O103400200038 
      2.088       3.66       365.        20.                      O103400200039 
      2.089       3.89       199.        13.                      O103400200040 
       2.09         0.       271.        16.                      O103400200041 
      2.092       0.35       526.        18.                      O103400200042 
      2.097      2.797       432.        19.                      O103400200043 
      2.102       3.66       321.        17.                      O103400200044 
      2.109       3.89       195.        13.                      O103400200045 
       2.11         0.       226.        12.                      O103400200046 
      2.111      1.747       307.        13.                      O103400200047 
      2.112       0.35       443.        21.                      O103400200048 
      2.121      2.797       439.        22.                      O103400200049 
      2.122       3.66       294.        14.                      O103400200050 
      2.128         0.       256.        13.                      O103400200051 
       2.13      1.747       316.        12.                      O103400200052 
      2.133       3.89       245.        13.                      O103400200053 
      2.134       0.35       372.        16.                      O103400200054 
       2.14      2.797       498.        20.                      O103400200055 
      2.144       3.66       353.        18.                      O103400200056 
      2.147       3.89       218.        11.                      O103400200057 
      2.148         0.       258.        14.                      O103400200058 
      2.149       0.35       347.        15.                      O103400200059 
      2.153      1.747       292.        14.                      O103400200060 
      2.159      2.797       477.        19.                      O103400200061 
      2.163       3.66       359.        19.                      O103400200062 
      2.169       3.89       227.        15.                      O103400200063 
       2.17         0.       308.        19.                      O103400200064 
      2.171      1.747       299.        12.                      O103400200065 
      2.172       0.35       347.        14.                      O103400200066 
       2.18      2.797       502.        22.                      O103400200067 
      2.184       3.66       445.        21.                      O103400200068 
      2.188         0.       261.        13.                      O103400200069 
      2.189       3.89       326.        17.                      O103400200070 
      2.194      1.747       263.        15.                      O103400200071 
      2.195       0.35       351.        16.                      O103400200072 
