ENTRY            O1876   20120613                             O048O187600000001 
SUBENT        O1876001   20120613                             O048O187600100001 
BIB                 10         30                                 O187600100002 
TITLE      Differential cross sections for the B-11(p,a)Be-8 and  O187600100003 
           B-11(p,p)B-11 reactions, suitable for ion beam analysisO187600100004 
AUTHOR     (M.Kokkoris, A.Kafkarkou, V.Paneta, R.Vlastou,         O187600100005 
           P.Misaelides, A.Lagoyannis)                            O187600100006 
INSTITUTE  (2GRCTUA)                                              O187600100007 
           (2GRCARU)                                              O187600100008 
           (2GRCATH)                                              O187600100009 
REFERENCE  (J,NIM/B,268,3539,2010)                                O187600100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV TN11 Tandem Accelerator of       O187600100011 
           N.C.S.R. 'Demokritos', Athens, Greece                  O187600100012 
SAMPLE     (5-B-11,ENR=0.99) A highly pure (>99.9%),isotopically  O187600100013 
           enriched, approx.99%, B-11 target deposited on a mirrorO187600100014 
           polished  thick tantalum backing was used for the      O187600100015 
           experiments. The target  had an active surface of      O187600100016 
           1*1 cm**2, and the nominal thickness was reported      O187600100017 
                                          as 323 mug/cm**22.      O187600100018 
DETECTOR   (SIBAR) The detection system consisted of four Si      O187600100019 
           surface barrier detectors (Thickness: 1000 mum,        O187600100020 
           set at 10 ang. intervals) along with the               O187600100021 
           corresponding electronics.                             O187600100022 
ERR-ANALYS (ERR-T).The total estimated error is reported by authorO187600100023 
           in tables-varied between 3-4% (pending on the detector)O187600100024 
           The statistical error from peak integration also variedO187600100025 
           between approx.1-5%.                                   O187600100026 
           (ERR-1,,3.5).The error in target thickness.            O187600100027 
           (EN-ERR).The error is reported by authors in tables.   O187600100028 
STATUS     (TABLE).Table 1,2 of J,NIM/B,268,3539,2010             O187600100029 
HISTORY    (20101208C) SB                                         O187600100030 
           (20120613A) SD: SF5=PAR was added to REACTION code in  O187600100031 
            and E-LVL=0 was added to COMMON in Subent 3           O187600100032 
ENDBIB              30          0                                 O187600100033 
NOCOMMON             0          0                                 O187600100034 
ENDSUBENT           33          0                                 O187600199999 
SUBENT        O1876002   20101209                             O044O187600200001 
BIB                  4          8                                 O187600200002 
REACTION   (5-B-11(P,EL)5-B-11,,DA)                               O187600200003 
STATUS     (TABLE).TABLE 1 of J,NIM/B,268,3539,2010               O187600200004 
REL-REF    (A,O0922002,M.Chiari+,J,NIM/B,184,309,2001)            O187600200005 
ERR-ANALYS (ERR-S,4.0,5.0).The combined statistical errors,       O187600200006 
           varying between 4-5%, pending on the detector/angle    O187600200007 
           combination, included uncertainties in the product     O187600200008 
           Q*Omega and in peak integration, including counting    O187600200009 
           statistics and background subtraction.                 O187600200010 
ENDBIB               8          0                                 O187600200011 
NOCOMMON             0          0                                 O187600200012 
DATA                 5        246                                 O187600200013 
ANG        EN         EN-ERR     DATA       ERR-T                 O187600200014 
140.       3383.      10.        1.010      0.060                 O187600300086 
140.       3433.      10.        1.150      0.060                 O187600300087 
140.       3483.      10.        1.380      0.070                 O187600300088 
140.       3533.      10.        1.520      0.080                 O187600300089 
140.       3583.      10.        1.730      0.090                 O187600300090 
140.       3633.      10.        1.810      0.090                 O187600300091 
140.       3684.      10.        1.920      0.090                 O187600300092 
140.       3734.      10.        1.950      0.100                 O187600300093 
140.       3784.      10.        1.790      0.100                 O187600300094 
140.       3834.      10.        2.030      0.100                 O187600300095 
140.       3884.      10.        1.810      0.090                 O187600300096 
140.       3934.      10.        1.750      0.090                 O187600300097 
140.       3984.      10.        1.540      0.080                 O187600300098 
140.       4035.      10.        1.460      0.090                 O187600300099 
140.       4085.      10.        1.320      0.080                 O187600300100 
140.       4135.      10.        1.380      0.080                 O187600300101 
140.       4185.      10.        0.890      0.070                 O187600300102 
145.       2177.      9.         0.600      0.030                 O187600300103 
145.       2227.      9.         0.830      0.050                 O187600300104 
145.       2278.      9.         1.070      0.060                 O187600300105 
145.       2328.      9.         1.570      0.080                 O187600300106 
145.       2378.      9.         2.250      0.100                 O187600300107 
145.       2429.      9.         2.910      0.130                 O187600300108 
145.       2479.      9.         3.800      0.160                 O187600300109 
145.       2529.      9.         5.130      0.210                 O187600300110 
145.       2579.      9.         5.600      0.220                 O187600300111 
145.       2630.      9.         5.640      0.230                 O187600300112 
145.       2680.      9.         5.080      0.200                 O187600300113 
145.       2730.      9.         4.170      0.170                 O187600300114 
145.       2780.      9.         2.980      0.130                 O187600300115 
145.       2831.      9.         2.070      0.090                 O187600300116 
145.       2881.      9.         1.240      0.060                 O187600300117 
145.       2931.      9.         0.780      0.040                 O187600300118 
145.       2981.      9.         0.560      0.030                 O187600300119 
145.       3031.      9.         0.660      0.040                 O187600300120 
145.       3082.      10.        0.770      0.040                 O187600300121 
145.       3132.      10.        1.060      0.050                 O187600300122 
145.       3182.      10.        1.210      0.060                 O187600300123 
145.       3232.      10.        1.100      0.060                 O187600300124 
145.       3282.      10.        1.230      0.060                 O187600300125 
145.       3333.      10.        1.300      0.060                 O187600300126 
145.       3383.      10.        1.560      0.070                 O187600300127 
145.       3433.      10.        1.610      0.080                 O187600300128 
145.       3483.      10.        1.710      0.080                 O187600300129 
145.       3533.      10.        2.060      0.100                 O187600300130 
145.       3583.      10.        2.000      0.100                 O187600300131 
145.       3633.      10.        2.110      0.100                 O187600300132 
145.       3684.      10.        2.440      0.120                 O187600300133 
145.       3734.      10.        2.460      0.120                 O187600300134 
145.       3784.      10.        2.470      0.110                 O187600300135 
145.       3834.      10.        2.040      0.110                 O187600300136 
145.       3884.      10.        2.290      0.110                 O187600300137 
145.       3934.      10.        2.190      0.120                 O187600300138 
145.       3984.      10.        1.900      0.110                 O187600300139 
145.       4035.      10.        1.770      0.100                 O187600300140 
145.       4085.      10.        1.610      0.090                 O187600300141 
145.       4135.      10.        1.480      0.080                 O187600300142 
145.       4185.      10.        1.350      0.080                 O187600300143 
150.       2177.      9.         0.610      0.030                 O187600300144 
150.       2227.      9.         0.800      0.040                 O187600300145 
150.       2278.      9.         1.190      0.060                 O187600300146 
150.       2328.      9.         1.550      0.070                 O187600300147 
150.       2378.      9.         2.210      0.100                 O187600300148 
150.       2429.      9.         2.910      0.120                 O187600300149 
150.       2479.      9.         3.980      0.160                 O187600300150 
150.       2529.      9.         5.060      0.200                 O187600300151 
150.       2579.      9.         5.680      0.230                 O187600300152 
150.       2630.      9.         5.890      0.230                 O187600300153 
150.       2680.      9.         4.960      0.200                 O187600300154 
150.       2730.      9.         3.970      0.160                 O187600300155 
150.       2780.      9.         2.800      0.120                 O187600300156 
150.       2831.      9.         1.710      0.080                 O187600300157 
150.       2881.      9.         0.980      0.050                 O187600300158 
150.       2931.      9.         0.610      0.040                 O187600300159 
150.       2981.      9.         0.450      0.030                 O187600300160 
150.       3031.      9.         0.580      0.040                 O187600300161 
150.       3082.      10.        0.770      0.040                 O187600300162 
150.       3132.      10.        0.910      0.050                 O187600300163 
150.       3182.      10.        1.130      0.060                 O187600300164 
150.       3232.      10.        1.320      0.070                 O187600300165 
150.       3282.      10.        1.330      0.070                 O187600300166 
150.       3333.      10.        1.370      0.070                 O187600300167 
150.       3383.      10.        1.460      0.070                 O187600300168 
150.       3433.      10.        1.640      0.080                 O187600300169 
150.       3483.      10.        1.980      0.090                 O187600300170 
150.       3533.      10.        2.040      0.100                 O187600300171 
150.       3583.      10.        2.070      0.100                 O187600300172 
150.       3633.      10.        2.260      0.100                 O187600300173 
150.       3684.      10.        2.320      0.110                 O187600300174 
150.       3734.      10.        2.590      0.120                 O187600300175 
150.       3784.      10.        2.590      0.120                 O187600300176 
150.       3834.      10.        2.340      0.110                 O187600300177 
150.       3884.      10.        2.400      0.110                 O187600300178 
150.       3934.      10.        2.130      0.100                 O187600300179 
150.       3984.      10.        1.870      0.090                 O187600300180 
150.       4035.      10.        1.860      0.100                 O187600300181 
150.       4085.      10.        1.640      0.090                 O187600300182 
150.       4135.      10.        1.510      0.080                 O187600300183 
150.       4185.      10.        1.030      0.070                 O187600300184 
155.       2177.      9.         0.510      0.030                 O187600300185 
155.       2227.      9.         0.700      0.050                 O187600300186 
155.       2278.      9.         0.970      0.050                 O187600300187 
155.       2328.      9.         1.330      0.070                 O187600300188 
155.       2378.      9.         1.900      0.090                 O187600300189 
155.       2429.      9.         2.700      0.130                 O187600300190 
155.       2479.      9.         3.740      0.160                 O187600300191 
155.       2529.      9.         4.730      0.200                 O187600300192 
155.       2579.      9.         5.360      0.220                 O187600300193 
155.       2630.      9.         5.580      0.220                 O187600300194 
155.       2680.      9.         4.970      0.200                 O187600300195 
155.       2730.      9.         3.980      0.170                 O187600300196 
155.       2780.      9.         2.930      0.130                 O187600300197 
155.       2831.      9.         1.820      0.090                 O187600300198 
155.       2881.      9.         1.130      0.060                 O187600300199 
155.       2931.      9.         0.540      0.040                 O187600300200 
155.       2981.      9.         0.570      0.040                 O187600300201 
155.       3031.      9.         0.600      0.040                 O187600300202 
155.       3082.      10.        0.790      0.040                 O187600300203 
155.       3132.      10.        1.050      0.060                 O187600300204 
155.       3182.      10.        1.300      0.070                 O187600300205 
155.       3232.      10.        1.310      0.060                 O187600300206 
155.       3282.      10.        1.370      0.070                 O187600300207 
155.       3333.      10.        1.390      0.070                 O187600300208 
155.       3383.      10.        1.650      0.080                 O187600300209 
155.       3433.      10.        1.670      0.080                 O187600300210 
155.       3483.      10.        1.840      0.090                 O187600300211 
155.       3533.      10.        2.060      0.100                 O187600300212 
155.       3583.      10.        2.390      0.110                 O187600300213 
155.       3633.      10.        2.270      0.110                 O187600300214 
155.       3684.      10.        2.160      0.110                 O187600300215 
155.       3734.      10.        2.460      0.120                 O187600300216 
155.       3784.      10.        2.420      0.120                 O187600300217 
155.       3834.      10.        2.040      0.110                 O187600300218 
155.       3884.      10.        2.440      0.110                 O187600300219 
155.       3934.      10.        2.220      0.120                 O187600300220 
155.       3984.      10.        1.760      0.100                 O187600300221 
155.       4035.      10.        1.750      0.100                 O187600300222 
155.       4085.      10.        1.440      0.090                 O187600300223 
155.       4135.      10.        1.450      0.080                 O187600300224 
155.       4185.      10.        1.290      0.080                 O187600300225 
160.       2177.      9.         0.510      0.030                 O187600300226 
160.       2227.      9.         0.780      0.040                 O187600300227 
160.       2278.      9.         1.090      0.060                 O187600300228 
160.       2328.      9.         1.380      0.070                 O187600300229 
160.       2378.      9.         2.070      0.100                 O187600300230 
160.       2429.      9.         2.700      0.120                 O187600300231 
160.       2479.      9.         3.790      0.160                 O187600300232 
160.       2529.      9.         4.570      0.190                 O187600300233 
160.       2579.      9.         5.550      0.220                 O187600300234 
160.       2630.      9.         5.620      0.230                 O187600300235 
160.       2680.      9.         4.680      0.190                 O187600300236 
160.       2730.      9.         3.540      0.150                 O187600300237 
160.       2780.      9.         2.630      0.120                 O187600300238 
160.       2831.      9.         1.570      0.080                 O187600300239 
160.       2881.      9.         0.880      0.050                 O187600300240 
160.       2931.      9.         0.500      0.040                 O187600300241 
160.       2981.      9.         0.500      0.040                 O187600300242 
160.       3031.      9.         0.650      0.040                 O187600300243 
160.       3082.      10.        0.810      0.050                 O187600300244 
160.       3132.      10.        1.170      0.060                 O187600300245 
160.       3182.      10.        1.320      0.070                 O187600300246 
160.       3232.      10.        1.460      0.070                 O187600300247 
160.       3282.      10.        1.540      0.080                 O187600300248 
160.       3333.      10.        1.500      0.080                 O187600300249 
160.       3383.      10.        1.550      0.080                 O187600300250 
160.       3433.      10.        1.860      0.090                 O187600300251 
160.       3483.      10.        1.980      0.090                 O187600300252 
160.       3533.      10.        2.190      0.100                 O187600300253 
160.       3583.      10.        2.200      0.100                 O187600300254 
160.       3633.      10.        2.480      0.110                 O187600300255 
160.       3684.      10.        2.580      0.120                 O187600300256 
160.       3734.      10.        2.430      0.110                 O187600300257 
160.       3784.      10.        2.660      0.120                 O187600300258 
160.       3834.      10.        2.440      0.120                 O187600300259 
160.       3884.      10.        2.280      0.110                 O187600300260 
160.       3934.      10.        2.210      0.110                 O187600300261 
160.       3984.      10.        2.180      0.110                 O187600300262 
160.       4035.      10.        1.850      0.100                 O187600300263 
160.       4085.      10.        1.700      0.100                 O187600300264 
160.       4135.      10.        1.360      0.080                 O187600300265 
160.       4185.      10.        1.280      0.080                 O187600300266 
ENDDATA            248          0                                 O187600300267 
ENDSUBENT          266          0                                 O187600399999 
ENDENTRY             3          0                                 O187699999999 
