ENTRY            O1876   20120613                             O048O187600000001 
SUBENT        O1876001   20120613                             O048O187600100001 
BIB                 10         30                                 O187600100002 
TITLE      Differential cross sections for the B-11(p,a)Be-8 and  O187600100003 
           B-11(p,p)B-11 reactions, suitable for ion beam analysisO187600100004 
AUTHOR     (M.Kokkoris, A.Kafkarkou, V.Paneta, R.Vlastou,         O187600100005 
           P.Misaelides, A.Lagoyannis)                            O187600100006 
INSTITUTE  (2GRCTUA)                                              O187600100007 
           (2GRCARU)                                              O187600100008 
           (2GRCATH)                                              O187600100009 
REFERENCE  (J,NIM/B,268,3539,2010)                                O187600100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV TN11 Tandem Accelerator of       O187600100011 
           N.C.S.R. 'Demokritos', Athens, Greece                  O187600100012 
SAMPLE     (5-B-11,ENR=0.99) A highly pure (>99.9%),isotopically  O187600100013 
           enriched, approx.99%, B-11 target deposited on a mirrorO187600100014 
           polished  thick tantalum backing was used for the      O187600100015 
           experiments. The target  had an active surface of      O187600100016 
           1*1 cm**2, and the nominal thickness was reported      O187600100017 
                                          as 323 mug/cm**22.      O187600100018 
DETECTOR   (SIBAR) The detection system consisted of four Si      O187600100019 
           surface barrier detectors (Thickness: 1000 mum,        O187600100020 
           set at 10 ang. intervals) along with the               O187600100021 
           corresponding electronics.                             O187600100022 
ERR-ANALYS (ERR-T).The total estimated error is reported by authorO187600100023 
           in tables-varied between 3-4% (pending on the detector)O187600100024 
           The statistical error from peak integration also variedO187600100025 
           between approx.1-5%.                                   O187600100026 
           (ERR-1,,3.5).The error in target thickness.            O187600100027 
           (EN-ERR).The error is reported by authors in tables.   O187600100028 
STATUS     (TABLE).Table 1,2 of J,NIM/B,268,3539,2010             O187600100029 
HISTORY    (20101208C) SB                                         O187600100030 
           (20120613A) SD: SF5=PAR was added to REACTION code in  O187600100031 
            and E-LVL=0 was added to COMMON in Subent 3           O187600100032 
ENDBIB              30          0                                 O187600100033 
NOCOMMON             0          0                                 O187600100034 
ENDSUBENT           33          0                                 O187600199999 
SUBENT        O1876002   20101209                             O044O187600200001 
BIB                  4          8                                 O187600200002 
REACTION   (5-B-11(P,EL)5-B-11,,DA)                               O187600200003 
STATUS     (TABLE).TABLE 1 of J,NIM/B,268,3539,2010               O187600200004 
REL-REF    (A,O0922002,M.Chiari+,J,NIM/B,184,309,2001)            O187600200005 
ERR-ANALYS (ERR-S,4.0,5.0).The combined statistical errors,       O187600200006 
           varying between 4-5%, pending on the detector/angle    O187600200007 
           combination, included uncertainties in the product     O187600200008 
           Q*Omega and in peak integration, including counting    O187600200009 
           statistics and background subtraction.                 O187600200010 
ENDBIB               8          0                                 O187600200011 
NOCOMMON             0          0                                 O187600200012 
DATA                 5        246                                 O187600200013 
ANG        EN         EN-ERR     DATA       ERR-T                 O187600200014 
140.       3684.      10.        62.        2.                    O187600200087 
140.       3734.      10.        65.5       2.0                   O187600200088 
140.       3784.      10.        67.6       2.0                   O187600200089 
140.       3834.      10.        73.        3.                    O187600200090 
140.       3884.      10.        80.        3.                    O187600200091 
140.       3934.      10.        86.        4.                    O187600200092 
140.       3984.      10.        89.        4.                    O187600200093 
140.       4035.      10.        86.        4.                    O187600200094 
140.       4085.      10.        81.        3.                    O187600200095 
140.       4135.      10.        76.        3.                    O187600200096 
140.       4185.      10.        74.        3.                    O187600200097 
145.       2177.      9.         82.        3.                    O187600200098 
145.       2227.      9.         86.        3.                    O187600200099 
145.       2278.      9.         89.        3.                    O187600200100 
145.       2328.      9.         90.        3.                    O187600200101 
145.       2378.      9.         100.       4.                    O187600200102 
145.       2429.      9.         107.       4.                    O187600200103 
145.       2479.      9.         119.       4.                    O187600200104 
145.       2529.      9.         126.       5.                    O187600200105 
145.       2579.      9.         127.       5.                    O187600200106 
145.       2630.      9.         126.       5.                    O187600200107 
145.       2680.      9.         108.       4.                    O187600200108 
145.       2730.      9.         101.       4.                    O187600200109 
145.       2780.      9.         93.        4.                    O187600200110 
145.       2831.      9.         87.        3.                    O187600200111 
145.       2881.      9.         84.        3.                    O187600200112 
145.       2931.      9.         82.        3.                    O187600200113 
145.       2981.      9.         80.        3.                    O187600200114 
145.       3031.      9.         79.        3.                    O187600200115 
145.       3082.      10.        76.5       2.9                   O187600200116 
145.       3132.      10.        69.5       2.7                   O187600200117 
145.       3182.      10.        84.        3.                    O187600200118 
145.       3232.      10.        88.        3.                    O187600200119 
145.       3282.      10.        89.        3.                    O187600200120 
145.       3333.      10.        85.        3.                    O187600200121 
145.       3383.      10.        83.        3.                    O187600200122 
145.       3433.      10.        80.        3.                    O187600200123 
145.       3483.      10.        76.8       2.9                   O187600200124 
145.       3533.      10.        75.9       2.9                   O187600200125 
145.       3583.      10.        71.9       2.7                   O187600200126 
145.       3633.      10.        69.4       2.6                   O187600200127 
145.       3684.      10.        68.9       2.6                   O187600200128 
145.       3734.      10.        69.9       2.7                   O187600200129 
145.       3784.      10.        73.5       2.8                   O187600200130 
145.       3834.      10.        78.2       2.9                   O187600200131 
145.       3884.      10.        86.        3.                    O187600200132 
145.       3934.      10.        87.        3.                    O187600200133 
145.       3984.      10.        86.        3.                    O187600200134 
145.       4035.      10.        87.        3.                    O187600200135 
145.       4085.      10.        83.        3.                    O187600200136 
145.       4135.      10.        75.1       2.8                   O187600200137 
145.       4185.      10.        72.0       2.7                   O187600200138 
150.       2177.      9.         94.        4.                    O187600200139 
150.       2227.      9.         93.        4.                    O187600200140 
150.       2278.      9.         94.        4.                    O187600200141 
150.       2328.      9.         99.        4.                    O187600200142 
150.       2378.      9.         105.       4.                    O187600200143 
150.       2429.      9.         117.       4.                    O187600200144 
150.       2479.      9.         127.       5.                    O187600200145 
150.       2529.      9.         137.       5.                    O187600200146 
150.       2579.      9.         140.       5.                    O187600200147 
150.       2630.      9.         135.       5.                    O187600200148 
150.       2680.      9.         106.       4.                    O187600200149 
150.       2730.      9.         95.        4.                    O187600200150 
150.       2780.      9.         88.        3.                    O187600200151 
150.       2831.      9.         79.        3.                    O187600200152 
150.       2881.      9.         79.        3.                    O187600200153 
150.       2931.      9.         79.        3.                    O187600200154 
150.       2981.      9.         73.        2.                    O187600200155 
150.       3031.      9.         72.6       2.8                   O187600200156 
150.       3082.      10.        68.8       2.7                   O187600200157 
150.       3132.      10.        65.8       2.6                   O187600200158 
150.       3182.      10.        77.        3.                    O187600200159 
150.       3232.      10.        92.        3.                    O187600200160 
150.       3282.      10.        90.        3.                    O187600200161 
150.       3333.      10.        85.        3.                    O187600200162 
150.       3383.      10.        83.        3.                    O187600200163 
150.       3433.      10.        81.        3.                    O187600200164 
150.       3483.      10.        81.        3.                    O187600200165 
150.       3533.      10.        77.        3.                    O187600200166 
150.       3583.      10.        75.5       2.9                   O187600200167 
150.       3633.      10.        73.6       2.8                   O187600200168 
150.       3684.      10.        70.9       2.7                   O187600200169 
150.       3734.      10.        74.4       2.8                   O187600200170 
150.       3784.      10.        78.        3.                    O187600200171 
150.       3834.      10.        82.        3.                    O187600200172 
150.       3884.      10.        88.        3.                    O187600200173 
150.       3934.      10.        93.        3.                    O187600200174 
150.       3984.      10.        92.        3.                    O187600200175 
150.       4035.      10.        88.        3.                    O187600200176 
150.       4085.      10.        80.        3.                    O187600200177 
150.       4135.      10.        73.9       2.8                   O187600200178 
150.       4185.      10.        69.1       2.7                   O187600200179 
155.       2177.      9.         87.        3.                    O187600200180 
155.       2227.      9.         86.        3.                    O187600200181 
155.       2278.      9.         86.        3.                    O187600200182 
155.       2328.      9.         89.        4.                    O187600200183 
155.       2378.      9.         101.       4.                    O187600200184 
155.       2429.      9.         109.       4.                    O187600200185 
155.       2479.      9.         123.       5.                    O187600200186 
155.       2529.      9.         130.       5.                    O187600200187 
155.       2579.      9.         133.       5.                    O187600200188 
155.       2630.      9.         126.       5.                    O187600200189 
155.       2680.      9.         110.       4.                    O187600200190 
155.       2730.      9.         99.        4.                    O187600200191 
155.       2780.      9.         89.        3.                    O187600200192 
155.       2831.      9.         79.        3.                    O187600200193 
155.       2881.      9.         80.        3.                    O187600200194 
155.       2931.      9.         80.        3.                    O187600200195 
155.       2981.      9.         81.        3.                    O187600200196 
155.       3031.      9.         73.7       2.9                   O187600200197 
155.       3082.      10.        71.0       2.8                   O187600200198 
155.       3132.      10.        69.0       2.7                   O187600200199 
155.       3182.      10.        84.        3.                    O187600200200 
155.       3232.      10.        91.        3.                    O187600200201 
155.       3282.      10.        92.        3.                    O187600200202 
155.       3333.      10.        91.        3.                    O187600200203 
155.       3383.      10.        87.        3.                    O187600200204 
155.       3433.      10.        80.        3.                    O187600200205 
155.       3483.      10.        80.        3.                    O187600200206 
