E-LVL      ANG        DATA       DATA-ERR                         O216200200008 
MEV        ADEG       MU-B/SR    MU-B/SR                          O216200200009 
0.9794     12.5       12.91      0.29                             O216200200088 
0.9794     16.0       12.72      0.29                             O216200200089 
0.9794     20.0       10.30      0.28                             O216200200090 
0.9794     26.0       7.37       0.34                             O216200200091 
0.9794     30.0       7.53       0.26                             O216200200092 
0.9794     35.0       6.81       0.26                             O216200200093 
0.9794     40.0       4.81       0.18                             O216200200094 
1.0164     5.0        5.28       0.47                             O216200200095 
1.0164     7.5        6.83       0.27                             O216200200096 
1.0164     10.0       7.08       0.27                             O216200200097 
1.0164     12.5       8.68       0.27                             O216200200098 
1.0164     16.0       8.57       0.26                             O216200200099 
1.0164     20.0       6.79       0.26                             O216200200100 
1.0164     26.0       3.31       0.21                             O216200200101 
1.0164     30.0       4.00       0.24                             O216200200102 
1.0164     35.0       4.82       0.19                             O216200200103 
1.0164     40.0       4.30       0.40                             O216200200104 
1.0748     5.0        0.81       0.22                             O216200200105 
1.0748     7.5        0.86       0.10                             O216200200106 
1.0748     10.0       0.89       0.11                             O216200200107 
1.0748     12.5       0.80       0.07                             O216200200108 
1.0748     16.0       1.09       0.10                             O216200200109 
1.0748     20.0       1.40       0.11                             O216200200110 
1.0748     26.0       1.61       0.19                             O216200200111 
1.0748     30.0       1.60       0.20                             O216200200112 
1.0748     35.0       0.91       0.09                             O216200200113 
1.0748     40.0       0.55       0.06                             O216200200114 
1.0910     5.0        0.42       0.18                             O216200200115 
1.0910     7.5        0.42       0.07                             O216200200116 
1.0910     10.0       0.43       0.08                             O216200200117 
1.0910     12.5       0.47       0.06                             O216200200118 
1.0910     16.0       0.49       0.06                             O216200200119 
1.0910     20.0       0.48       0.07                             O216200200120 
1.0910     26.0       0.54       0.11                             O216200200121 
1.0910     30.0       0.28       0.10                             O216200200122 
1.0910     35.0       0.24       0.06                             O216200200123 
1.0910     40.0       0.15       0.03                             O216200200124 
1.1055     5.0        0.42       0.18                             O216200200125 
1.1055     7.5        0.46       0.07                             O216200200126 
1.1055     10.0       0.48       0.09                             O216200200127 
1.1055     12.5       0.78       0.07                             O216200200128 
1.1055     16.0       0.76       0.07                             O216200200129 
1.1055     20.0       0.75       0.07                             O216200200130 
1.1055     26.0       0.87       0.13                             O216200200131 
1.1055     30.0       0.65       0.12                             O216200200132 
1.1055     35.0       0.48       0.07                             O216200200133 
1.1055     40.0       0.39       0.04                             O216200200134 
1.1428     5.0        0.90       0.24                             O216200200135 
1.1428     7.5        0.86       0.10                             O216200200136 
1.1428     10.0       0.93       0.13                             O216200200137 
1.1428     12.5       0.88       0.07                             O216200200138 
1.1428     16.0       1.02       0.10                             O216200200139 
1.1428     20.0       1.21       0.10                             O216200200140 
1.1428     26.0       1.12       0.14                             O216200200141 
1.1428     30.0       1.00       0.14                             O216200200142 
1.1428     35.0       0.45       0.08                             O216200200143 
1.1428     40.0       0.50       0.06                             O216200200144 
1.1533     5.0        13.93      0.72                             O216200200145 
1.1533     7.5        24.00      6.00                             O216200200146 
1.1533     10.0       26.53      0.64                             O216200200147 
1.1533     12.5       34.80      0.40                             O216200200148 
1.1533     16.0       37.00      4.00                             O216200200149 
1.1533     20.0       29.20      0.40                             O216200200150 
1.1533     26.0       14.90      0.50                             O216200200151 
1.1533     30.0       18.10      0.70                             O216200200152 
1.1533     35.0       15.32      0.34                             O216200200153 
1.1533     40.0       12.35      0.28                             O216200200154 
1.1680     5.0        0.62       0.21                             O216200200155 
1.1680     7.5        0.39       0.21                             O216200200156 
1.1680     10.0       0.50       0.25                             O216200200157 
1.1680     12.5       0.72       0.15                             O216200200158 
1.1680     16.0       1.07       0.15                             O216200200159 
1.1680     20.0       0.85       0.13                             O216200200160 
1.1680     26.0       0.56       0.18                             O216200200161 
1.1680     30.0       0.59       0.25                             O216200200162 
1.1680     35.0       0.50       0.25                             O216200200163 
1.1680     40.0       0.29       0.13                             O216200200164 
1.1751     5.0        1.87       0.30                             O216200200165 
1.1751     7.5        2.40       0.16                             O216200200166 
1.1751     10.0       2.84       0.21                             O216200200167 
1.1751     12.5       3.62       0.15                             O216200200168 
1.1751     16.0       2.96       0.15                             O216200200169 
1.1751     20.0       1.69       0.11                             O216200200170 
1.1751     26.0       1.14       0.16                             O216200200171 
1.1751     30.0       2.02       0.22                             O216200200172 
1.1751     35.0       1.91       0.13                             O216200200173 
1.1751     40.0       1.21       0.08                             O216200200174 
1.2010     5.0        0.09       0.14                             O216200200175 
1.2010     7.5        0.13       0.06                             O216200200176 
1.2010     10.0       0.17       0.06                             O216200200177 
1.2010     12.5       0.19       0.04                             O216200200178 
1.2010     16.0       0.41       0.06                             O216200200179 
1.2010     20.0       0.33       0.06                             O216200200180 
