ENTRY            O1690   20081111                             O037O169000000001 
SUBENT        O1690001   20081111                             O037O169000100001 
BIB                 14         31                                 O169000100002 
TITLE      O-16 and F-19 induced multi-nucleon transfer reaction  O169000100003 
           in light nuclei.                                       O169000100004 
AUTHOR     (U.C.Schlotthauer-Voos,R.Bock, H.G.Bohlen,             O169000100005 
           H.H.Gutbrod, W.Von Oertzen)                            O169000100006 
INSTITUTE  (2GERMPH)                                              O169000100007 
           (2GERMBG)                                              O169000100008 
REFERENCE  (J,NP/A,186,225,1972)                                  O169000100009 
           (J,NP/A,180,385,1972) It is O1689 and data for         O169000100010 
           B-11(O-16,N-15)C-12 AT 60 MeV(fig.9 main reference)    O169000100011 
FACILITY   (VDGT,2GERMPH) EN and MP Tandem Van de Graaff          O169000100012 
           accelerator.                                           O169000100013 
METHOD     (BCINT)                                                O169000100014 
           (EDE)                                                  O169000100015 
SAMPLE     The targets of about 80 mug/cm**2 thickness were used. O169000100016 
DETECTOR   (TELES,PROPC,SIBAR) The reaction products were analysedO169000100017 
           by the usual delta-E/E technique, the delta-E detector O169000100018 
           being a gas-filled proportional counter, the E-detectorO169000100019 
           a silicon surface barrier counter.                     O169000100020 
INC-SOURCE *EN-RSL*.The total energy resolution was 150-200 keV   O169000100021 
           for light reaction products as Li and C and about      O169000100022 
            400 keV for heavy elements as F and Ne.               O169000100023 
COMMENT    *By authors*.The absolute cross sections were obtained O169000100024 
           by normalizing the elastic scattering data to the      O169000100025 
           Rutherford scattering measured at lower energies with  O169000100026 
           the same experimental arrangement.                     O169000100027 
STATUS     (CURVE).By Cajad.                                      O169000100028 
ADD-RES    (COMP).DWBA analysis.                                  O169000100029 
ERR-ANALYS  The error in the absolute cross section is about      O169000100030 
            +-10% for higher energies and about +-15% for the low O169000100031 
            energy data.                                          O169000100032 
HISTORY    (20081111C) SB                                         O169000100033 
ENDBIB              31          0                                 O169000100034 
COMMON               1          3                                 O169000100035 
EN-RSL                                                            O169000100036 
KEV                                                               O169000100037 
400.                                                              O169000100038 
ENDCOMMON            3          0                                 O169000100039 
ENDSUBENT           38          0                                 O169000199999 
SUBENT        O1690002   20081111                             O037O169000200001 
BIB                  3          6                                 O169000200002 
REACTION   (6-C-12(9-F-19,7-N-15)8-O-16,PAR,DA) fig 2, 3, 4       O169000200003 
EN-SEC     (E-LVL1,8-O-16)                                        O169000200004 
           (E-LVL2,7-N-15)                                        O169000200005 
ERR-ANALYS (DATA-ERR).The error is reported by authors on fig.    O169000200006 
           (ERR-DIG).Digitizing error of data.                    O169000200007 
           (ANG-ERR-D).Digitizing error of angle.                 O169000200008 
ENDBIB               6          0                                 O169000200009 
COMMON               3          3                                 O169000200010 
E-LVL1     ERR-DIG    ANG-ERR-D                                   O169000200011 
MEV        PER-CENT   ADEG                                        O169000200012 
0.000      0.3        1.7                                         O169000200013 
ENDCOMMON            3          0                                 O169000200014 
DATA                 5        146                                 O169000200015 
EN         E-LVL2     ANG-CM     DATA-CM    DATA-ERR              O169000200016 
MEV        MEV        ADEG       MB/SR      PER-CENT              O169000200017 
   40.00000    5.30000   12.10000    2.30000   26.00000           O169000200018 
   40.00000    5.30000   14.20000    0.74000   28.00000           O169000200019 
   40.00000    5.30000   19.50000    0.89000   20.00000           O169000200020 
   40.00000    5.30000   21.70000    1.90000    8.00000           O169000200021 
   40.00000    5.30000   24.10000    1.98000    7.00000           O169000200022 
   40.00000    5.30000   26.50000    1.71000    9.00000           O169000200023 
   40.00000    5.30000   28.90000    1.45000    8.00000           O169000200024 
   40.00000    5.30000   30.90000    1.64000   10.00000           O169000200025 
   40.00000    5.30000   31.70000    1.28000    7.00000           O169000200026 
   40.00000    5.30000   33.60000    1.22000    7.00000           O169000200027 
   40.00000    5.30000   35.90000    0.67000    9.00000           O169000200028 
   40.00000    5.30000   36.40000    0.84000   11.00000           O169000200029 
   40.00000    5.30000   38.70000    0.67000    7.00000           O169000200030 
   40.00000    5.30000   41.60000    0.74000    7.00000           O169000200031 
   40.00000    5.30000   43.60000    0.77000    9.00000           O169000200032 
   40.00000    5.30000   46.30000    0.61000   10.00000           O169000200033 
   40.00000    5.30000   48.70000    0.54000    7.00000           O169000200034 
   40.00000    5.30000   51.10000    0.41400    7.00000           O169000200035 
   40.00000    5.30000   53.40000    0.34000    9.00000           O169000200036 
   40.00000    5.30000   55.70000    0.23100   11.00000           O169000200037 
   40.00000    5.30000   58.90000    0.20800   10.00000           O169000200038 
   40.00000    5.30000   61.50000    0.39400    7.00000           O169000200039 
   40.00000    5.30000   63.50000    0.36000    8.00000           O169000200040 
   40.00000    5.30000   64.70000    0.39000    8.00000           O169000200041 
   40.00000    5.30000   67.40000    0.26000   15.00000           O169000200042 
   40.00000    5.30000   69.50000    0.28200    8.00000           O169000200043 
   40.00000    5.30000   71.50000    0.26000   19.00000           O169000200044 
   40.00000    5.30000   74.70000    0.27000   15.00000           O169000200045 
   40.00000    5.30000   78.70000    0.28000   18.00000           O169000200046 
   40.00000    5.30000  103.00000    0.09100   26.00000           O169000200047 
   40.00000    5.30000  108.20000    0.09600   16.00000           O169000200048 
   40.00000    5.30000  111.20000    0.17800   12.00000           O169000200049 
   40.00000    5.30000  116.00000    0.17800   12.00000           O169000200050 
   40.00000    5.30000  119.20000    0.16000   19.00000           O169000200051 
   40.00000    5.30000  125.90000    0.08800   14.00000           O169000200052 
   40.00000    5.30000  130.70000    0.11400   14.00000           O169000200053 
   40.00000    5.30000  135.20000    0.13400   15.00000           O169000200054 
   40.00000    5.30000  139.80000    0.05900   17.00000           O169000200055 
   40.00000    5.30000  145.00000    0.04000   25.00000           O169000200056 
   40.00000    5.30000  149.50000    0.08000   20.00000           O169000200057 
   60.00000    0.00000   15.33000    0.78000   12.00000           O169000200058 
   60.00000    0.00000   16.97000    0.58000   12.00000           O169000200059 
   60.00000    0.00000   19.53000    0.31000   16.00000           O169000200060 
   60.00000    0.00000   21.17000    0.23000   13.00000           O169000200061 
