ENTRY            O2480   20210216                             O083O2480  0    1 
SUBENT        O2480001   20210216                             O083O2480  1    1 
BIB                 10         23                                 O2480  1    2 
TITLE      New data on 0+ states in 158Gd                         O2480  1    3 
AUTHOR     (A.I.Levon,D.Bucurescu,C.Costache,T.Faestermann,       O2480  1    4 
           R.Hertenberger,A.Ionescu,R.Lica,A.G.Magner,C.Mihai,    O2480  1    5 
           R.Mihai,C.R.Nita,S.Pascu,K.P.Shevchenko,A.A.Shevchuk,  O2480  1    6 
           A.Turturica,H.-F.Wirth)                                O2480  1    7 
INSTITUTE  (4UKRIJD,2GERLMU,3RUMBUC,3RUMBUU)                      O2480  1    8 
REFERENCE  (J,PR/C,100,034307,2019)                               O2480  1    9 
           #doi:10.1103/PhysRevC.100.034307                       O2480  1   10 
FACILITY   (VDGT,2GERMUN)                                         O2480  1   11 
SAMPLE     The second experiment was performed on 125 ug/cm2      O2480  1   12 
           target of 160Gd.                                       O2480  1   13 
           The first experiment was performed on:                 O2480  1   14 
           (64-GD-160,ENR=0.981) A 110 ug/cm2 target enriched in  O2480  1   15 
           160Gd on 14 ug/cm2 carbon backing. The known impuritiesO2480  1   16 
           of 158Gd(0.99%), 157Gd(0.44%), and 156Gd(0.33%).       O2480  1   17 
DETECTOR   (MAGSP) Q3D spectrograph                               O2480  1   18 
ERR-ANALYS (ERR-T) The errors of the differential cross sections  O2480  1   19 
           are statistical and                                    O2480  1   20 
           (ERR-1) Error of 10% due to the uncertainty in the     O2480  1   21 
           thickness of the targets used.                         O2480  1   22 
STATUS     (TABLE) Deta received from Prof. A.I.Levon             O2480  1   23 
HISTORY    (20210422R) Deta received from Prof. A.I.Levon         O2480  1   24 
           (20210216C) VS                                         O2480  1   25 
ENDBIB              23          0                                 O2480  1   26 
COMMON               2          3                                 O2480  1   27 
EN         ERR-1                                                  O2480  1   28 
MEV        PER-CENT                                               O2480  1   29 
        22.        10.                                            O2480  1   30 
ENDCOMMON            3          0                                 O2480  1   31 
ENDSUBENT           30          0                                 O2480  199999 
SUBENT        O2480002   20210216                             O083O2480  2    1 
BIB                  2          3                                 O2480  2    2 
REACTION   (64-GD-160(P,T)64-GD-158,PAR,DA)                       O2480  2    3 
STATUS     (TABLE) Plotted on Fig. 3 of Phys.Rev.C100(2019)034307 O2480  2    4 
           Some cross sections at 5 degrees from Table II.        O2480  2    5 
ENDBIB               3          0                                 O2480  2    6 
NOCOMMON             0          0                                 O2480  2    7 
DATA                 5        293                                 O2480  2    8 
E-LVL      E-LVL-ERR  ANG        DATA       ERR-T                 O2480  2    9 
KEV        KEV        ADEG       MU-B/SR    MU-B/SR               O2480  2   10 
         0.        0.3         5.      1435.        12.           O2480  2   11 
     1196.1        0.8         5.        3.3        0.4           O2480  2   12 
     1452.3        0.3         5.       423.         6.           O2480  2   13 
     1743.2        0.5         5.       1.78       0.21           O2480  2   14 
     1743.2        0.5         6.       0.96       0.11           O2480  2   15 
     1743.2        0.5        10.       0.24       0.06           O2480  2   16 
     1743.2        0.5        15.       0.22       0.07           O2480  2   17 
     1743.2        0.5        20.       0.81       0.08           O2480  2   18 
     1743.2        0.5        25.       1.11        0.1           O2480  2   19 
     1743.2        0.5        30.       0.68       0.07           O2480  2   20 
     1743.2        0.5        35.       0.11       0.07           O2480  2   21 
     1743.2        0.5        40.       0.09       0.03           O2480  2   22 
     1936.5        1.1         5.       0.87        0.2           O2480  2   23 
     1936.5        1.1         6.       0.49       0.14           O2480  2   24 
     1936.5        1.1        10.       0.57       0.16           O2480  2   25 
     1936.5        1.1        15.       0.04       0.07           O2480  2   26 
     1936.5        1.1        20.       0.14       0.08           O2480  2   27 
     1936.5        1.1        25.       0.27       0.07           O2480  2   28 
     1936.5        1.1        30.       0.22       0.07           O2480  2   29 
     1936.5        1.1        35.       0.12       0.04           O2480  2   30 
     1936.5        1.1        40.       0.09       0.05           O2480  2   31 
     1952.4                    5.        0.4        0.3           O2480  2   32 
     1957.3        0.3         5.      35.86       0.88           O2480  2   33 
     1957.3        0.3         6.       27.6       0.84           O2480  2   34 
     1957.3        0.3        10.      14.48       0.68           O2480  2   35 
     1957.3        0.3        15.       1.91        0.3           O2480  2   36 
     1957.3        0.3        20.       4.12       0.46           O2480  2   37 
     1957.3        0.3        25.       8.08       0.41           O2480  2   38 
     1957.3        0.3        30.       7.86       0.49           O2480  2   39 
     1957.3        0.3        35.       6.08       0.43           O2480  2   40 
     1957.3        0.3        40.       2.48       0.41           O2480  2   41 
     1977.6        0.8         5.       1.16      0.168           O2480  2   42 
     1977.6        0.8         6.      0.924       0.14           O2480  2   43 
     1977.6        0.8        10.      0.532      0.112           O2480  2   44 
     1977.6        0.8        15.       0.21       0.07           O2480  2   45 
     1977.6        0.8        20.       0.35      0.098           O2480  2   46 
     1977.6        0.8        25.      0.504      0.098           O2480  2   47 
     1977.6        0.8        30.      0.476      0.098           O2480  2   48 
     1977.6        0.8        35.      0.196       0.07           O2480  2   49 
     1977.6        0.8        40.      0.098      0.042           O2480  2   50 
     2276.7        0.4         5.       48.1      1.358           O2480  2   51 
     2276.7        0.4         6.      40.95      1.204           O2480  2   52 
