      5.523         3.                                            O140800200112 
      5.548       1.71                                            O140800200113 
ENDDATA            102          0                                 O140800200114 
ENDSUBENT          113          0                                 O140800299999 
SUBENT        O1408003   20070515                             O028O140800300001 
BIB                  2          2                                 O140800300002 
REACTION   (3-LI-7(P,INL)3-LI-7,PAR,DA,G)                         O140800300003 
EN-SEC     (E,G)                                                  O140800300004 
ENDBIB               2          0                                 O140800300005 
COMMON               1          3                                 O140800300006 
E                                                                 O140800300007 
KEV                                                               O140800300008 
       478.                                                       O140800300009 
ENDCOMMON            3          0                                 O140800300010 
DATA                 2        106                                 O140800300011 
EN         DATA                                                   O140800300012 
MEV        MB/SR                                                  O140800300013 
      3.009       7.45                                            O140800300014 
      3.034       7.42                                            O140800300015 
      3.059       7.21                                            O140800300016 
      3.085       7.41                                            O140800300017 
       3.11       7.49                                            O140800300018 
      3.136       7.44                                            O140800300019 
      3.161       7.25                                            O140800300020 
      3.187       7.32                                            O140800300021 
      3.212       7.32                                            O140800300022 
      3.237        7.3                                            O140800300023 
      3.263       7.39                                            O140800300024 
      3.288       7.41                                            O140800300025 
      3.313       7.29                                            O140800300026 
      3.339       7.42                                            O140800300027 
      3.364       7.51                                            O140800300028 
       3.39       7.53                                            O140800300029 
      3.415       7.42                                            O140800300030 
       3.44       7.53                                            O140800300031 
      3.466        7.4                                            O140800300032 
      3.491       7.69                                            O140800300033 
      3.517       7.55                                            O140800300034 
      3.567       7.55                                            O140800300035 
      3.593       7.49                                            O140800300036 
      3.618       7.58                                            O140800300037 
      3.644       7.55                                            O140800300038 
      3.669        7.4                                            O140800300039 
      3.694       7.12                                            O140800300040 
       3.72       7.59                                            O140800300041 
      3.745       7.46                                            O140800300042 
      3.771       7.71                                            O140800300043 
      3.796       7.75                                            O140800300044 
      3.821       7.91                                            O140800300045 
      3.847       7.78                                            O140800300046 
      3.872       8.07                                            O140800300047 
      3.898       8.07                                            O140800300048 
      3.923       7.93                                            O140800300049 
      3.969        7.7                                            O140800300050 
      3.974       8.11                                            O140800300051 
      3.999       7.39                                            O140800300052 
      4.025       7.88                                            O140800300053 
       4.05         8.                                            O140800300054 
      4.075       8.02                                            O140800300055 
      4.101       8.58                                            O140800300056 
      4.126       9.11                                            O140800300057 
      4.152       8.67                                            O140800300058 
      4.177       8.64                                            O140800300059 
      4.202       8.73                                            O140800300060 
      4.228       8.58                                            O140800300061 
      4.253       8.52                                            O140800300062 
      4.279       8.57                                            O140800300063 
      4.304       8.81                                            O140800300064 
      4.329       8.58                                            O140800300065 
      4.355        8.2                                            O140800300066 
       4.38       8.81                                            O140800300067 
      4.406       8.74                                            O140800300068 
      4.431       8.84                                            O140800300069 
      4.456       8.85                                            O140800300070 
      4.482       8.81                                            O140800300071 
      4.507       8.88                                            O140800300072 
      4.532       9.16                                            O140800300073 
      4.558       9.06                                            O140800300074 
      4.583       9.34                                            O140800300075 
      4.609       9.23                                            O140800300076 
      4.634       9.31                                            O140800300077 
      4.659       9.49                                            O140800300078 
      4.685       9.27                                            O140800300079 
       4.71       9.43                                            O140800300080 
      4.736       9.45                                            O140800300081 
      4.761       9.69                                            O140800300082 
      4.786       9.73                                            O140800300083 
      4.812       9.75                                            O140800300084 
      4.837      10.06                                            O140800300085 
      4.863       9.78                                            O140800300086 
      4.888       9.63                                            O140800300087 
      4.913      10.22                                            O140800300088 
      4.939      10.36                                            O140800300089 
      4.964      10.06                                            O140800300090 
       4.99      10.53                                            O140800300091 
      5.015      10.46                                            O140800300092 
       5.04      10.31                                            O140800300093 
      5.066       10.5                                            O140800300094 
      5.091      10.88                                            O140800300095 
      5.116      10.87                                            O140800300096 
      5.142      11.13                                            O140800300097 
      5.167      11.01                                            O140800300098 
      5.193      11.28                                            O140800300099 
      5.218      11.48                                            O140800300100 
      5.243      11.52                                            O140800300101 
      5.269      11.73                                            O140800300102 
      5.294      12.09                                            O140800300103 
       5.32      12.14                                            O140800300104 
      5.345      11.59                                            O140800300105 
       5.37      11.63                                            O140800300106 
      5.396      11.73                                            O140800300107 
      5.421      11.86                                            O140800300108 
      5.447      11.87                                            O140800300109 
      5.472      13.17                                            O140800300110 
      5.497      12.62                                            O140800300111 
      5.523      12.12                                            O140800300112 
      5.548      12.11                                            O140800300113 
      5.573      11.19                                            O140800300114 
      5.599      12.99                                            O140800300115 
      5.624      12.62                                            O140800300116 
       5.65      13.04                                            O140800300117 
      5.675      11.48                                            O140800300118 
        5.7      12.16                                            O140800300119 
ENDDATA            108          0                                 O140800300120 
ENDSUBENT          119          0                                 O140800399999 
SUBENT        O1408004   20070515                             O028O140800400001 
BIB                  2          2                                 O140800400002 
REACTION   (9-F-19(P,INL)9-F-19,PAR,DA,G)                         O140800400003 
EN-SEC     (E,G)                                                  O140800400004 
ENDBIB               2          0                                 O140800400005 
NOCOMMON             0          0                                 O140800400006 
DATA                 3        424                                 O140800400007 
EN         E          DATA                                        O140800400008 
MEV        KEV        MB/SR                                       O140800400009 
      3.009       110.       4.98                                 O140800400010 
      3.009       197.       7.24                                 O140800400011 
      3.009      1240.       1.09                                 O140800400012 
      3.009      1360.       1.91                                 O140800400013 
      3.034       110.        5.6                                 O140800400014 
      3.034       197.       6.37                                 O140800400015 
      3.034      1240.       1.64                                 O140800400016 
      3.034      1360.       1.44                                 O140800400017 
      3.059       110.       6.73                                 O140800400018 
      3.059       197.       5.27                                 O140800400019 
      3.059      1240.        2.3                                 O140800400020 
      3.059      1360.       1.67                                 O140800400021 
      3.085       110.       9.23                                 O140800400022 
      3.085       197.       5.13                                 O140800400023 
      3.085      1240.       3.49                                 O140800400024 
      3.085      1360.       2.09                                 O140800400025 
