ENTRY            O0882   20201027                             O081O0882  0    1 
SUBENT        O0882001   20201027                             O081O0882  1    1 
BIB                 12         23                                 O0882  1    2 
TITLE      Cross sections for 165 degree backscattering of 4He    O0882  1    3 
           from sodium and aluminum for a 4He energy between 2.0  O0882  1    4 
           and 6.0 MeV.                                           O0882  1    5 
AUTHOR     (Cheng Huan-Sheng, Lee Xiang-Yang, Yang Fujia)         O0882  1    6 
INSTITUTE  (3CPRFUD)                                              O0882  1    7 
REFERENCE  (J,NIM/B,56-57,749,1991)                               O0882  1    8 
SAMPLE     The pure aluminum film of 200 angstroms was evaporated O0882  1    9 
           on a pyrolytic graphite substrate and coated with 100  O0882  1   10 
           angstroms of silver.  The Na-F film of 400 angstroms   O0882  1   11 
           was evaporated on a self-supporting carbon film (10    O0882  1   12 
           mu-g/cm**2) and also coated with 100 angstroms of Ag.  O0882  1   13 
ADD-RES     A typical energy spectrum of He-4 ions backscattered  O0882  1   14 
           from the Al and Na-F film was represented.             O0882  1   15 
DETECTOR   (SIBAR)                                                O0882  1   16 
FACILITY   (VDGT,3CPRFUD)                                         O0882  1   17 
METHOD     (SITA)                                                 O0882  1   18 
ERR-ANALYS (ERR-T) Typical uncertainties of 2.5%.                 O0882  1   19 
           (ERR-S,,1.) Statistical error                          O0882  1   20 
STATUS     (TABLE) All data are taken from Sigma Data Base (ISU). O0882  1   21 
HISTORY    (20010608C)                                            O0882  1   22 
           (20030423U) Last checking has been done.               O0882  1   23 
           (20120520U) SD: Vol. of ref. on NIM/B,56 corrected.    O0882  1   24 
           (20201027A) SD: ERR-ANALYS updated. DATA-ERR -> ERR-T. O0882  1   25 
ENDBIB              23          0                                 O0882  1   26 
COMMON               3          3                                 O0882  1   27 
ANG        ANG-ERR    ERR-T                                       O0882  1   28 
ADEG       ADEG       PER-CENT                                    O0882  1   29 
       165.     0.5      2.5                                      O0882  1   30 
ENDCOMMON            3          0                                 O0882  1   31 
ENDSUBENT           30          0                                 O0882  199999 
SUBENT        O0882002   20030423                             0000O088200200001 
BIB                  1          1                                 O088200200002 
REACTION   (13-AL-27(A,EL)13-AL-27,,DA,,RTH)                      O088200200003 
ENDBIB               1          0                                 O088200200004 
NOCOMMON             0          0                                 O088200200005 
DATA                 2        137                                 O088200200006 
EN         DATA                                                   O088200200007 
KEV        NO-DIM                                                 O088200200008 
      2058.       0.99                                            O088200200009 
      2110.       0.99                                            O088200200010 
      2216.       0.99                                            O088200200011 
      2269.       0.99                                            O088200200012 
      2321.         1.                                            O088200200013 
      2427.         1.                                            O088200200014 
      2462.         1.                                            O088200200015 
      2498.       0.96                                            O088200200016 
      2515.       0.96                                            O088200200017 
      2550.       0.96                                            O088200200018 
      2638.       1.01                                            O088200200019 
      2656.       0.97                                            O088200200020 
      2673.       0.97                                            O088200200021 
      2709.       0.97                                            O088200200022 
      2726.       0.97                                            O088200200023 
      2796.       1.02                                            O088200200024 
      2832.       0.98                                            O088200200025 
      2901.       1.02                                            O088200200026 
      2919.       1.02                                            O088200200027 
      2937.       1.02                                            O088200200028 
      2955.       0.98                                            O088200200029 
      2972.       0.98                                            O088200200030 
      3007.       0.98                                            O088200200031 
      3024.       1.03                                            O088200200032 
      3078.       0.99                                            O088200200033 
      3148.       0.99                                            O088200200034 
      3183.       1.03                                            O088200200035 
      3201.       0.99                                            O088200200036 
      3218.       1.03                                            O088200200037 
      3254.       0.95                                            O088200200038 
      3271.       1.04                                            O088200200039 
      3306.         1.                                            O088200200040 
      3341.         1.                                            O088200200041 
      3395.       0.96                                            O088200200042 
      3412.         1.                                            O088200200043 
      3430.       0.96                                            O088200200044 
      3447.         1.                                            O088200200045 
      3552.       1.01                                            O088200200046 
      3623.       1.01                                            O088200200047 
      3641.       0.92                                            O088200200048 
      3676.       0.97                                            O088200200049 
      3693.       1.01                                            O088200200050 
      3712.       0.93                                            O088200200051 
      3727.        1.1                                            O088200200052 
      3763.       1.02                                            O088200200053 
      3798.       1.02                                            O088200200054 
      3817.       0.98                                            O088200200055 
      3852.       0.93                                            O088200200056 
      3869.       1.02                                            O088200200057 
      3922.       0.98                                            O088200200058 
      3940.       0.98                                            O088200200059 
      3957.       1.02                                            O088200200060 
      3993.       0.94                                            O088200200061 
      4009.       1.03                                            O088200200062 
      4045.       0.98                                            O088200200063 
      4098.       0.99                                            O088200200064 
      4133.       0.86                                            O088200200065 
      4135.       0.99                                            O088200200066 
      4168.       0.99                                            O088200200067 
      4186.       0.99                                            O088200200068 
      4206.       0.82                                            O088200200069 
      4241.       0.82                                            O088200200070 
      4272.       1.12                                            O088200200071 
      4292.       0.95                                            O088200200072 
      4327.       0.95                                            O088200200073 
      4344.         1.                                            O088200200074 
      4364.       0.83                                            O088200200075 
      4397.       0.96                                            O088200200076 
      4414.       1.04                                            O088200200077 
      4431.       1.04                                            O088200200078 
      4451.       0.87                                            O088200200079 
      4483.       1.13                                            O088200200080 
      4523.       0.75                                            O088200200081 
      4541.       0.75                                            O088200200082 
      4575.       0.79                                            O088200200083 
      4593.       0.75                                            O088200200084 
      4626.       0.84                                            O088200200085 
      4627.       0.97                                            O088200200086 
      4663.        0.8                                            O088200200087 
      4683.       0.58                                            O088200200088 
      4714.       0.97                                            O088200200089 
      4732.       0.89                                            O088200200090 
      4768.       0.84                                            O088200200091 
      4787.       0.72                                            O088200200092 
      4821.       0.85                                            O088200200093 
      4838.       0.85                                            O088200200094 
      4871.       1.02                                            O088200200095 
      4889.       0.98                                            O088200200096 
      4904.       1.24                                            O088200200097 
      4923.       1.07                                            O088200200098 
      4946.       0.68                                            O088200200099 
      4978.       0.94                                            O088200200100 
      5012.       1.03                                            O088200200101 
      5031.        0.9                                            O088200200102 
      5067.       0.86                                            O088200200103 
      5090.       0.43                                            O088200200104 
      5103.       0.77                                            O088200200105 
      5129.       1.46                                            O088200200106 
      5140.        0.6                                            O088200200107 
      5175.       0.69                                            O088200200108 
      5193.       0.61                                            O088200200109 
      5225.       0.86                                            O088200200110 
      5244.       0.74                                            O088200200111 
      5272.       1.34                                            O088200200112 
      5298.        0.7                                            O088200200113 
      5328.       1.08                                            O088200200114 
      5354.       1.81                                            O088200200115 
      5373.       0.27                                            O088200200116 
      5398.       1.13                                            O088200200117 
      5415.       1.13                                            O088200200118 
      5433.       1.13                                            O088200200119 
      5468.       1.13                                            O088200200120 
      5484.       1.22                                            O088200200121 
      5513.       1.73                                            O088200200122 
      5548.       1.78                                            O088200200123 
      5576.       0.96                                            O088200200124 
      5583.       1.73                                            O088200200125 
      5617.        0.5                                            O088200200126 
      5644.       1.14                                            O088200200127 
      5650.       0.67                                            O088200200128 
      5682.       0.88                                            O088200200129 
      5712.       1.31                                            O088200200130 
      5736.        0.8                                            O088200200131 
      5762.       1.49                                            O088200200132 
      5791.       0.63                                            O088200200133 
      5826.       0.63                                            O088200200134 
      5843.       0.68                                            O088200200135 
      5876.       0.85                                            O088200200136 
      5897.       0.51                                            O088200200137 
      5898.       0.59                                            O088200200138 
      5931.       0.64                                            O088200200139 
      5948.       0.72                                            O088200200140 
      5979.       1.02                                            O088200200141 
      6018.       0.73                                            O088200200142 
      6036.       0.73                                            O088200200143 
      6068.       0.99                                            O088200200144 
      6090.       0.64                                            O088200200145 
ENDDATA            139          0                                 O088200200146 
ENDSUBENT          145          0                                 O088200299999 
SUBENT        O0882003   20030423                             0000O088200300001 
BIB                  1          1                                 O088200300002 
REACTION   (11-NA-23(A,EL)11-NA-23,,DA,,RTH)                      O088200300003 
ENDBIB               1          0                                 O088200300004 
NOCOMMON             0          0                                 O088200300005 
DATA                 2        137                                 O088200300006 
EN         DATA                                                   O088200300007 
KEV        NO-DIM                                                 O088200300008 
