ENTRY            O0461   20000426                             0000O046100000001 
SUBENT        O0461001   20000426                             0000O046100100001 
BIB                 10         18                                 O046100100002 
TITLE       (P,A) Reactions on the Even Nuclei Ni-58, Ni-60 and   O046100100003 
           Fe-56.                                                 O046100100004 
AUTHOR     (I.KUMABE,H.OGATA,T.KOMATUZAKI,N.INOUE,S.TOMITA,       O046100100005 
           Y.YAMADA,T.YAMAKI,S.MATSUMOTO)                         O046100100006 
INSTITUTE  (2JPNKTO)                                              O046100100007 
REFERENCE  (J,NP,46,437,1963)                                     O046100100008 
HISTORY    (19980624C)                                            O046100100009 
           (19980729U) Last checking has been done.               O046100100010 
           (20000426A) DATE is corrected                          O046100100011 
ADD-RES    (COMP).The Theory of the Compound Nucleus Developed by O046100100012 
           Ericson.                                               O046100100013 
           New Levels have Been Found in Co-55 and Co-57.         O046100100014 
DETECTOR   (SOLST).A P-N Junction Detector (TWO SOLID STATE       O046100100015 
           DETECTORS).                                            O046100100016 
           (CSICR).The Counter For Monitoring the Beam Current.   O046100100017 
FACILITY   (ISOCY,2JPNTOK).A 160 Cm Variable Energy Cyclotron.    O046100100018 
METHOD     (BCINT)                                                O046100100019 
STATUS     (CURVE).By CAJAD.                                      O046100100020 
ENDBIB              18          0                                 O046100100021 
NOCOMMON             0          0                                 O046100100022 
ENDSUBENT           21          0                                 O046100199999 
SUBENT        O0461002   20000426                             0000O046100200001 
BIB                  5          7                                 O046100200002 
REACTION   (28-NI-58(P,A)27-CO-55,PAR,DA)                         O046100200003 
EN-SEC     (E-LVL,27-CO-55)                                       O046100200004 
SAMPLE     Selfsupporting Metallic Foils of Ni-58,Enrichment-95%, O046100200005 
           Thickness 0.075 Mg/Cm**2,were Used.                    O046100200006 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O046100200007 
           (ANG-ERR).Data-Point Reader Uncertainty.               O046100200008 
COMMENT    - By Compiler - 1.8 MeV Level is Absent in ENSDF.      O046100200009 
ENDBIB               7          0                                 O046100200010 
COMMON               1          3                                 O046100200011 
ANG-ERR                                                           O046100200012 
ADEG                                                              O046100200013 
        0.6                                                       O046100200014 
ENDCOMMON            3          0                                 O046100200015 
DATA                 5        203                                 O046100200016 
EN         ANG-CM     E-LVL      DATA-CM    ERR-T                 O046100200017 
MEV        ADEG       MEV        MB/SR      MB/SR                 O046100200018 
      9.776       22.1         0.      0.478      0.009           O046100200019 
      9.776       32.5         0.      0.409      0.007           O046100200020 
      9.776       47.6         0.      0.454      0.009           O046100200021 
      9.776       62.7         0.      0.589      0.011           O046100200022 
      9.776       77.8         0.      0.716      0.009           O046100200023 
      9.776       92.2         0.      0.814      0.008           O046100200024 
      9.776      106.5         0.      0.747      0.011           O046100200025 
      9.776      121.6         0.      0.649      0.012           O046100200026 
      9.776      136.3         0.       0.56      0.007           O046100200027 
      9.776      150.2         0.        0.6      0.011           O046100200028 
      9.776      160.2         0.      0.705      0.011           O046100200029 
       12.6       19.7         0.       0.69       0.03           O046100200030 
       12.6        20.       2.45      0.315      0.017           O046100200031 
       12.6       20.5        1.8       0.23      0.016           O046100200032 
       12.6       21.5        2.2      0.233      0.016           O046100200033 
       12.6        30.         0.      0.638      0.024           O046100200034 
       12.6       30.3        2.2      0.227      0.013           O046100200035 
       12.6       30.7       2.45      0.244      0.012           O046100200036 
       12.6       31.3        1.8      0.219      0.012           O046100200037 
       12.6       40.5         0.       0.56       0.03           O046100200038 
       12.6       41.5        1.8      0.173      0.007           O046100200039 
       12.6       41.7        2.2      0.199       0.01           O046100200040 
       12.6       41.7       2.45      0.189      0.015           O046100200041 
       12.6       51.4       2.45      0.169      0.009           O046100200042 
       12.6       51.5         0.      0.539      0.019           O046100200043 
       12.6       52.2        1.8      0.131      0.007           O046100200044 
       12.6       52.4        2.2      0.174      0.011           O046100200045 
       12.6       61.7       2.45      0.162      0.009           O046100200046 
       12.6       61.8         0.      0.499      0.018           O046100200047 
       12.6       62.2        1.8      0.126      0.005           O046100200048 
       12.6       62.7        2.2      0.174      0.007           O046100200049 
       12.6        72.        2.2      0.196      0.011           O046100200050 
       12.6       72.1       2.45      0.162      0.007           O046100200051 
       12.6       72.3         0.      0.484      0.017           O046100200052 
       12.6       72.6        1.8       0.12      0.004           O046100200053 
       12.6       80.2         0.      0.548      0.017           O046100200054 
       12.6       81.6       2.45      0.195      0.009           O046100200055 
       12.6        82.        2.2      0.173      0.009           O046100200056 
       12.6       82.3        1.8      0.118      0.004           O046100200057 
       12.6       90.7         0.      0.533      0.015           O046100200058 
