ENTRY            O1729   20120614                             O048O172900000001 
SUBENT        O1729001   20120614                             O048O172900100001 
BIB                 11         25                                 O172900100002 
TITLE      A study of levels in Nd-149 using the (d,p) and (d,t)  O172900100003 
           reactions.                                             O172900100004 
AUTHOR     (M.Jaskola)                                            O172900100005 
INSTITUTE  (3POLIPJ)                                              O172900100006 
REFERENCE  (J,APP/B,39,695,2008)                                  O172900100007 
ADD-RES    (COMP).Distorted-wave born approximation calculations  O172900100008 
           Spectroscopic factors were deduced.                    O172900100009 
           (STRUC)                                                O172900100010 
DETECTOR   (MAGSP) The reaction products were analysed in a singleO172900100011 
           gap Elbek-type magnetic spectrograph and detected in   O172900100012 
           Ilford K2 nuclear emulsion with a thickness of 25      O172900100013 
           microns.                                               O172900100014 
           (PLATE)                                                O172900100015 
FACILITY   (VDGT,2DENNBI)                                         O172900100016 
METHOD     (BCINT) The total integrated deuteron beam current     O172900100017 
           was approximately from 400 muC to 800 muC.             O172900100018 
EN-SEC     (E-LVL,60-ND-149)                                      O172900100019 
ERR-ANALYS (ERR-S) The relative values of the                     O172900100020 
           cross sections for a state measured at different anglesO172900100021 
           from the same target nucleus should have a better      O172900100022 
           accuracy and are of statistical nature only about +-10%O172900100023 
HISTORY    (20090201C) SB                                         O172900100024 
           (20120614A) SD: Units in col. E-LVL in Subent 3 were   O172900100025 
           changed (MEV -> KEV). COMMENT renamed on MONITOR and   O172900100026 
           moved to Subents 2,3.                                  O172900100027 
ENDBIB              25          0                                 O172900100028 
COMMON               2          3                                 O172900100029 
EN         ERR-S                                                  O172900100030 
MEV        PER-CENT                                               O172900100031 
       12.1   10.                                                 O172900100032 
ENDCOMMON            3          0                                 O172900100033 
ENDSUBENT           32          0                                 O172900199999 
SUBENT        O1729002   20120614                             O048O172900200001 
BIB                  9         23                                 O172900200002 
REACTION   (60-ND-150(D,T)60-ND-149,PAR,DA)                       O172900200003 
MONITOR    (60-ND-150(D,EL)60-ND-150,,DA,,RTH)                    O172900200004 
           The absolute cross sections were determined by         O172900200005 
           normalisation to the cross section for elastic deuteronO172900200006 
           scattering.                                            O172900200007 
SAMPLE     (60-ND-150,ENR=0.95) Evaporated neodymium target       O172900200008 
           isotopically enriched in Nd-150 up to about 95% were   O172900200009 
           used. The targets were approximately 110 mug/cm**2     O172900200010 
           thick, evaporated onto 10-20 mug/cm**2 thick carbon    O172900200011 
                                                        backing.  O172900200012 
INC-SOURCE *EN-RSL-FW*.The overall energy resolution was 12-15 keVO172900200013 
            (FWHM) in detection of the outgoing tritons.          O172900200014 
PART-DET   (T)                                                    O172900200015 
ERR-ANALYS (DATA-ERR) The absolute cross section values (includingO172900200016 
           statistical error) are not known to better than +-20%  O172900200017 
           due to uncertainties in normalisation procedure.       O172900200018 
COMMENT    *By authors*.                                          O172900200019 
            -For ground state for 125 degree in paper the value   O172900200020 
            22 is wrong, must be 2(1.5)                           O172900200021 
STATUS     (TABLE) The data were received from M.Jaskola          O172900200022 
           for Nd-150(d,t)Nd-149 reactions 04.02.2009             O172900200023 
           (APRVD).By M.Jaskola                                   O172900200024 
HISTORY    (20120614A) SD: MONITOR was added.                     O172900200025 
ENDBIB              23          0                                 O172900200026 
COMMON               1          3                                 O172900200027 
EN-RSL-FW                                                         O172900200028 
KEV                                                               O172900200029 
15.                                                               O172900200030 
ENDCOMMON            3          0                                 O172900200031 
DATA                 4        435                                 O172900200032 
ANG-CM     E-LVL      DATA-CM    DATA-ERR                         O172900200033 
ADEG       KEV        MU-B/SR    MU-B/SR                          O172900200034 
5.         0.         2.         1.5                              O172900200035 
5.         108.       5.         2.1                              O172900200036 
5.         138.       2.         1.8                              O172900200037 
5.         165.       50.        7.1                              O172900200038 
5.         256.       7.         2.8                              O172900200039 
5.         285.       21.        4.8                              O172900200040 
5.         320.       15.        4.3                              O172900200041 
5.         366.       62.        8.1                              O172900200042 
5.         403.       16.        4.3                              O172900200043 
5.         447.       5.         2.3                              O172900200044 
5.         482.       139.       11.9                             O172900200045 
5.         548.       54.        7.3                              O172900200046 
5.         571.       4.         2.5                              O172900200047 
5.         589.       6.         2.6                              O172900200048 
5.         611.       3.         1.9                              O172900200049 
5.         645.       22.        4.6                              O172900200050 
5.         706.       31.        5.8                              O172900200051 
5.         738.       10.        3.6                              O172900200052 
5.         812.       336.       18.5                             O172900200053 
5.         831.       5.         2.4                              O172900200054 
5.         918.       8.         3.0                              O172900200055 
5.         984.       1063.      33.0                             O172900200056 
5.         1128.      14.        3.9                              O172900200057 
5.         1287.      6.         2.6                              O172900200058 
10.        0.         4.         2.7                              O172900200059 
10.        108.       10.        3.1                              O172900200060 
10.        138.       3.         1.9                              O172900200061 
10.        165.       136.       10.9                             O172900200062 
10.        256.       25.        5.2                              O172900200063 
10.        285.       59.        7.9                              O172900200064 
10.        320.       25.        6.4                              O172900200065 
10.        366.       171.       13.6                             O172900200066 
10.        403.       49.        7.2                              O172900200067 
10.        447.       5.         2.3                              O172900200068 
10.        482.       81.        9.3                              O172900200069 
10.        510.       8.         3.0                              O172900200070 
10.        548.       147.       13.0                             O172900200071 
10.        571.       6.         2.6                              O172900200072 
10.        589.       9.         3.1                              O172900200073 
10.        611.       2.         1.5                              O172900200074 
10.        645.       21.        4.5                              O172900200075 
10.        706.       30.        5.8                              O172900200076 
10.        738.       39.        6.5                              O172900200077 
10.        812.       242.       15.7                             O172900200078 
10.        831.       17.        4.3                              O172900200079 
10.        880.       12.        3.5                              O172900200080 
10.        918.       6.         2.6                              O172900200081 
10.        959.       4.         2.3                              O172900200082 
10.        984.       715.       27.0                             O172900200083 
10.        1025.      28.        5.4                              O172900200084 
10.        1044.      2.         1.5                              O172900200085 
10.        1128.      18.        4.3                              O172900200086 
10.        1147.      3.         1.9                              O172900200087 
10.        1287.      7.         2.8                              O172900200088 
10.        1503.      15.        4.0                              O172900200089 
15.        0.         4.         2.1                              O172900200090 
15.        108.       21.        4.3                              O172900200091 
15.        138.       6.         2.1                              O172900200092 
15.        165.       188.       14.8                             O172900200093 
15.        220.       1.         1.1                              O172900200094 
15.        256.       37.        6.3                              O172900200095 
15.        285.       78.        9.0                              O172900200096 
15.        320.       45.        7.1                              O172900200097 
15.        366.       223.       15.1                             O172900200098 
15.        403.       66.        8.5                              O172900200099 
15.        447.       9.         3.1                              O172900200100 
15.        482.       41.        6.4                              O172900200101 
15.        510.       7.         2.9                              O172900200102 
15.        548.       204.       14.8                             O172900200103 
15.        571.       6.         2.6                              O172900200104 
15.        589.       8.         3.0                              O172900200105 
15.        611.       2.         1.5                              O172900200106 
15.        645.       20.        4.5                              O172900200107 
15.        706.       87.        9.6                              O172900200108 
15.        738.       44.        6.8                              O172900200109 
15.        812.       130.       11.5                             O172900200110 
15.        831.       26.        5.3                              O172900200111 
15.        880.       29.        5.4                              O172900200112 
