ENTRY            O2059   20120221                             O050O205900000001 
SUBENT        O2059001   20120221                             O050O205900100001 
BIB                 11         30                                 O205900100002 
TITLE      Investigation of the reaction Ge-74(p,g)As-75 using theO205900100003 
           in-beam method to improve reaction network predictions O205900100004 
           for p- nuclei.                                         O205900100005 
AUTHOR     (A.Sauerwein, J.Endres, L.Netterdon, A.Zilges,         O205900100006 
           V.Foteinou, G.Provatas, T.Konstantinopoulos,           O205900100007 
           M.Axiotis, S.F.Ashley, S.Harissopulos, T.Rauscher)     O205900100008 
INSTITUTE  (2GERKLN)                                              O205900100009 
           (2GRCATH)                                              O205900100010 
           (2SWTBAS)                                              O205900100011 
REFERENCE  (J,PR/C,86,035802,2012)                                O205900100012 
FACILITY   (VDGT,2GRCATH) 5.5 MV Tandem Accelerator of NCSR       O205900100013 
                         "Demokritos"                             O205900100014 
SAMPLE     Germanium, with an enrichment in Ge-74 of 97.8%, was   O205900100015 
           evaporated in vacuum onto a 80 mg/cm**2 thick gold     O205900100016 
           foil.                                                  O205900100017 
MONITOR    (13-AL-27(P,G)14-SI-28,,SIG)                           O205900100018 
DETECTOR   (HPGE) four high-purity germanium detectors. Three     O205900100019 
           detectors have a relative detection efficiency of 100%,O205900100020 
           whereas the fourth detector has a relative efficiency  O205900100021 
           of 80% compared to a 7.62*7.62-cm cylindrical NaI      O205900100022 
           detector at E(g) = 1.33 MeV.                           O205900100023 
METHOD     (BCINT)                                                O205900100024 
ERR-ANALYS (EN-ERR).The error is reported by authors in table     O205900100025 
           (ERR-1,2.,5.).Electron screening correction, similar   O205900100026 
           would lead to a decreasing of the cross section of     O205900100027 
           about 5% and 2% for the lowest and highest energies    O205900100028 
           measured in this experiment, respectively.             O205900100029 
           (DATA-ERR).The uncertainty is reported by authors in   O205900100030 
           table.                                                 O205900100031 
HISTORY    (20121012C) sb                                         O205900100032 
ENDBIB              30          0                                 O205900100033 
NOCOMMON             0          0                                 O205900100034 
ENDSUBENT           33          0                                 O205900199999 
SUBENT        O2059002   20121021                             O050O205900200001 
BIB                  2          2                                 O205900200002 
REACTION   (32-GE-74(P,G)33-AS-75,,SIG)                           O205900200003 
STATUS     (TABLE).Table 1 of J,PR/C,86,035802,2012               O205900200004 
ENDBIB               2          0                                 O205900200005 
NOCOMMON             0          0                                 O205900200006 
DATA                 4          7                                 O205900200007 
EN-CM      EN-ERR     DATA       DATA-ERR                         O205900200008 
KEV        KEV        MB         MB                               O205900200009 
2063.      7.         0.65       0.06                             O205900200010 
2360.      7.         1.93       0.16                             O205900200011 
2657.      7.         4.5        0.4                              O205900200012 
2955.      7.         8.3        0.7                              O205900200013 
3251.      7.         14.1       1.2                              O205900200014 
3449.      7.         13.9       1.2                              O205900200015 
3646.      8.         5.7        0.6                              O205900200016 
ENDDATA              9          0                                 O205900200017 
ENDSUBENT           16          0                                 O205900299999 
SUBENT        O2059003   20121021                             O050O205900300001 
BIB                  3          3                                 O205900300002 
REACTION   (32-GE-74(P,G)33-AS-75,PAR,SIG)                        O205900300003 
EN-SEC     (E-LVL,33-AS-75)                                       O205900300004 
STATUS     (TABLE).Table 4 of J,PR/C,86,035802,2012               O205900300005 
ENDBIB               3          0                                 O205900300006 
NOCOMMON             0          0                                 O205900300007 
DATA                 5         83                                 O205900300008 
E-LVL      EN-CM      EN-ERR     DATA       DATA-ERR              O205900300009 
KEV        KEV        KEV        MICRO-B    MICRO-B               O205900300010 
0.         2063.      7.         11.8       0.9                   O205900300011 
0.         2360.      7.         20.8       1.5                   O205900300012 
0.         2657.      7.         41.8       3.1                   O205900300013 
0.         2955.      7.         64.9       4.7                   O205900300014 
0.         3251.      7.         90.0       6.6                   O205900300015 
0.         3449.      7.         82.6       6.1                   O205900300016 
0.         3646.      8.         31.0       2.3                   O205900300017 
193.       2063.      7.         9.88       0.7                   O205900300018 
193.       2360.      7.         19.0       1.4                   O205900300019 
193.       2657.      7.         33.8       2.5                   O205900300020 
193.       2955.      7.         56.8       4.1                   O205900300021 
193.       3251.      7.         62.8       4.8                   O205900300022 
193.       3449.      7.         58.6       4.4                   O205900300023 
193.       3646.      8.         21.7       1.9                   O205900300024 
265.       2063.      7.         9.6        1.2                   O205900300025 
265.       2360.      7.         30.6       2.5                   O205900300026 
265.       2657.      7.         49.5       3.9                   O205900300027 
265.       2955.      7.         73.3       5.6                   O205900300028 
265.       3251.      7.         102.9      7.7                   O205900300029 
265.       3449.      7.         90.5       7.0                   O205900300030 
265.       3646.      8.         32.2       3.2                   O205900300031 
280.       2063.      7.         3.2        1.0                   O205900300032 
280.       2360.      7.         3.8        1.0                   O205900300033 
280.       2657.      7.         12.0       1.3                   O205900300034 
280.       2955.      7.         19.8       2.2                   O205900300035 
280.       3251.      7.         25.4       2.7                   O205900300036 
280.       3449.      7.         26.2       3.0                   O205900300037 
280.       3646.      8.         7.6        1.0                   O205900300038 
401.       2360.      7.         7.1        0.7                   O205900300039 
401.       2657.      7.         15.1       1.4                   O205900300040 
401.       2955.      7.         26.1       2.1                   O205900300041 
401.       3251.      7.         39.6       3.7                   O205900300042 
401.       3449.      7.         30.6       2.8                   O205900300043 
401.       3646.      8.         10.3       1.1                   O205900300044 
469.       2063.      7.         7.9        0.6                   O205900300045 
469.       2360.      7.         14.7       1.2                   O205900300046 
469.       2657.      7.         30.3       2.4                   O205900300047 
469.       2955.      7.         44.9       3.4                   O205900300048 
469.       3251.      7.         64.9       5.2                   O205900300049 
469.       3449.      7.         45.1       3.8                   O205900300050 
469.       3646.      8.         19.9       1.7                   O205900300051 
572.       2063.      7.         2.0        0.3                   O205900300052 
572.       2360.      7.         3.2        0.5                   O205900300053 
572.       2657.      7.         12.2       1.4                   O205900300054 
572.       2955.      7.         16.4       1.7                   O205900300055 
572.       3251.      7.         35.3       3.4                   O205900300056 
572.       3449.      7.         17.9       2.2                   O205900300057 
572.       3646.      8.         9.1        1.4                   O205900300058 
618.       2063.      7.         5.7        0.5                   O205900300059 
618.       2360.      7.         12.4       1.2                   O205900300060 
618.       2657.      7.         25.7       2.3                   O205900300061 
618.       2955.      7.         45.0       3.5                   O205900300062 
618.       3251.      7.         60.9       5.9                   O205900300063 
618.       3449.      7.         45.3       3.8                   O205900300064 
618.       3646.      8.         22.4       2.0                   O205900300065 
865.       2063.      7.         3.1        0.5                   O205900300066 
865.       2360.      7.         9.1        0.9                   O205900300067 
865.       2657.      7.         23.9       2.2                   O205900300068 
865.       2955.      7.         34.5       2.9                   O205900300069 
865.       3251.      7.         54.1       4.7                   O205900300070 
865.       3449.      7.         43.9       3.9                   O205900300071 
865.       3646.      8.         27.4       2.5                   O205900300072 
1075.      2063.      7.         8.0        0.7                   O205900300073 
