ENTRY            O1969   20120221                             O047O196900000001 
SUBENT        O1969001   20120221                             O047O196900100001 
BIB                 12         37                                 O196900100002 
TITLE      Proton elastic scattering differential cross-section   O196900100003 
           measurements of Sc-45.                                 O196900100004 
AUTHOR     (G.Provatas, A.Lagoyannis, S.Harissopulos, V.Foteinou, O196900100005 
           T.Konstantinopoulos, P.Misaelides, M.Kokkoris)         O196900100006 
INSTITUTE  (2GRCATH)                                              O196900100007 
           (2GRCARU)                                              O196900100008 
           (2GRCTUA)                                              O196900100009 
REFERENCE  (J,NIM/B,269,2994,2011)                                O196900100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV Tandem Accelerator of N.C.S.R.   O196900100011 
                         "Demokritos"                             O196900100012 
SAMPLE     A thin self-supporting target was prepared by          O196900100013 
           evaporating ScBr(3) onto a carbon foil of 10 mug/cm**2 O196900100014 
           and placed inside a goniometric chamber. A thin gold   O196900100015 
           layer was evaporated on top of the Sc-Br layer in orderO196900100016 
           to calculate the beam current and to ensure better     O196900100017 
           thermal stability of the target during the irradiation.O196900100018 
           for energy range 2300-5500 keV                         O196900100019 
           The ScBr3 target was replaced by a thick approx. 0.2 cmO196900100020 
           pressed Sc(2)O(3) target. For this measurement the     O196900100021 
           thick target was irradiated for proton energies in the O196900100022 
           range E(lab)=3100-5500 keV                             O196900100023 
           The target was found to consist of 10.6+-0.9 mug/cm**2 O196900100024 
           Sc-45, 19+-2 mug/cm**2 of Br-nat                       O196900100025 
           and 9.1+-0.6 mug/cm**2 of Au-197                       O196900100026 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O196900100027 
DETECTOR   (SIBAR) three Si surface barrier detectors with        O196900100028 
           a 300-1000 mum depletion layer for first type of targetO196900100029 
           and single Si surface barrier detector for Sc(2)O(3)   O196900100030 
           target                                                 O196900100031 
METHOD     (BCINT)                                                O196900100032 
ERR-ANALYS (EN-ERR).The error is reported by authors in table     O196900100033 
           (ERR-1,7.,8.).The error in areal densities of the Au   O196900100034 
           and Sc layers of the target                            O196900100035 
           (DATA-ERR).The uncertainty is reported by authors in   O196900100036 
           table.                                                 O196900100037 
STATUS     (TABLE).Table 1 of J,NIM/B,269,2994,2011               O196900100038 
HISTORY    (20120222C) sb                                         O196900100039 
ENDBIB              37          0                                 O196900100040 
NOCOMMON             0          0                                 O196900100041 
ENDSUBENT           40          0                                 O196900199999 
SUBENT        O1969002   20120222                             O047O196900200001 
BIB                  1          1                                 O196900200002 
REACTION   (21-SC-45(P,EL)21-SC-45,,DA)                           O196900200003 
ENDBIB               1          0                                 O196900200004 
NOCOMMON             0          0                                 O196900200005 
DATA                 5        266                                 O196900200006 
ANG        EN         EN-ERR     DATA       DATA-ERR              O196900200007 
160.       2289.      7.         108.       11.                   O196900200083 
160.       2339.      7.         116.       12.                   O196900200084 
160.       2390.      7.         104.       11.                   O196900200085 
160.       2440.      7.         91.        10.                   O196900200086 
160.       2490.      7.         84.        9.                    O196900200087 
160.       2540.      7.         81.        8.                    O196900200088 
160.       2590.      7.         80.        8.                    O196900200089 
160.       2640.      7.         85.        9.                    O196900200090 
160.       2690.      7.         83.        9.                    O196900200091 
160.       2740.      7.         77.        8.                    O196900200092 
160.       2790.      7.         77.        8.                    O196900200093 
160.       2840.      7.         74.        8.                    O196900200094 
160.       2890.      7.         61.        6.                    O196900200095 
160.       2940.      7.         64.        7.                    O196900200096 
160.       2990.      7.         69.        7.                    O196900200097 
160.       3041.      6.         62.        7.                    O196900200098 
160.       3091.      6.         60.        6.                    O196900200099 
160.       3141.      6.         57.        6.                    O196900200100 
160.       3191.      6.         54.        6.                    O196900200101 
160.       3241.      6.         54.        6.                    O196900200102 
160.       3291.      6.         53.        6.                    O196900200103 
160.       3341.      6.         54.        6.                    O196900200104 
160.       3391.      6.         58.        6.                    O196900200105 
160.       3441.      6.         45.        5.                    O196900200106 
160.       3492.      6.         48.        5.                    O196900200107 
160.       3517.      6.         47.        5.                    O196900200108 
160.       3542.      6.         55.        6.                    O196900200109 
160.       3592.      6.         46.        5.                    O196900200110 
160.       3642.      6.         49.        5.                    O196900200111 
160.       3692.      6.         49.        5.                    O196900200112 
160.       3742.      6.         46.        5.                    O196900200113 
160.       3792.      6.         54.        6.                    O196900200114 
160.       3842.      6.         52.        5.                    O196900200115 
160.       3892.      6.         43.        5.                    O196900200116 
160.       3942.      6.         49.        5.                    O196900200117 
160.       3992.      6.         45.        5.                    O196900200118 
160.       4017.      6.         42.        4.                    O196900200119 
160.       4042.      6.         41.        4.                    O196900200120 
160.       4067.      6.         38.        4.                    O196900200121 
160.       4092.      6.         41.        4.                    O196900200122 
160.       4117.      6.         44.        5.                    O196900200123 
160.       4142.      5.         50.        5.                    O196900200124 
160.       4167.      5.         43.        4.                    O196900200125 
160.       4192.      5.         42.        4.                    O196900200126 
160.       4217.      5.         39.        4.                    O196900200127 
160.       4242.      5.         39.        4.                    O196900200128 
160.       4267.      5.         33.        3.                    O196900200129 
160.       4292.      5.         42.        4.                    O196900200130 
160.       4317.      5.         32.        3.                    O196900200131 
160.       4342.      5.         39.        4.                    O196900200132 
160.       4367.      5.         36.        4.                    O196900200133 
160.       4392.      5.         39.        4.                    O196900200134 
160.       4417.      5.         35.        5.                    O196900200135 
160.       4442.      5.         34.        3.                    O196900200136 
160.       4467.      5.         41.        4.                    O196900200137 
160.       4492.      5.         39.        4.                    O196900200138 
160.       4517.      5.         29.        3.                    O196900200139 
