ENTRY            O2351   20200827                             O079O2351  0    1 
SUBENT        O2351001   20200827                             O079O2351  1    1 
BIB                 10         30                                 O2351  1    2 
TITLE      Differential cross-section measurements for deuteron   O2351  1    3 
           elastic scattering on natSi for elastic                O2351  1    4 
           backscattering purposes                                O2351  1    5 
AUTHOR     (E.Ntemou,X.Aslanoglou,M.Axiotis,M.Kokkoris,           O2351  1    6 
           A.Lagoyannis,P.Misaelides,N.Patronis,                  O2351  1    7 
           K.Preketes-Sigalas,P.Tsintari)                         O2351  1    8 
INSTITUTE  (2GRCTUA,2GRCIOA,2GRCATH,2GRCARU)                      O2351  1    9 
REFERENCE  (J,NIM/B,450,24,2019)                                  O2351  1   10 
           #doi:10.1016/j.nimb.2018.02.033                        O2351  1   11 
FACILITY   (VDGT,2GRCATH)                                         O2351  1   12 
SAMPLE     Natural Si target in form of 5*5 mm**2, 75 mm thick    O2351  1   13 
           Si3N4 foil with a ultra thin Au layer on the top       O2351  1   14 
DETECTOR   (SIBAR) 6 detectors positioned at angles 120, 130,     O2351  1   15 
           140, 150, 160, and 170 degrees                         O2351  1   16 
METHOD     (EXTB,SITA) Elastic scattering of deuterons was        O2351  1   17 
           studied on natural Si in the energy range of 1.0-2.2   O2351  1   18 
           MeV. The differential cross sections on Si were        O2351  1   19 
           determined relative to the deuteron scattering cross   O2351  1   20 
           sections on Au, calculated using the Rutherford        O2351  1   21 
           formula. The deuteron energy at the half of the        O2351  1   22 
           target thickness was calculated using the SIMNRA       O2351  1   23 
           code. In order to validate the experimental data,      O2351  1   24 
           scattering spectra were also measured using a          O2351  1   25 
           polished crystalline Si[111] wafer as target.          O2351  1   26 
ERR-ANALYS (ERR-SYS,8.,9.) systematical errors were estimated to  O2351  1   27 
           be 8-9%                                                O2351  1   28 
           (ERR-S) the statistical error on the experimental      O2351  1   29 
           yields                                                 O2351  1   30 
HISTORY    (20180325C)  MPT                                       O2351  1   31 
           (20200827U) SD: Ref. updated, Author's name corrected. O2351  1   32 
ENDBIB              30          0                                 O2351  1   33 
NOCOMMON             0          0                                 O2351  1   34 
ENDSUBENT           33          0                                 O2351  199999 
SUBENT        O2351002   20180325                             O064O2351  2    1 
BIB                  2          2                                 O2351  2    2 
REACTION   (14-SI-0(D,EL)14-SI-0,,DA,,RTH)                        O2351  2    3 
STATUS     (TABLE)   From Table 1.                                O2351  2    4 
ENDBIB               2          0                                 O2351  2    5 
COMMON               1          3                                 O2351  2    6 
EN-ERR                                                            O2351  2    7 
KEV                                                               O2351  2    8 
3.0                                                               O2351  2    9 
ENDCOMMON            3          0                                 O2351  2   10 
DATA                 4        720                                 O2351  2   11 
ANG        EN         DATA       ERR-S                            O2351  2   12 
ADEG       KEV        NO-DIM     NO-DIM                           O2351  2   13 
       120.      992.4      0.982      0.015                      O2351  2   14 
       120.     1002.3      0.992      0.015                      O2351  2   15 
       120.     1012.3      1.007      0.016                      O2351  2   16 
       120.     1022.4      0.976      0.015                      O2351  2   17 
       120.     1032.4      0.957      0.015                      O2351  2   18 
       120.     1042.4      1.009      0.016                      O2351  2   19 
       120.     1052.4      0.978      0.016                      O2351  2   20 
       120.     1062.5      1.011      0.016                      O2351  2   21 
       120.     1072.5      1.005      0.016                      O2351  2   22 
       120.     1082.5      0.994      0.016                      O2351  2   23 
       120.     1092.5      0.998      0.016                      O2351  2   24 
       120.     1102.5      0.998      0.016                      O2351  2   25 
       120.     1112.6      0.995      0.016                      O2351  2   26 
       120.     1122.6      1.003      0.017                      O2351  2   27 
       120.     1132.6      0.991      0.017                      O2351  2   28 
       120.     1142.6      1.014      0.017                      O2351  2   29 
       120.     1152.7      0.996      0.017                      O2351  2   30 
       120.     1162.7      1.013      0.015                      O2351  2   31 
       120.     1172.7      0.998      0.015                      O2351  2   32 
       120.     1182.7      1.028      0.016                      O2351  2   33 
       120.     1192.7      0.999      0.015                      O2351  2   34 
       120.     1202.8      0.990      0.015                      O2351  2   35 
       120.     1212.8      0.989      0.015                      O2351  2   36 
       120.     1222.8      0.991      0.015                      O2351  2   37 
       120.     1232.8      0.991      0.015                      O2351  2   38 
       120.     1242.8      0.986      0.015                      O2351  2   39 
       120.     1252.8      1.015      0.016                      O2351  2   40 
       120.     1262.9      0.986      0.016                      O2351  2   41 
       120.     1272.9      0.998      0.016                      O2351  2   42 
       120.     1282.9      0.981      0.016                      O2351  2   43 
       120.     1292.9      0.978      0.016                      O2351  2   44 
       120.     1302.9      0.968      0.014                      O2351  2   45 
       120.     1312.9      0.989      0.015                      O2351  2   46 
       120.     1323.0      0.990      0.015                      O2351  2   47 
       120.     1333.0      0.967      0.015                      O2351  2   48 
       120.     1343.0      1.002      0.015                      O2351  2   49 
       120.     1353.0      0.978      0.015                      O2351  2   50 
       120.     1363.0      0.997      0.015                      O2351  2   51 
       120.     1373.0      0.998      0.015                      O2351  2   52 
       120.     1383.1      0.993      0.015                      O2351  2   53 
       120.     1393.1      0.996      0.015                      O2351  2   54 
       120.     1403.1      0.983      0.015                      O2351  2   55 
       120.     1413.1      0.979      0.015                      O2351  2   56 
       120.     1423.1      0.981      0.015                      O2351  2   57 
       120.     1433.1      0.973      0.015                      O2351  2   58 
       120.     1443.2      0.989      0.016                      O2351  2   59 
       120.     1453.2      0.973      0.015                      O2351  2   60 
