ENTRY            O2440   20200108                             O075O2440  0    1 
SUBENT        O2440001   20200108                             O075O2440  1    1 
BIB                  9         17                                 O2440  1    2 
TITLE      High-resolution (p,t) study of low-spin states in      O2440  1    3 
           240Pu: Octupole excitations, alpha clustering, and     O2440  1    4 
           other structure features                               O2440  1    5 
AUTHOR     (M.Spieker,S.Pascu,D.Bucurescu,T.M.Shneidman,          O2440  1    6 
           T.Faestermann,R.Hertenberger,H.-F.Wirth,N.-V.Zamfir,   O2440  1    7 
           A.Zilges)                                              O2440  1    8 
INSTITUTE  (2GERKLN,3RUMBUC,4ZZZDUB,2GERMUN,2GERLMU)              O2440  1    9 
           (4RUSRUS) Kazan Federal University, Kazan 420008       O2440  1   10 
REFERENCE  (J,PR/C,97,064319,2018)                                O2440  1   11 
           #doi:10.1103/PhysRevC.97.064319                        O2440  1   12 
FACILITY   (VDGT,2GERMUN)                                         O2440  1   13 
SAMPLE     A 120 ug/cm2 thick and highly enriched 99.93% 240Pu    O2440  1   14 
           target (T1/2 = 3.75x10**5 years)                       O2440  1   15 
DETECTOR   (MAGSP) Q3D magnetic spectrograph with energy          O2440  1   16 
           resolution of less than 10 keV.                        O2440  1   17 
METHOD     (EDE)                                                  O2440  1   18 
HISTORY    (20200108C) VS                                         O2440  1   19 
ENDBIB              17          0                                 O2440  1   20 
COMMON               1          3                                 O2440  1   21 
EN                                                                O2440  1   22 
MEV                                                               O2440  1   23 
        24.                                                       O2440  1   24 
ENDCOMMON            3          0                                 O2440  1   25 
ENDSUBENT           24          0                                 O2440  199999 
SUBENT        O2440002   20200108                             O075O2440  2    1 
BIB                  4          7                                 O2440  2    2 
REACTION   (94-PU-242(P,T)94-PU-240,PAR,DA)                       O2440  2    3 
MISC-COL   (MISC) Uncertainty in the level energy                 O2440  2    4 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties. O2440  2    5 
STATUS     (UNOBT) An e-mail for numerical data sent to           O2440  2    6 
           M. Spieker on 10.01.2020                               O2440  2    7 
           (CURVE) Data scanned from Figs. 4, 5 and 6 of          O2440  2    8 
           Phys.Rev.C97(2018)064319                               O2440  2    9 
ENDBIB               7          0                                 O2440  2   10 
NOCOMMON             0          0                                 O2440  2   11 
DATA                 5        560                                 O2440  2   12 
E-LVL      MISC       ANG        DATA       DATA-ERR              O2440  2   13 
KEV        KEV        ADEG       MU-B/SR    MU-B/SR               O2440  2   14 
        0.0        0.1        5.1       217.         2.           O2440  2   15 
        0.0        0.1        7.6       167.         2.           O2440  2   16 
        0.0        0.1       10.1        82.         1.           O2440  2   17 
        0.0        0.1       15.2        40.         1.           O2440  2   18 
        0.0        0.1       20.2       132.         1.           O2440  2   19 
        0.0        0.1       25.2       222.         2.           O2440  2   20 
        0.0        0.1       30.2       147.         1.           O2440  2   21 
        0.0        0.1       35.2        50.         1.           O2440  2   22 
        0.0        0.1       40.3        36.         1.           O2440  2   23 
       42.0        0.1        5.0    105.590      1.242           O2440  2   24 
       42.0        0.1        7.6    111.553        1.1           O2440  2   25 
       42.0        0.1       10.0     87.205      0.994           O2440  2   26 
       42.0        0.1       15.1     49.689      0.497           O2440  2   27 
       42.0        0.1       20.2     16.894      0.248           O2440  2   28 
       42.0        0.1       25.2     14.161      0.497           O2440  2   29 
       42.0        0.1       30.2     23.851      0.248           O2440  2   30 
       42.0        0.1       35.2     29.317      0.248           O2440  2   31 
       42.0        0.1       40.3     17.888      0.248           O2440  2   32 
      141.5        0.1        5.0      21.71       0.47           O2440  2   33 
      141.5        0.1        7.6      22.24       0.47           O2440  2   34 
      141.5        0.1       10.1      16.31       0.42           O2440  2   35 
      141.5        0.1       15.2      12.06       0.21           O2440  2   36 
      141.5        0.1       20.1       7.92       0.31           O2440  2   37 
      141.5        0.1       25.2       6.03       0.21           O2440  2   38 
      141.5        0.1       30.2       4.20       0.21           O2440  2   39 
      141.5        0.1       35.2       4.72       0.16           O2440  2   40 
      141.5        0.1       40.2       5.56       0.16           O2440  2   41 
      293.5        0.6        5.0       0.59       0.08           O2440  2   42 
      293.5        0.6        7.5       1.26       0.10           O2440  2   43 
      293.5        0.6       10.1       1.45       0.13           O2440  2   44 
      293.5        0.6       15.2       2.12       0.08           O2440  2   45 
      293.5        0.6       20.1       1.96       0.10           O2440  2   46 
      293.5        0.6       25.1       1.54       0.09           O2440  2   47 
      293.5        0.6       30.2       0.88       0.06           O2440  2   48 
      293.5        0.6       35.2       0.60       0.06           O2440  2   49 
      293.5        0.6       40.3       0.64       0.03           O2440  2   50 
      597.2        0.4        5.1      0.302      0.063           O2440  2   51 
      597.2        0.4        7.7      0.513      0.070           O2440  2   52 
