ENTRY            O0534   19991117                             0000O053400000001 
SUBENT        O0534001   19991117                             0000O053400100001 
BIB                 11         29                                 O053400100002 
TITLE      Continuum Yields from C-12(P,P') At Incident Proton    O053400100003 
           Energies  of 90 and 200 MeV.                           O053400100004 
AUTHOR     (S.V.FOERTSCH, A.A.COWLEY, J.V.PILCHER, D.M.WHITTAL,   O053400100005 
           J.J.LAWRIE, J.C.VAN STADEN, E.FRIEDLAND)               O053400100006 
INSTITUTE  (3SAFUPR)                                              O053400100007 
           (3SAFNAC)                                              O053400100008 
REFERENCE  (J,NP/A,485,258,1988)                                  O053400100009 
           (W,COWLEY,19990820) Some Comments For Data Tables.     O053400100010 
HISTORY    (19990625C)                                            O053400100011 
           (19990824U) Last checking has been done.               O053400100012 
           (19991117A) DATE is corrected                          O053400100013 
SAMPLE     The Target Consisted of 5.0 mg/cm**2 Carbon Which was  O053400100014 
           Prepared from a Concentrated Dispersion of Pure Ultra  O053400100015 
           Fine Graphite Particles in Propanol.The Uniformity in  O053400100016 
           The Thickness Close to the Centre of the Target was    O053400100017 
           Better Than 0.8%/mm.                                   O053400100018 
ADD-RES    (COMP).The Quasifree Knockout Model.                   O053400100019 
           (STRUC) Spectroscopic Factors.                         O053400100020 
DETECTOR   (TELES).The Detector Telescope Consisted of a 1000 Mum O053400100021 
           Si Detector [Del'Ta E Detector] and a 75*125 mm NaI(Tl)O053400100022 
           Detector [E Detector] with 6 Mum Havar Entrance Window.O053400100023 
           Correction For Reaction Loss from the                  O053400100024 
           NaI Detector were Performed on the Del'Ta E Versus     O053400100025 
           E-Spectra.                                             O053400100026 
FACILITY   (CYCLO,3SAFNAC)                                        O053400100027 
METHOD     (SITA)                                                 O053400100028 
           (EDE)                                                  O053400100029 
ERR-ANALYS (EN-ERR1).The Error in the Incident Energy of 90 MeV.  O053400100030 
           (EN-ERR2).The Error in the Incident Energy of 200 MeV. O053400100031 
ENDBIB              29          0                                 O053400100032 
COMMON               2          3                                 O053400100033 
EN-ERR1    EN-ERR2                                                O053400100034 
MEV        MEV                                                    O053400100035 
        0.3        0.5                                            O053400100036 
ENDCOMMON            3          0                                 O053400100037 
ENDSUBENT           36          0                                 O053400199999 
SUBENT        O0534002   19991117                             0000O053400200001 
BIB                  6          6                                 O053400200002 
REACTION   (6-C-12(P,X)1-H-1,EM,DA/DE)                            O053400200003 
EN-SEC     (E,P)                                                  O053400200004 
PART-DET   (P)                                                    O053400200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O053400200006 
STATUS     (TABLE).Data were Received by Ftp.                     O053400200007 
FLAG       (1.).Independent Experiment.                           O053400200008 
ENDBIB               6          0                                 O053400200009 
NOCOMMON             0          0                                 O053400200010 
DATA                 6        459                                 O053400200011 
EN         E          ANG        DATA       ERR-T      FLAG       O053400200012 
MEV        MEV        ADEG       MUB/SR/MEV MUB/SR/MEV NO-DIM     O053400200013 
        90.        75.        70.   20.02909    1.30934           O053400200078 
        90.        80.        30.   202.6891    2.78441           O053400200079 
        90.        80.        40.   128.8565    2.22663           O053400200080 
        90.        80.        50.   73.81103    1.69245           O053400200081 
        90.        80.        60.   52.18384    1.43414           O053400200082 
        90.        80.        70.   29.14363    1.08088           O053400200083 
        90.        85.        30.   166.3825    3.18439           O053400200084 
        90.        85.        40.   104.8913    2.53728           O053400200085 
        90.        85.        50.   56.22653    1.86594           O053400200086 
        90.        85.        60.   37.48942    1.53563           O053400200087 
        90.        85.        70.     6.3239    0.63239           O053400200088 
        90.        90.        30.     137.43    2.79655           O053400200089 
        90.        90.        40.   75.23447    2.07548           O053400200090 
        90.        90.        50.   41.01151    1.54022           O053400200091 
        90.        90.        60.   22.66485    1.15361           O053400200092 
        90.        90.        70.    0.90469    0.22617           O053400200093 
        90.       100.        30.   96.11017    1.65022           O053400200094 
        90.       100.        40.   49.02097    1.18269           O053400200095 
        90.       100.        50.   22.39483    0.80341           O053400200096 
        90.       100.        60.    6.53237    0.43646           O053400200097 
        90.       100.        70.    7.28681    0.46554           O053400200098 
        90.       110.        30.   73.04026    1.31631           O053400200099 
        90.       110.        40.   31.00818    0.86067           O053400200100 
        90.       110.        50.   10.87605    0.51213           O053400200101 
        90.       110.        60.    3.54572    0.29446           O053400200102 
        90.       110.        70.    0.22247    0.07416           O053400200103 
        90.       120.        30.   54.08863    1.16273           O053400200104 
        90.       120.        40.   21.47996    0.73546           O053400200105 
        90.       120.        50.     7.2256    0.42876           O053400200106 
        90.       120.        60.    0.71804     0.1357           O053400200107 
        90.       120.        70.      0.157    0.06409           O053400200108 
        90.       130.        30.   40.24973    0.96051           O053400200109 
        90.       130.        40.   13.89916    0.56649           O053400200110 
        90.       130.        50.    4.27047    0.31568           O053400200111 
        90.       130.        60.    0.63784    0.12275           O053400200112 
        90.       140.        30.   37.17344     0.5345           O053400200113 
        90.       140.        40.   13.08275    0.31833           O053400200114 
        90.       140.        50.     3.4799    0.16496           O053400200115 
        90.       140.        60.    0.18977    0.03874           O053400200116 
        90.       140.        70.    0.00801    0.00801           O053400200117 
        90.       150.        30.   32.63361    0.72807           O053400200118 
        90.       150.        40.     9.7963    0.40027           O053400200119 
        90.       150.        50.    3.17623    0.22922           O053400200120 
        90.       150.        60.     0.0314     0.0222           O053400200121 
        90.       150.        70.    0.01699    0.01699           O053400200122 
       200.        15.        60.     479.55    9.09518           O053400200123 
       200.        15.       100.     467.13    8.97663           O053400200124 
       200.        15.       120.   475.5825    9.05748           O053400200125 
       200.        15.       150.   701.9025   11.00355           O053400200126 
       200.        15.       170.   773.3175   11.54977           O053400200127 
       200.        20.        20.     401.14     4.0269           O053400200128 
       200.        20.        25.     410.02     4.1161           O053400200129 
       200.        20.        30.      410.8     4.0751           O053400200130 
       200.        20.        35.     415.95     4.1045           O053400200131 
       200.        20.        40.     419.23     4.1212           O053400200132 
       200.        20.        45.     419.56     4.1193           O053400200133 
       200.        20.        50.     430.93     4.1943           O053400200134 
       200.        20.        55.     426.23     4.1582           O053400200135 
       200.        20.        60.     424.64     4.1437           O053400200136 
       200.        20.        60.   435.9432    8.39595         1.O053400200137 
       200.        20.        65.     434.46     4.2395           O053400200138 
       200.        20.        70.     431.82     4.2085           O053400200139 
       200.        20.        75.     426.26     4.1544           O053400200140 
       200.        20.        80.      430.2     4.1797           O053400200141 
       200.        20.        85.     432.93     4.1873           O053400200142 
       200.        20.        90.     423.37      4.137           O053400200143 
       200.        20.        95.     429.51     4.1872           O053400200144 
       200.        20.       100.   424.1391     8.2815         1.O053400200145 
       200.        20.       100.     433.23     4.2235           O053400200146 
       200.        20.       105.       446.     4.2695           O053400200147 
       200.        20.       110.     446.13     4.2467           O053400200148 
       200.        20.       115.     472.46     4.3855           O053400200149 
       200.        20.       120.   487.6872    8.88026         1.O053400200150 
       200.        20.       120.     493.08     4.5142           O053400200151 
       200.        20.       125.     518.38     4.6432           O053400200152 
       200.        20.       130.     558.59      4.752           O053400200153 
       200.        20.       135.     612.14      5.018           O053400200154 
       200.        20.       140.     671.76     5.3229           O053400200155 
       200.        20.       145.     741.24     5.6343           O053400200156 
       200.        20.       150.   778.9089   11.22273         1.O053400200157 
       200.        20.       150.     785.34     5.6345           O053400200158 
       200.        20.       155.     813.43     5.7815           O053400200159 
       200.        20.       160.     788.49     5.6882           O053400200160 
       200.        20.       170.   711.9651   10.72962           O053400200161 
       200.        25.        60.   403.9141    5.90994           O053400200162 
       200.        25.       100.   434.4313    5.81804           O053400200163 
       200.        25.       120.   570.0362    6.28325           O053400200164 
       200.        25.       150.   777.0694    7.17035           O053400200165 
       200.        25.       170.   736.6417    6.88405           O053400200166 
       200.        30.        20.     383.58     3.6732           O053400200167 
       200.        30.        25.     390.36     3.7381           O053400200168 
       200.        30.        30.     403.56     3.7677           O053400200169 
       200.        30.        35.     409.23     3.7945           O053400200170 
       200.        30.        40.     411.21      3.811           O053400200171 
       200.        30.        45.     412.28     3.8091           O053400200172 
       200.        30.        50.     414.15     3.8168           O053400200173 
       200.        30.        55.     422.37     3.8599           O053400200174 
       200.        30.        60.   424.6326    7.72954         1.O053400200175 
       200.        30.        60.     431.51     3.9214           O053400200176 
       200.        30.        65.     436.03     3.9179           O053400200177 
       200.        30.        70.     427.83     3.8796           O053400200178 
       200.        30.        75.     429.34     3.8933           O053400200179 
       200.        30.        80.      446.7     4.0213           O053400200180 
       200.        30.        85.     462.52     4.0474           O053400200181 
       200.        30.        90.     467.19     4.0538           O053400200182 
       200.        30.        95.      484.8     4.1538           O053400200183 
       200.        30.       100.     509.81     4.2686           O053400200184 
       200.        30.       100.   511.8666    8.48644         1.O053400200185 
       200.        30.       105.       522.      4.302           O053400200186 
       200.        30.       110.     526.68     4.3042           O053400200187 
       200.        30.       115.     538.01     4.3669           O053400200188 
       200.        30.       120.   555.0615    8.83726         1.O053400200189 
       200.        30.       120.      559.3     4.4717           O053400200190 
       200.        30.       125.     575.68      4.529           O053400200191 
       200.        30.       130.     595.97     4.6413           O053400200192 
       200.        30.       135.     582.66     4.5376           O053400200193 
       200.        30.       150.   596.1459    9.15848           O053400200194 
       200.        30.       155.       546.      4.897           O053400200195 
       200.        30.       160.      493.1      4.654           O053400200196 
       200.        30.       170.   329.5194    6.80907           O053400200197 
       200.        35.        60.   449.2579    5.85132           O053400200198 
       200.        35.       100.   525.3918    6.32773           O053400200199 
       200.        35.       120.   574.6234    6.61756           O053400200200 
       200.        35.       150.    469.606    5.98236           O053400200201 
       200.        35.       170.   253.8555    4.39845           O053400200202 
