ENTRY            O2540   20220301                             O089O2540  0    1 
SUBENT        O2540001   20220301                             O089O2540  1    1 
BIB                 11         43                                 O2540  1    2 
TITLE      Measurements and parametrization of the 16O(d,d0)16O   O2540  1    3 
           differential cross section                             O2540  1    4 
AUTHOR     (E.Ntemou, A.F.Gurbich, M.Kokkoris, A.Lagoyannis)      O2540  1    5 
INSTITUTE  (2GRCATH,2GRCTUA,4RUSFEI)                              O2540  1    6 
REFERENCE  (J,NIM/B,510,56,2022)                                  O2540  1    7 
           #doi:10.1016/j.nimb.2021.11.003                        O2540  1    8 
FACILITY   (VDGT,2GRCATH) 5.5 MV Tandem Accelerator Laboratory    O2540  1    9 
INC-SPECT  For the determination of the energy to which the       O2540  1   10 
           cross-section values were attributed the energy loss   O2540  1   11 
           and the straggling inside the target were calculated.  O2540  1   12 
           The target thickness ratio of Au to O was determined   O2540  1   13 
           by the p-EBS technique.                                O2540  1   14 
DETECTOR   (SIBAR) Five Silicon Surface Barrier (SSB) detectors,  O2540  1   15 
           having a thickness of 500 um, which were mounted at    O2540  1   16 
           130, 140, 150, 160 and 170 degrees.                    O2540  1   17 
SAMPLE     (8-O-16,NAT=0.9976) A self-supporting thin carbon foil O2540  1   18 
           with Na2HPO4 powder evaporated on top, along with a    O2540  1   19 
           thin Au layer for normalization purposes.              O2540  1   20 
ANALYSIS   A scaling factor was applied at each scattering angle. O2540  1   21 
           The scaling factor was calculated as average value     O2540  1   22 
           of the ratio between SigmaCalc evaluation for the      O2540  1   23 
           natO(d,d0) cross section and the Rutherford scattering O2540  1   24 
           cross section on Au at each beam energy in the energy  O2540  1   25 
           range 1500-1980 keV.                                   O2540  1   26 
           Values of the scaling factor for each scattering angle O2540  1   27 
              Angle    Scaling factor     Relative uncertainty    O2540  1   28 
            (degree)                               (%)            O2540  1   29 
               130     0.275 +- 0.009              3.3            O2540  1   30 
               140     0.248 +- 0.014              5.7            O2540  1   31 
               150     0.237 +- 0.009              3.8            O2540  1   32 
               160     0.231 +- 0.008              3.5            O2540  1   33 
               170     0.227 +- 0.011              4.9            O2540  1   34 
ERR-ANALYS (ERR-S) The combined statistical uncertainties         O2540  1   35 
           (ERR-1) The systematic uncertainties originating from  O2540  1   36 
           the differences between compiled and experimental      O2540  1   37 
           stopping power data and their corresponding values     O2540  1   38 
           were estimated to be for oxygen - 2.8%                 O2540  1   39 
           (ERR-2) The systematic uncertainties originating from  O2540  1   40 
           the differences between compiled and experimental      O2540  1   41 
           stopping power data and their corresponding values     O2540  1   42 
           were estimated to be for gold - 3.6%                   O2540  1   43 
           (ERR-3) The uncertainty of the scaling factor.         O2540  1   44 
HISTORY    (20220301C) VS                                         O2540  1   45 
ENDBIB              43          0                                 O2540  1   46 
COMMON               2          3                                 O2540  1   47 
ERR-1      ERR-2                                                  O2540  1   48 
PER-CENT   PER-CENT                                               O2540  1   49 
        2.8        3.6                                            O2540  1   50 
ENDCOMMON            3          0                                 O2540  1   51 
ENDSUBENT           50          0                                 O2540  199999 
SUBENT        O2540002   20220301                             O089O2540  2    1 
BIB                  2          3                                 O2540  2    2 
REACTION   (8-O-16(D,EL)8-O-16,,DA)                               O2540  2    3 
STATUS     (TABLE) Converted by R33toX4 from R33 files submitted  O2540  2    4 
           by E. Ntemou. Plotted on fig.5 a-e.                    O2540  2    5 
ENDBIB               3          0                                 O2540  2    6 
COMMON               2          3                                 O2540  2    7 
ANG-ERR    EN-ERR                                                 O2540  2    8 
ADEG       KEV                                                    O2540  2    9 
         1.         5.                                            O2540  2   10 
ENDCOMMON            3          0                                 O2540  2   11 
DATA                 5        395                                 O2540  2   12 
ANG        EN         DATA       ERR-S      ERR-3                 O2540  2   13 
ADEG       KEV        MB/SR      MB/SR      PER-CENT              O2540  2   14 
 130.00     1509.000   43.900     2.300         3.3               O2540  2   15 
 130.00     1529.000   43.900     2.300         3.3               O2540  2   16 
 130.00     1549.000   43.700     2.400         3.3               O2540  2   17 
 130.00     1569.000   40.900     2.000         3.3               O2540  2   18 
 130.00     1589.000   37.900     2.000         3.3               O2540  2   19 
 130.00     1610.000   36.000     1.800         3.3               O2540  2   20 
 130.00     1630.000   32.700     2.200         3.3               O2540  2   21 
 130.00     1650.000   30.200     1.700         3.3               O2540  2   22 
 130.00     1670.000   37.900     2.000         3.3               O2540  2   23 
 130.00     1690.000   40.600     2.000         3.3               O2540  2   24 
 130.00     1710.000   43.300     2.100         3.3               O2540  2   25 
 130.00     1730.000   46.900     2.300         3.3               O2540  2   26 
 130.00     1750.000   52.200     2.400         3.3               O2540  2   27 
 130.00     1770.000   57.100     2.800         3.3               O2540  2   28 
 130.00     1790.000   53.200     3.000         3.3               O2540  2   29 
 130.00     1810.000   51.500     2.600         3.3               O2540  2   30 
 130.00     1831.000   50.100     2.300         3.3               O2540  2   31 
 130.00     1851.000   43.500     2.000         3.3               O2540  2   32 
 130.00     1871.000   41.000     1.900         3.3               O2540  2   33 
 130.00     1891.000   38.700     1.800         3.3               O2540  2   34 
 130.00     1901.000   37.800     1.800         3.3               O2540  2   35 
 130.00     1911.000   34.000     1.800         3.3               O2540  2   36 
 130.00     1921.000   33.500     1.700         3.3               O2540  2   37 
 130.00     1931.000   33.300     1.800         3.3               O2540  2   38 
 130.00     1941.000   31.100     1.700         3.3               O2540  2   39 
 130.00     1951.000   28.800     1.500         3.3               O2540  2   40 
 130.00     1961.000   26.700     1.500         3.3               O2540  2   41 
 130.00     1981.000   22.300     1.300         3.3               O2540  2   42 
 130.00     1991.000   22.500     1.100         3.3               O2540  2   43 
 130.00     2001.000   20.700     1.100         3.3               O2540  2   44 
 130.00     2011.000   21.100     1.100         3.3               O2540  2   45 
 130.00     2021.000   20.000     1.000         3.3               O2540  2   46 
 130.00     2031.000   20.600     1.100         3.3               O2540  2   47 
 130.00     2041.000   19.800     1.000         3.3               O2540  2   48 
 130.00     2051.000   20.100     1.000         3.3               O2540  2   49 
 130.00     2061.000   20.400     1.000         3.3               O2540  2   50 
 130.00     2071.000   21.900     1.100         3.3               O2540  2   51 
 130.00     2081.000   22.200     1.200         3.3               O2540  2   52 
 130.00     2091.000   20.900     1.000         3.3               O2540  2   53 
 130.00     2102.000   21.700     1.100         3.3               O2540  2   54 
 130.00     2112.000   20.800     1.000         3.3               O2540  2   55 
 130.00     2122.000   22.300     1.100         3.3               O2540  2   56 
 130.00     2132.000   22.300     1.100         3.3               O2540  2   57 
 130.00     2142.000   21.800     1.100         3.3               O2540  2   58 
 130.00     2152.000   21.400     1.100         3.3               O2540  2   59 
 130.00     2162.000   21.300     1.100         3.3               O2540  2   60 
 130.00     2172.000   19.100     1.100         3.3               O2540  2   61 
 130.00     2182.000   18.500     1.000         3.3               O2540  2   62 
 130.00     2192.000   15.900     1.000         3.3               O2540  2   63 
 130.00     2202.000   15.200     0.700         3.3               O2540  2   64 
 130.00     2212.000   14.500     0.800         3.3               O2540  2   65 
 130.00     2222.000   15.700     0.700         3.3               O2540  2   66 
 130.00     2232.000   16.500     0.800         3.3               O2540  2   67 
 130.00     2242.000   17.800     0.900         3.3               O2540  2   68 
 130.00     2252.000   17.800     0.800         3.3               O2540  2   69 
 130.00     2262.000   17.200     0.800         3.3               O2540  2   70 
 130.00     2272.000   15.200     0.900         3.3               O2540  2   71 
 130.00     2282.000   16.000     0.900         3.3               O2540  2   72 
