ENTRY            O1813   20100104                             O041O181300000001 
SUBENT        O1813001   20100104                             O041O181300100001 
BIB                 10         26                                 O181300100002 
TITLE      Energy dependence of fusion and reaction cross sectionsO181300100003 
           in the Be-9+C-12 system.                               O181300100004 
AUTHOR     (L.Jarczyk, B.Kamys, A.Magiera, J.Sromicki,            O181300100005 
           A.Strzalkowski, G.Willim, Z.Wrobel, D.Balzer, K.Bodek, O181300100006 
           M.Hugi, J.Lang, R.Mueller, E.Ungricht)                 O181300100007 
REFERENCE  (J,NP/A,369,191,1981)                                  O181300100008 
INSTITUTE  (3POLUJK)                                              O181300100009 
           (2SWTETH)                                              O181300100010 
FACILITY   (VDGT,2SWTETH)                                         O181300100011 
METHOD     (BCINT)                                                O181300100012 
           (EDE)                                                  O181300100013 
SAMPLE     A self-supporting natural carbon target of a           O181300100014 
           thickness of approximately 40 mug/m**2.                O181300100015 
DETECTOR   (TELES,SIBAR,SILI) The emitted protons, deuterons,     O181300100016 
           tritons and alpha-particles were identified with       O181300100017 
           delta-E-E counter telescopes, which consisted of a thinO181300100018 
           surface barrier silicon detector and a thick Li-driftedO181300100019 
           silicon detector for most of the measurements.         O181300100020 
           (IOCH)                                                 O181300100021 
           (SOLST)                                                O181300100022 
ADD-RES    (COMP).Hauser-Feshbach model analysis.                 O181300100023 
           The energy spectra of protons, deuterons, tritons and  O181300100024 
           alpha-particles emitted in the reaction of Be-9 with   O181300100025 
           C-12 at a lab.angle of 12.5 degree and a beam energy   O181300100026 
           of 23.5 MeV have been observed.                        O181300100027 
HISTORY    (20100104C) S.B                                        O181300100028 
ENDBIB              26          0                                 O181300100029 
NOCOMMON             0          0                                 O181300100030 
ENDSUBENT           29          0                                 O181300199999 
SUBENT        O1813002   20100114                             O041O181300200001 
BIB                  4          5                                 O181300200002 
REACTION   (6-C-12(4-BE-9,P)9-F-20,PAR,DA) figure 2.              O181300200003 
STATUS     (CURVE).By CAJAD                                       O181300200004 
EN-SEC     (E-LVL,9-F-20)                                         O181300200005 
ERR-ANALYS (ANG-ERR-D).Digitizing error of angle                  O181300200006 
           (DATA-ERR).The uncertainty is reported by authors.     O181300200007 
ENDBIB               5          0                                 O181300200008 
COMMON               2          3                                 O181300200009 
E-LVL      ANG-ERR-D                                              O181300200010 
MEV        ADEG                                                   O181300200011 
0.000      1.3                                                    O181300200012 
ENDCOMMON            3          0                                 O181300200013 
DATA                 4        181                                 O181300200014 
EN         ANG-CM     DATA-CM    DATA-ERR                         O181300200015 
MEV        ADEG       MU-B/SR    MU-B/SR                          O181300200016 
   12.00000   18.10000   62.00000    7.00000                      O181300200017 
   12.00000   29.10000   51.00000    5.00000                      O181300200018 
   12.00000   33.70000   46.00000    4.00000                      O181300200019 
   12.00000   41.00000   52.00000    6.00000                      O181300200020 
   12.00000   45.60000   57.00000    7.00000                      O181300200021 
   12.00000   51.10000   47.00000    6.00000                      O181300200022 
   12.00000   58.40000   49.00000    8.00000                      O181300200023 
   12.00000   62.10000   47.00000    4.00000                      O181300200024 
   12.00000   64.00000   57.00000    6.00000                      O181300200025 
   12.00000   70.40000   37.00000    4.00000                      O181300200026 
   12.00000   73.10000   44.00000    5.00000                      O181300200027 
   12.00000   77.70000   47.00000    4.00000                      O181300200028 
   12.00000   85.00000   30.00000    4.00000                      O181300200029 
   12.00000   89.60000   43.00000    4.00000                      O181300200030 
   12.00000   94.20000   27.00000    4.00000                      O181300200031 
   12.00000   98.80000   41.00000    4.00000                      O181300200032 
   12.00000  104.30000   34.00000    4.00000                      O181300200033 
   12.00000  108.90000   40.00000    4.00000                      O181300200034 
   12.00000  113.50000   34.00000    6.00000                      O181300200035 
   12.00000  118.10000   35.00000    4.00000                      O181300200036 
   12.00000  122.70000   37.00000    6.00000                      O181300200037 
   12.00000  129.10000   50.00000    4.00000                      O181300200038 
   12.00000  129.10000   42.00000    5.00000                      O181300200039 
   12.00000  135.50000   44.00000    5.00000                      O181300200040 
   12.00000  141.00000   52.00000    6.00000                      O181300200041 
   12.00000  147.40000   52.00000    6.00000                      O181300200042 
   12.00000  149.30000   67.00000    8.00000                      O181300200043 
   12.00000  152.00000   53.00000    7.00000                      O181300200044 
   12.00000  156.60000   55.00000    4.00000                      O181300200045 
   12.00000  158.40000   44.00000    6.00000                      O181300200046 
   12.00000  164.00000   51.00000    6.00000                      O181300200047 
   12.00000  167.60000   32.10000    2.90000                      O181300200048 
   12.00000  172.20000   33.00000    4.00000                      O181300200049 
   14.00000   17.50000   48.00000    7.00000                      O181300200050 
   14.00000   18.80000   42.00000    7.00000                      O181300200051 
   14.00000   22.60000   24.00000    5.00000                      O181300200052 
   14.00000   28.70000   27.00000    2.80000                      O181300200053 
   14.00000   29.00000   33.00000    4.00000                      O181300200054 
   14.00000   35.40000   25.00000    4.00000                      O181300200055 
   14.00000   40.20000   33.00000    3.00000                      O181300200056 
