ENTRY            O1766   20090721                             O040O176600000001 
SUBENT        O1766001   20090721                             O040O176600100001 
BIB                 14         33                                 O176600100002 
TITLE      A study of the reaction C-12(O-16,a)Mg-24 below and    O176600100003 
           near the coulomb barrier.                              O176600100004 
AUTHOR     (M.E.Groce, G.P.Lawrence)                              O176600100005 
INSTITUTE  (3AULCBR)                                              O176600100006 
REFERENCE  (J,NP,67,277,1965)                                     O176600100007 
FACILITY   (VDGT,3AULCBR)                                         O176600100008 
METHOD     (BCINT).Beam intensities as high as 2.0 muA were       O176600100009 
           achieved, although the average was usually close to    O176600100010 
            1 muA.                                                O176600100011 
SAMPLE     Thin self-supported carbon foils, with thicknesses in  O176600100012 
           the range 10 to 25 mug/cm**2 were used as targets.     O176600100013 
COMMENT    *By authors*.During the bombardment with O-16 beam the O176600100014 
           target deteriorated in two ways-                       O176600100015 
            *target thickness increased due to the cracking of    O176600100016 
           organic vapours on the target face.                    O176600100017 
            *targets developed wrinkles, rips and tears after longO176600100018 
           bombardment by the beam.                               O176600100019 
           The product of the effective target thickness and      O176600100020 
           Beam intensity was monitored by measuring the O-16-C-12O176600100021 
           elastic scattering.                                    O176600100022 
           Thin aluminium foils covering the detectors were used  O176600100023 
           to stop the heavy ions that were scattered and emitted O176600100024 
           from  the target.                                      O176600100025 
           *By authors*.The absolute cross section scale was      O176600100026 
           determined from the O-16-C-12 Rutherford scattering at O176600100027 
           the monitor detector angle and solid angles of         O176600100028 
           detectors.                                             O176600100029 
MONITOR    (6-C-12(8-O-16,EL)6-C-12,,DA,,RTH)                     O176600100030 
DETECTOR   (SIBAR) four surface barrier detectors                 O176600100031 
INC-SOURCE *EN-RSL*.A kinematical resolution of less than 150 keV.O176600100032 
ERR-ANALYS (ERR-1,,3.).The solid angle measurements error.        O176600100033 
STATUS     (CURVE).By CAJAD.                                      O176600100034 
HISTORY    (20090721C) S.B                                        O176600100035 
ENDBIB              33          0                                 O176600100036 
COMMON               1          3                                 O176600100037 
EN-RSL                                                            O176600100038 
KEV                                                               O176600100039 
150.                                                              O176600100040 
ENDCOMMON            3          0                                 O176600100041 
ENDSUBENT           40          0                                 O176600199999 
SUBENT        O1766002   20090721                             O040O176600200001 
BIB                  3          4                                 O176600200002 
REACTION   (6-C-12(8-O-16,A)12-MG-24,PAR,DA) fig 5                O176600200003 
EN-SEC     (E-LVL,12-MG-24)                                       O176600200004 
ERR-ANALYS (ERR-S).The uncertainty is shown by authors on figure. O176600200005 
           (ANG-ERR-D).Digitizing error of angle.                 O176600200006 
ENDBIB               4          0                                 O176600200007 
COMMON               1          3                                 O176600200008 
ANG-ERR-D                                                         O176600200009 
ADEG                                                              O176600200010 
0.6                                                               O176600200011 
ENDCOMMON            3          0                                 O176600200012 
DATA                 5        142                                 O176600200013 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 O176600200014 
MEV        MEV        ADEG       MB/SR      PER-CENT              O176600200015 
   15.75000    0.00000    0.50000    0.01700   24.00000           O176600200016 
   15.75000    0.00000    5.10000    0.02400   17.00000           O176600200017 
   15.75000    0.00000   12.00000    0.02900   17.00000           O176600200018 
   15.75000    0.00000   19.40000    0.02600   19.00000           O176600200019 
   15.75000    0.00000   25.50000    0.03100   19.00000           O176600200020 
   15.75000    0.00000   32.60000    0.02300   22.00000           O176600200021 
   15.75000    0.00000   38.70000    0.00770   30.00000           O176600200022 
   15.75000    0.00000   46.70000    0.00470   50.00000           O176600200023 
   15.75000    0.00000   53.00000    0.00120   60.00000           O176600200024 
   15.75000    0.00000   57.10000    0.00630   30.00000           O176600200025 
   15.75000    0.00000   61.40000    0.01900   21.00000           O176600200026 
   15.75000    0.00000   67.10000    0.04700   11.00000           O176600200027 
   15.75000    0.00000   72.60000    0.06700   13.00000           O176600200028 
   15.75000    0.00000   78.50000    0.09100   13.00000           O176600200029 
   15.75000    0.00000   84.90000    0.13500   10.00000           O176600200030 
   15.75000    0.00000   89.70000    0.12700   10.00000           O176600200031 
   15.75000    0.00000   95.00000    0.11800   11.00000           O176600200032 
   15.75000    0.00000  100.40000    0.07100   14.00000           O176600200033 
   15.75000    0.00000  105.50000    0.03800   16.00000           O176600200034 
   15.75000    0.00000  110.20000    0.01500   27.00000           O176600200035 
   15.75000    0.00000  115.80000    0.00700   40.00000           O176600200036 
   15.75000    0.00000  120.30000    0.00460   50.00000           O176600200037 
   15.75000    0.00000  125.10000    0.00460   50.00000           O176600200038 
   15.75000    0.00000  128.60000    0.01200   30.00000           O176600200039 
   15.75000    0.00000  133.70000    0.01600   30.00000           O176600200040 
   15.75000    0.00000  137.00000    0.02600   23.00000           O176600200041 
   15.75000    0.00000  140.00000    0.02600   23.00000           O176600200042 
   15.75000    0.00000  143.20000    0.05100   12.00000           O176600200043 
   15.75000    0.00000  146.60000    0.06700    9.00000           O176600200044 
   15.75000    0.00000  150.90000    0.07100   10.00000           O176600200045 
   15.75000    0.00000  153.00000    0.08300    6.00000           O176600200046 
   15.75000    0.00000  157.40000    0.07500    8.00000           O176600200047 
   15.75000    0.00000  160.50000    0.06500   11.00000           O176600200048 
   15.75000    0.00000  164.80000    0.07000    9.00000           O176600200049 
   15.75000    0.00000  167.50000    0.06200   10.00000           O176600200050 
   15.75000    0.00000  171.40000    0.06000   10.00000           O176600200051 
   17.00000    1.36900    0.70000    0.50000   10.00000           O176600200052 
   17.00000    1.36900    8.10000    0.43000    7.00000           O176600200053 
   17.00000    1.36900   13.40000    0.33300    9.00000           O176600200054 
   17.00000    1.36900   20.80000    0.30300    7.00000           O176600200055 
   17.00000    1.36900   27.30000    0.32100    7.00000           O176600200056 
   17.00000    1.36900   34.80000    0.33000    9.00000           O176600200057 
   17.00000    1.36900   40.90000    0.28600    9.00000           O176600200058 
   17.00000    1.36900   48.30000    0.22000   11.00000           O176600200059 
   17.00000    1.36900   54.00000    0.19000   16.00000           O176600200060 
   17.00000    1.36900   59.30000    0.16900   12.00000           O176600200061 
