ENTRY            O2562   20230221                             O094O2562  0    1 
SUBENT        O2562001   20230221                             O094O2562  1    1 
BIB                 12         28                                 O2562  1    2 
TITLE      Differential cross-section measurements and R-Matrix   O2562  1    3 
            calculations for proton elastic scattering on natMg   O2562  1    4 
            in the energy range Ep,lab = 2.70-4.25 MeV, suitable  O2562  1    5 
            for EBS                                               O2562  1    6 
AUTHOR     (F.Maragkos, E.Alvanou, M.Axiotis, N.Bligoura,         O2562  1    7 
            V.Foteinou, S.Harissopulos, M.Kokkoris, A.Lagoyannis, O2562  1    8 
            E.Ntemou, N.Patronis, K.Preketes-Sigalas)             O2562  1    9 
INSTITUTE  (2GRCTUA,2GRCATH,2SWDUPP,2GRCIOA)                      O2562  1   10 
           (2GERGER)Central Unit for Ion Beams and Radionuclides, O2562  1   11 
                    N-Suedstrasse, Bochum                         O2562  1   12 
REFERENCE  (J,NIM/B,536,45,2023)                                  O2562  1   13 
           #doi:10.1016/j.nimb.2022.12.027                        O2562  1   14 
FACILITY   (VDGT,2GRCATH)                                         O2562  1   15 
DETECTOR   (SIBAR) Scattering chamber with six silicon surface    O2562  1   16 
           barrier (SSB) detectors of 500 um in thickness.        O2562  1   17 
SAMPLE     A self-supporting thin foil of natural Mg. Ultra-thin  O2562  1   18 
           layer of 197Au was evaporated on the surface of the    O2562  1   19 
           target for normalization.                              O2562  1   20 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,,CALC)                  O2562  1   21 
ANALYSIS   (NTRTH)                                                O2562  1   22 
ERR-ANALYS (ERR-S) Statistical uncertainties from the integration O2562  1   23 
           of the elastic peaks of natMg and 197Au as well as 5 % O2562  1   24 
           relative error of the areal atomic densities ratio.    O2562  1   25 
STATUS     (TABLE) Data received from F.Maragkos                  O2562  1   26 
           (APRVD) Proof-read by F.Maragkos (2023-02-21)          O2562  1   27 
HISTORY    (20230221R) Data received from F.Maragkos for INANDL   O2562  1   28 
                      and EXFOR                                   O2562  1   29 
           (20230221C) VS                                         O2562  1   30 
ENDBIB              28          0                                 O2562  1   31 
NOCOMMON             0          0                                 O2562  1   32 
ENDSUBENT           31          0                                 O2562  199999 
SUBENT        O2562002   20230221                             O094O2562  2    1 
BIB                  2          3                                 O2562  2    2 
REACTION   (12-MG-0(P,EL)12-MG-0,,DA)                             O2562  2    3 
STATUS     (TABLE) Fig. 5. a-f.                                   O2562  2    4 
           Nucl.Instrum.Method Phys.Res.B536(2023)45              O2562  2    5 
ENDBIB               3          0                                 O2562  2    6 
NOCOMMON             0          0                                 O2562  2    7 
DATA                 5        750                                 O2562  2    8 
ANG        EN         EN-ERR     DATA       ERR-S                 O2562  2    9 
ADEG       KEV        KEV        MB/SR      MB/SR                 O2562  2   10 
 120.00     2688.100   7.200       52.210    3.090                O2562  2   11 
 120.00     2708.100   7.200       51.630    3.020                O2562  2   12 
 120.00     2728.300   7.200       45.500    2.700                O2562  2   13 
 120.00     2748.300   7.200       47.600    2.800                O2562  2   14 
 120.00     2768.400   7.200       54.460    3.210                O2562  2   15 
 120.00     2788.400   7.200       47.500    2.800                O2562  2   16 
 120.00     2798.500   7.200       45.500    2.700                O2562  2   17 
 120.00     2808.500   7.200       45.800    2.700                O2562  2   18 
 120.00     2818.200   7.200       43.300    2.600                O2562  2   19 
 120.00     2828.600   7.200       41.000    2.400                O2562  2   20 
 120.00     2838.600   7.200       42.600    2.500                O2562  2   21 
 120.00     2848.600   7.200       40.900    2.400                O2562  2   22 
 120.00     2858.700   7.200       42.100    2.500                O2562  2   23 
 120.00     2868.700   7.200       38.590    2.320                O2562  2   24 
 120.00     2878.700   7.200       39.800    2.400                O2562  2   25 
 120.00     2888.800   7.200       38.990    2.330                O2562  2   26 
 120.00     2898.800   7.200       36.820    2.220                O2562  2   27 
 120.00     2908.800   7.200       38.900    2.310                O2562  2   28 
 120.00     2918.900   7.200       30.700    1.800                O2562  2   29 
 120.00     2928.900   7.200       31.000    1.900                O2562  2   30 
 120.00     2938.900   7.200       29.600    1.800                O2562  2   31 
 120.00     2948.900   7.200       28.900    1.800                O2562  2   32 
 120.00     2959.000   7.200       25.100    1.500                O2562  2   33 
 120.00     2969.000   7.200       23.000    1.400                O2562  2   34 
 120.00     2979.000   7.200       19.020    1.150                O2562  2   35 
 120.00     2989.100   7.200       19.450    1.160                O2562  2   36 
 120.00     2999.100   7.200       16.410    1.030                O2562  2   37 
 120.00     3019.100   7.200       10.200    0.700                O2562  2   38 
 120.00     3029.200   7.200       16.120    1.050                O2562  2   39 
 120.00     3039.200   7.200       19.650    1.270                O2562  2   40 
 120.00     3049.200   7.200       16.800    1.070                O2562  2   41 
 120.00     3059.200   7.200       16.530    1.080                O2562  2   42 
 120.00     3069.300   7.200       19.830    1.290                O2562  2   43 
 120.00     3079.300   7.200       25.200    1.600                O2562  2   44 
 120.00     3089.300   7.200       24.900    1.700                O2562  2   45 
 120.00     3104.400   7.200       28.300    1.900                O2562  2   46 
 120.00     3119.400   7.200       38.500    2.600                O2562  2   47 
 120.00     3134.400   7.200       43.400    2.900                O2562  2   48 
 120.00     3149.500   7.200       54.870    3.320                O2562  2   49 
 120.00     3164.500   7.200       66.210    4.040                O2562  2   50 
 120.00     3179.600   7.200       73.260    4.350                O2562  2   51 
 120.00     3204.600   7.200       93.800    5.600                O2562  2   52 
 120.00     3219.700   7.200       97.400    5.900                O2562  2   53 
 120.00     3234.700   7.200      100.950    6.080                O2562  2   54 
 120.00     3249.700   7.200      100.340    6.010                O2562  2   55 
 120.00     3264.800   7.200      102.880    6.110                O2562  2   56 
 120.00     3279.800   7.200      107.600    6.400                O2562  2   57 
 120.00     3304.900   7.200       98.500    5.800                O2562  2   58 
 120.00     3319.900   7.200       95.700    5.900                O2562  2   59 
 120.00     3334.900   7.200       97.800    5.900                O2562  2   60 
 120.00     3350.000   7.200       95.000    5.900                O2562  2   61 
 120.00     3365.000   7.200       96.630    5.960                O2562  2   62 
 120.00     3380.000   7.200       92.000    5.600                O2562  2   63 
 120.00     3405.100   7.200       97.300    5.900                O2562  2   64 
 120.00     3420.100   7.200       88.300    5.400                O2562  2   65 
 120.00     3435.100   7.200       87.700    5.400                O2562  2   66 
 120.00     3450.200   7.200       87.250    5.300                O2562  2   67 
 120.00     3465.200   7.200       85.990    5.240                O2562  2   68 
 120.00     3480.200   7.200       84.700    5.140                O2562  2   69 
 120.00     3490.300   7.200       84.820    5.150                O2562  2   70 
 120.00     3500.300   7.200       80.500    4.900                O2562  2   71 
 120.00     3510.300   7.200       75.000    4.600                O2562  2   72 
 120.00     3520.300   7.200       70.560    4.290                O2562  2   73 
 120.00     3530.300   7.200       70.280    4.290                O2562  2   74 
 120.00     3540.400   7.200       80.700    4.900                O2562  2   75 
 120.00     3550.400   7.200       84.850    5.200                O2562  2   76 
 120.00     3560.400   7.200       81.360    4.970                O2562  2   77 
 120.00     3570.400   7.200       78.000    4.800                O2562  2   78 
