ENTRY            O1865   20140205                             O052O186500000001 
SUBENT        O1865001   20140205                             O052O186500100001 
BIB                 12         38                                 O186500100002 
TITLE      Comparison of nonequilibrium processes in p + Ni and   O186500100003 
           p + Au collisions at GeV energies.                     O186500100004 
AUTHOR     (A.Budzanowski, M.Fidelus, D.Filges, F.Goldenbaum,     O186500100005 
           H.Hodde, L.Jarczyk, B.Kamys, M.Kistryn, St.Kistryn,    O186500100006 
           St.Kliczewski, A.Kowalczyk, E.Kozik, P.Kulessa,        O186500100007 
           H.Machner, A.Magiera, B.Piskor-Ignatowicz, K.Pysz,     O186500100008 
           Z.Rudy, R.Siudak, M.Wojciechowski) - PISA collaborationO186500100009 
INSTITUTE  (3POLIFJ,3POLUJK,2GERJUL,2GERBON)                      O186500100010 
REFERENCE  (J,PR/C,82,034605,2010)                                O186500100011 
REL-REF    (I,D0512001,A.Budzanowski+,J,PR/C,78,024603,2008)      O186500100012 
           (I,,A.Bubak+,J,NIM/B,204,507,2004)                     O186500100013 
FACILITY   (SYNCY,2GERJUL) Cooler Synchrotron COSY in the         O186500100014 
           Research Center in Julich                              O186500100015 
SAMPLE     Self-supporting Ni target of thickness 150 mu-g/cm**2. O186500100016 
DETECTOR   (TELES,SIBAR,CSICR) The PISA apparatus consists of     O186500100017 
           nine independent detection arms comprising various     O186500100018 
           kinds of detectors. Two of these arms (placed at 15.   O186500100019 
           and 120. angles in respect to the beam direction) are  O186500100020 
           equipped with the Bragg curve detectors (BCD), which   O186500100021 
           permit the Z- identification of the reaction products  O186500100022 
           and determination of their kinetic energies with low   O186500100023 
           detection energy threshold (of about 1MeV/nucleon).    O186500100024 
           The active volume of BCD's has thickness of 22 cm of   O186500100025 
           isobutane at a pressure of 206 mbar.                   O186500100026 
COMMENT    *By authors*.The absolute normalization of the cross   O186500100027 
           sections was achieved by comparing the total productionO186500100028 
           cross sections of Be-7 particles, obtained by angle andO186500100029 
           energy integration of measured differential cross      O186500100030 
           sections, with values of Be-7 total production cross   O186500100031 
           sections published in the compilation of Bubak et al.  O186500100032 
            (see REL-REF)                                         O186500100033 
ERR-ANALYS (DATA-ERR).The uncertainty is reported by authors.     O186500100034 
STATUS     (TABLE) Data were received from Dr.B.Kamys             O186500100035 
           (APRVD) Entry approved by Dr.B.Kamys                   O186500100036 
HISTORY    (20101101C) SB                                         O186500100037 
           (20140205A) Corrections made according to Dr.A.KonobeevO186500100038 
           remarks: SF9=DERIV added to REACTION code in Subents   O186500100039 
           18-30; URL deleted from STATUS - no longer valid.      O186500100040 
ENDBIB              38          0                                 O186500100041 
NOCOMMON             0          0                                 O186500100042 
ENDSUBENT           41          0                                 O186500199999 
SUBENT        O1865002   20101111                             O044O186500200001 
BIB                  1          1                                 O186500200002 
REACTION   (28-NI-0(P,X)1-H-1,,DA/DE)                             O186500200003 
ENDBIB               1          0                                 O186500200004 
NOCOMMON             0          0                                 O186500200005 
DATA                 5        621                                 O186500200006 
EN         ANG        E          DATA       DATA-ERR              O186500200007 
GEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             O186500200008 
        1.2       15.6        7.5      12.93       0.18           O186500200009 
        1.2       15.6       10.5       8.66       0.15           O186500200010 
        1.2       15.6       16.5       4.09        0.1           O186500200011 
        1.2       15.6       19.5       3.59       0.29           O186500200012 
        1.2       15.6       40.5      1.892      0.087           O186500200013 
        1.2       15.6       43.5      1.952      0.072           O186500200014 
        1.2       15.6       46.5      2.032      0.074           O186500200015 
        1.2       15.6       49.5      1.891      0.071           O186500200016 
        1.2       15.6       52.5      2.176      0.076           O186500200017 
        1.2       15.6       55.5      2.005      0.073           O186500200018 
        1.2       15.6       58.5      1.944      0.072           O186500200019 
        1.2       15.6       61.5      1.936      0.072           O186500200020 
        1.2       15.6       64.5       1.92      0.072           O186500200021 
        1.2       15.6       67.5      1.848       0.07           O186500200022 
        1.2       15.6       70.5      1.875      0.071           O186500200023 
        1.2       15.6       73.5      1.888      0.071           O186500200024 
        1.2       15.6       76.5      1.819       0.07           O186500200025 
        1.2       15.6       79.5      1.725      0.068           O186500200026 
        1.2       15.6       82.5      1.677      0.067           O186500200027 
        1.2       15.6       85.5      1.757      0.068           O186500200028 
        1.2       15.6       88.5       1.68      0.067           O186500200029 
        1.2       15.6       91.5      1.653      0.066           O186500200030 
        1.2       15.6       94.5      1.763      0.069           O186500200031 
        1.2       15.6       97.5      1.637      0.066           O186500200032 
        1.2       15.6      100.5      1.533      0.064           O186500200033 
        1.2       15.6      103.5      1.608      0.065           O186500200034 
        1.2       15.6      106.5      1.573      0.065           O186500200035 
        1.2       15.6      109.5      1.525      0.064           O186500200036 
        1.2       15.6      112.5      1.565      0.065           O186500200037 
        1.2       15.6      115.5      1.488      0.063           O186500200038 
        1.2       15.6      118.5      1.501      0.063           O186500200039 
        1.2       15.6      121.5      1.496      0.063           O186500200040 
        1.2       15.6      124.5      1.331       0.06           O186500200041 
        1.2       15.6      127.5      1.347       0.06           O186500200042 
        1.2       15.6      130.5      1.293      0.059           O186500200043 
        1.2       15.6      133.5      1.291      0.059           O186500200044 
        1.2       15.6      136.5      1.232      0.057           O186500200045 
        1.2       15.6      139.5      1.211      0.057           O186500200046 
        1.2       15.6      142.5      1.133      0.055           O186500200047 
        1.2       15.6      145.5      1.091      0.054           O186500200048 
        1.2       15.6      148.5       1.08      0.054           O186500200049 
        1.2       15.6      151.5      1.176      0.056           O186500200050 
        1.2       15.6      154.5      0.928       0.05           O186500200051 
        1.2       15.6      157.5      0.992      0.051           O186500200052 
        1.2       15.6      160.5      0.877      0.048           O186500200053 
        1.2       15.6      163.5       0.83       0.14           O186500200054 
        1.2        20.        7.5      14.66       0.18           O186500200055 
        1.2        20.       10.5       8.54       0.14           O186500200056 
        1.2        20.       16.5      4.098      0.098           O186500200057 
        1.2        20.       34.5      2.543      0.095           O186500200058 
        1.2        20.       37.5      2.418      0.076           O186500200059 
        1.2        20.       40.5      2.336      0.074           O186500200060 
        1.2        20.       43.5      2.333      0.074           O186500200061 
