ENTRY            O2222   20140716                             O053O222200000001 
SUBENT        O2222001   20140716                             O053O222200100001 
BIB                  9         10                                 O222200100002 
TITLE      N-14(d,a)C-12 reaction induced by 2-12 MeV deuterons.  O222200100003 
AUTHOR     (M.Chaudhri)                                           O222200100004 
REFERENCE  (T,CHAUDHRI,1964)                                      O222200100005 
INSTITUTE  (2GERMPH)                                              O222200100006 
DETECTOR   (HPGE)                                                 O222200100007 
FACILITY   (VDGT,2GERMPH)                                         O222200100008 
SAMPLE     Gas target, C(5)H(5)N(5) with 51.85% of nitrogen,      O222200100009 
           thickness of 150-300 mug/cm**2, were used.             O222200100010 
METHOD     (SITA)                                                 O222200100011 
HISTORY    (20140716C) SB                                         O222200100012 
ENDBIB              10          0                                 O222200100013 
NOCOMMON             0          0                                 O222200100014 
ENDSUBENT           13          0                                 O222200199999 
SUBENT        O2222002   20140716                             O053O222200200001 
BIB                  3          3                                 O222200200002 
REACTION   (7-N-14(D,A)6-C-12,PAR,DA,,REL)                        O222200200003 
EN-SEC     (E-LVL,6-C-12)                                         O222200200004 
STATUS     (CURVE).Fig.4a of T,CHAUDHRI,1964                      O222200200005 
ENDBIB               3          0                                 O222200200006 
COMMON               2          3                                 O222200200007 
E-LVL      ANG                                                    O222200200008 
MEV        ADEG                                                   O222200200009 
0.         90.                                                    O222200200010 
ENDCOMMON            3          0                                 O222200200011 
DATA                 2        119                                 O222200200012 
EN         DATA                                                   O222200200013 
MEV        ARB-UNITS                                              O222200200014 
       1.99   8.43E+00                                            O222200200015 
       2.00   7.50E+00                                            O222200200016 
       2.04   6.79E+00                                            O222200200017 
       2.08   6.87E+00                                            O222200200018 
       2.15   6.53E+00                                            O222200200019 
       2.20   5.57E+00                                            O222200200020 
       2.32   5.51E+00                                            O222200200021 
       2.39   5.87E+00                                            O222200200022 
       2.43   5.49E+00                                            O222200200023 
       2.49   5.61E+00                                            O222200200024 
       2.58   4.73E+00                                            O222200200025 
       2.67   4.06E+00                                            O222200200026 
       2.73   4.11E+00                                            O222200200027 
       2.78   4.87E+00                                            O222200200028 
       2.87   5.46E+00                                            O222200200029 
       2.97   5.66E+00                                            O222200200030 
       3.06   5.20E+00                                            O222200200031 
       3.14   5.30E+00                                            O222200200032 
       3.23   4.92E+00                                            O222200200033 
       3.28   4.34E+00                                            O222200200034 
       3.33   3.74E+00                                            O222200200035 
       3.40   3.08E+00                                            O222200200036 
       3.43   2.50E+00                                            O222200200037 
       3.46   2.13E+00                                            O222200200038 
       3.53   1.66E+00                                            O222200200039 
       3.59   2.17E+00                                            O222200200040 
       3.79   2.55E+00                                            O222200200041 
       3.84   2.80E+00                                            O222200200042 
       3.88   2.90E+00                                            O222200200043 
       3.93   3.28E+00                                            O222200200044 
       3.99   3.65E+00                                            O222200200045 
       4.03   4.07E+00                                            O222200200046 
       4.07   4.35E+00                                            O222200200047 
       4.10   4.62E+00                                            O222200200048 
       4.14   4.90E+00                                            O222200200049 
       4.21   4.87E+00                                            O222200200050 
       4.27   4.95E+00                                            O222200200051 
       4.33   5.15E+00                                            O222200200052 
       4.38   5.34E+00                                            O222200200053 
       4.46   5.84E+00                                            O222200200054 
       4.48   5.94E+00                                            O222200200055 
       4.54   6.04E+00                                            O222200200056 
       4.59   5.78E+00                                            O222200200057 
       4.63   5.41E+00                                            O222200200058 
       4.74   5.58E+00                                            O222200200059 
       4.81   5.52E+00                                            O222200200060 
       4.88   5.13E+00                                            O222200200061 
       5.01   5.27E+00                                            O222200200062 
       5.07   5.23E+00                                            O222200200063 
       5.17   4.47E+00                                            O222200200064 
