ENTRY            O1553   20070928                             O032O155300000001 
SUBENT        O1553001   20070928                             O032O155300100001 
BIB                 13         27                                 O155300100002 
TITLE       (p,d) reactions on silicon isotopes at 27.3 MeV.      O155300100003 
AUTHOR     (F.Pellegrini, F.Gentilin, P.Guazzoni, S.Micheletti,   O155300100004 
           M.Pignanelli)                                          O155300100005 
INSTITUTE  (2ITYPAD)                                              O155300100006 
           (2ITYMIL)                                              O155300100007 
REFERENCE  (J,PR/C,2,1440,1970)                                   O155300100008 
FACILITY   (CYCLO,2ITYMIL) The Milano azimuthally-varying-field   O155300100009 
           cyclotron.                                             O155300100010 
COMMENT    *BY AUTHORS*.The target thickness was estimated by a   O155300100011 
           comparison with the elastic scattering of 3 MeV alpha  O155300100012 
           particles from the C.N. Van de Graaff accelerator of   O155300100013 
           Legnaro(Padova).                                       O155300100014 
METHOD     (EDE)                                                  O155300100015 
ADD-RES    (COMP).DWBA analysis.                                  O155300100016 
            Deuteron spectrum from the Si-29(p,d)Si-28 and        O155300100017 
            Si-30(p,d)Si-29 reactions at Ang=50-degree were       O155300100018 
            observed.                                             O155300100019 
DETECTOR   (TELES,SIBAR) A delta-E-E counter telescope, the       O155300100020 
           delta-E counter consisted of surface-barrier detector  O155300100021 
           of 100-mu thickness, the E counter was a 200-mu thick  O155300100022 
           surface barrier detector.                              O155300100023 
INC-SOURCE *EN-RSL-FW*.Overall resolution of 250 keV full width atO155300100024 
            half maximum.                                         O155300100025 
HISTORY    (20070928C) S.B                                        O155300100026 
ERR-ANALYS (DATA-ERR).The error is reported by authors on fig.    O155300100027 
           (ANG-ERR-D).Digitizing error of angle.                 O155300100028 
STATUS     (CURVE) Data from figure 4,5,6,7                       O155300100029 
ENDBIB              27          0                                 O155300100030 
COMMON               3          3                                 O155300100031 
EN         EN-RSL-FW  ANG-ERR-D                                   O155300100032 
MEV        KEV        ADEG                                        O155300100033 
27.3       250.       0.4                                         O155300100034 
ENDCOMMON            3          0                                 O155300100035 
ENDSUBENT           34          0                                 O155300199999 
SUBENT        O1553002   20070928                             O032O155300200001 
BIB                  4         12                                 O155300200002 
REACTION   (14-SI-29(P,D)14-SI-28,PAR,DA) fig 4, 6                O155300200003 
SAMPLE     The Si-29 target was produced by vacuum evaporation of O155300200004 
           enriched SiO(2)-to 92% Si-29, on a thin carbon backing.O155300200005 
           The Si-29 target had a nuclear density of              O155300200006 
            (2.9+-0.3)10E+18 nuclei/cm**2.                        O155300200007 
EN-SEC     (E-LVL,14-SI-28)                                       O155300200008 
LEVEL-PROP (14-SI-28,E-LVL=0.000,SPIN=0.0,PARITY=+1.)             O155300200009 
           (14-SI-28,E-LVL=4.970,SPIN=0.0,PARITY=+1.)             O155300200010 
           (14-SI-28,E-LVL=1.790,SPIN=2.0,PARITY=+1.)             O155300200011 
           (14-SI-28,E-LVL=6.270,SPIN=3.0,PARITY=+1.)             O155300200012 
           (14-SI-28,E-LVL=9.320,SPIN=2.0/3.0,PARITY=+1.)         O155300200013 
           (14-SI-28,E-LVL=4.610,SPIN=4.0,PARITY=+1.)             O155300200014 
ENDBIB              12          0                                 O155300200015 
NOCOMMON             0          0                                 O155300200016 
DATA                 4        120                                 O155300200017 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         O155300200018 
MEV        ADEG       MB/SR      PER-CENT                         O155300200019 
    0.00000   17.90000    1.63000   14.00000                      O155300200020 
    0.00000   23.40000    2.04000   11.00000                      O155300200021 
    0.00000   30.10000    3.15000    4.00000                      O155300200022 
    0.00000   34.10000    2.68000    6.00000                      O155300200023 
    0.00000   39.50000    1.10000    8.00000                      O155300200024 
    0.00000   44.20000    0.21600    8.00000                      O155300200025 
    0.00000   49.10000    0.15300    8.00000                      O155300200026 
    0.00000   54.70000    0.44400    6.00000                      O155300200027 
    0.00000   59.80000    0.66000    8.00000                      O155300200028 
    0.00000   65.10000    0.59000    7.00000                      O155300200029 
    0.00000   70.00000    0.41400    5.00000                      O155300200030 
    0.00000   75.30000    0.20800    6.00000                      O155300200031 
    0.00000   80.30000    0.07700    6.00000                      O155300200032 
    0.00000   84.90000    0.05400    9.00000                      O155300200033 
    0.00000   90.00000    0.06900    7.00000                      O155300200034 
    0.00000   94.90000    0.09100   10.00000                      O155300200035 
    0.00000  100.30000    0.14100    9.00000                      O155300200036 
    0.00000  104.70000    0.15900    9.00000                      O155300200037 
    0.00000  110.00000    0.14100   10.00000                      O155300200038 
    0.00000  114.60000    0.11400    9.00000                      O155300200039 
    0.00000  119.80000    0.07000   10.00000                      O155300200040 
    0.00000  124.10000    0.01500   20.00000                      O155300200041 
    1.79000   23.30000    2.07000    9.00000                      O155300200042 
    1.79000   28.30000    1.79000   10.00000                      O155300200043 
    1.79000   34.10000    1.05000   11.00000                      O155300200044 
    1.79000   38.00000    0.73000    8.00000                      O155300200045 
    1.79000   43.20000    0.69000    7.00000                      O155300200046 
    1.79000   49.10000    0.60000   13.00000                      O155300200047 
    1.79000   54.80000    0.60000    8.00000                      O155300200048 
    1.79000   60.20000    0.45000    9.00000                      O155300200049 
    1.79000   64.00000    0.25900    8.00000                      O155300200050 
    1.79000   69.10000    0.16600   10.00000                      O155300200051 
    1.79000   74.30000    0.15000   15.00000                      O155300200052 
    1.79000   79.70000    0.19300   10.00000                      O155300200053 
    1.79000   84.90000    0.20300    8.00000                      O155300200054 
    1.79000   89.80000    0.20200    6.00000                      O155300200055 
    1.79000   95.10000    0.16100    6.00000                      O155300200056 
    1.79000  100.40000    0.13400   12.00000                      O155300200057 
    1.79000  105.40000    0.10900   18.00000                      O155300200058 
    1.79000  109.80000    0.10000   14.00000                      O155300200059 
    1.79000  114.90000    0.10400   16.00000                      O155300200060 
    1.79000  119.50000    0.12000   14.00000                      O155300200061 
    1.79000  123.90000    0.10200   14.00000                      O155300200062 
    4.61000   26.50000    0.14900    9.00000                      O155300200063 
    4.61000   32.70000    0.13300    8.00000                      O155300200064 
    4.61000   37.40000    0.14700   10.00000                      O155300200065 
    4.61000   42.00000    0.13100    8.00000                      O155300200066 
    4.61000   48.00000    0.09900    7.00000                      O155300200067 
    4.61000   52.70000    0.10100   10.00000                      O155300200068 
    4.61000   58.10000    0.10000    8.00000                      O155300200069 
    4.61000   62.90000    0.09000    9.00000                      O155300200070 
    4.61000   67.80000    0.07700    6.00000                      O155300200071 
    4.61000   73.30000    0.05800    9.00000                      O155300200072 
