ENTRY            O2167   20221224                             O092O2167  0    1 
SUBENT        O2167001   20221224                             O092O2167  1    1 
BIB                 11         15                                 O2167  1    2 
TITLE      Measurement and evaluation of the 13C(p,p)13C cross    O2167  1    3 
           section in the energy range 0.8-2.4 MeV.               O2167  1    4 
AUTHOR     (N.P.Barradas,N.Catarino,E.Alves,I.Bogdanovic Radovic, O2167  1    5 
           A.F.Gurbich)                                           O2167  1    6 
INSTITUTE  (2PRTLIS,3CRORBZ,2UK SUR)                              O2167  1    7 
REFERENCE  (J,NIM/B,316,81,2013)                                  O2167  1    8 
FACILITY   (VDG,2PRTLIS)                                          O2167  1    9 
SAMPLE     A 13C thin film on a natural carbon substrate          O2167  1   10 
DETECTOR   (SI)                                                   O2167  1   11 
ANALYSIS    A thin film method with Bayesian inference data       O2167  1   12 
           analysis                                               O2167  1   13 
STATUS     (TABLE) Table data were taken from IBANDL              O2167  1   14 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     O2167  1   15 
HISTORY    (20130926C) SB                                         O2167  1   16 
           (20221224A) SD: Correction in Subent 002.              O2167  1   17 
ENDBIB              15          0                                 O2167  1   18 
NOCOMMON             0          0                                 O2167  1   19 
ENDSUBENT           18          0                                 O2167  199999 
SUBENT        O2167002   20221224                             O092O2167  2    1 
BIB                  2          3                                 O2167  2    2 
REACTION   (6-C-13(P,EL)6-C-13,,DA,,RTH)                          O2167  2    3 
HISTORY    (20221224A) SD: Col.title in 5th field corrected       O2167  2    4 
             (DATA -> DATA-ERR).                                  O2167  2    5 
ENDBIB               3          0                                 O2167  2    6 
NOCOMMON             0          0                                 O2167  2    7 
DATA                 5        193                                 O2167  2    8 
ANG        EN         EN-ERR     DATA       DATA-ERR              O2167  2    9 
ADEG       KEV        KEV        NO-DIM     NO-DIM                O2167  2   10 
140.       787.10     17.3       1.569      0.186                 O2167  2   11 
140.       837.95     16.7       1.608      0.191                 O2167  2   12 
140.       887.75     16.2       1.613      0.193                 O2167  2   13 
140.       932.30     15.8       1.691      0.202                 O2167  2   14 
140.       989.85     15.2       1.634      0.195                 O2167  2   15 
140.       1013.65    15.0       1.776      0.212                 O2167  2   16 
140.       1039.70    14.8       1.710      0.205                 O2167  2   17 
140.       1064.60    14.6       1.729      0.207                 O2167  2   18 
140.       1090.85    14.4       1.851      0.221                 O2167  2   19 
140.       1114.50    14.2       1.865      0.223                 O2167  2   20 
140.       1139.80    14.0       2.033      0.245                 O2167  2   21 
140.       1163.75    13.8       2.095      0.250                 O2167  2   22 
140.       1189.70    13.6       2.241      0.269                 O2167  2   23 
140.       1215.15    13.4       2.416      0.288                 O2167  2   24 
140.       1240.85    13.2       2.658      0.316                 O2167  2   25 
140.       1265.90    13.1       2.825      0.337                 O2167  2   26 
140.       1291.10    12.9       3.116      0.372                 O2167  2   27 
140.       1314.85    12.8       3.410      0.406                 O2167  2   28 
140.       1341.15    12.6       3.693      0.440                 O2167  2   29 
140.       1365.95    12.5       4.173      0.495                 O2167  2   30 
140.       1391.20    12.3       4.668      0.554                 O2167  2   31 
140.       1405.05    12.3       5.090      0.604                 O2167  2   32 
140.       1410.10    12.2       5.248      0.620                 O2167  2   33 
140.       1416.80    12.2       5.544      0.658                 O2167  2   34 
140.       1424.70    12.2       6.296      0.745                 O2167  2   35 
140.       1431.55    12.1       6.741      0.797                 O2167  2   36 
140.       1438.45    12.1       8.016      0.947                 O2167  2   37 
140.       1444.85    12.0       10.433     1.231                 O2167  2   38 
140.       1451.80    12.0       15.719     1.849                 O2167  2   39 
140.       1458.90    12.0       22.184     2.608                 O2167  2   40 
140.       1465.75    11.9       20.088     2.363                 O2167  2   41 
140.       1473.80    11.9       12.503     1.471                 O2167  2   42 
140.       1481.40    11.9       7.736      0.916                 O2167  2   43 
140.       1488.60    11.8       5.900      0.702                 O2167  2   44 
140.       1503.55    11.8       4.911      0.581                 O2167  2   45 
140.       1532.55    11.6       5.268      0.627                 O2167  2   46 
140.       1561.85    11.5       4.313      0.512                 O2167  2   47 
140.       1590.70    11.4       4.787      0.567                 O2167  2   48 
140.       1621.55    11.2       4.839      0.576                 O2167  2   49 
140.       1648.90    11.1       4.992      0.595                 O2167  2   50 
140.       1676.60    11.0       5.408      0.644                 O2167  2   51 
140.       1692.05    10.9       5.250      0.623                 O2167  2   52 
140.       1700.25    10.9       5.047      1.374                 O2167  2   53 
140.       1708.05    10.9       4.924      1.341                 O2167  2   54 
140.       1716.85    10.9       4.955      1.350                 O2167  2   55 
140.       1724.50    10.8       5.059      1.378                 O2167  2   56 
140.       1731.25    10.8       4.933      1.343                 O2167  2   57 
140.       1739.85    10.8       4.873      1.328                 O2167  2   58 
140.       1747.50    10.7       5.100      1.390                 O2167  2   59 
140.       1756.35    10.7       5.043      1.374                 O2167  2   60 
140.       1766.05    10.7       5.561      1.515                 O2167  2   61 
140.       1773.80    10.7       5.626      1.532                 O2167  2   62 
140.       1782.20    10.6       5.418      0.645                 O2167  2   63 
140.       1789.60    10.6       5.799      0.689                 O2167  2   64 
140.       1798.10    10.6       5.739      0.684                 O2167  2   65 
140.       1806.65    10.5       6.023      0.716                 O2167  2   66 
140.       1822.20    10.5       6.001      0.713                 O2167  2   67 
140.       1838.10    10.4       6.302      0.748                 O2167  2   68 
140.       1854.20    10.4       6.292      0.747                 O2167  2   69 
140.       1870.70    10.3       6.426      0.763                 O2167  2   70 
140.       1885.85    10.3       6.510      0.774                 O2167  2   71 
140.       1909.95    10.2       7.160      0.849                 O2167  2   72 
140.       1937.25    10.1       7.856      0.933                 O2167  2   73 
140.       1951.70    10.1       7.906      0.939                 O2167  2   74 
140.       1969.85    10.0       11.365     1.346                 O2167  2   75 
140.       1978.20    10.0       23.401     2.756                 O2167  2   76 
140.       1985.40    10.0       22.220     2.617                 O2167  2   77 
140.       1993.20    10.0       10.344     1.225                 O2167  2   78 
140.       2003.30    9.9        8.483      1.008                 O2167  2   79 
140.       2018.85    9.9        8.721      1.034                 O2167  2   80 
140.       2037.00    9.8        9.626      1.145                 O2167  2   81 
140.       2052.75    9.8        11.364     1.349                 O2167  2   82 
140.       2062.40    9.8        12.580     1.488                 O2167  2   83 
140.       2070.90    9.7        14.358     1.697                 O2167  2   84 
140.       2079.85    9.7        16.812     1.982                 O2167  2   85 
140.       2088.00    9.7        19.476     2.294                 O2167  2   86 
140.       2096.85    9.7        24.183     2.849                 O2167  2   87 
140.       2105.95    9.6        27.324     3.218                 O2167  2   88 
140.       2114.95    9.6        26.737     3.148                 O2167  2   89 
140.       2124.40    9.6        21.609     2.549                 O2167  2   90 
140.       2133.05    9.6        16.538     1.953                 O2167  2   91 
140.       2140.85    9.6        13.390     1.582                 O2167  2   92 
140.       2157.40    9.5        9.591      1.141                 O2167  2   93 
140.       2174.75    9.5        7.963      0.948                 O2167  2   94 
140.       2211.15    9.4        7.073      0.844                 O2167  2   95 
140.       2243.30    9.3        7.009      0.841                 O2167  2   96 
140.       2260.55    9.2        7.019      0.839                 O2167  2   97 
140.       2279.05    9.2        6.902      0.827                 O2167  2   98 
140.       2300.60    9.1        6.926      0.832                 O2167  2   99 
140.       2305.80    9.1        6.364      0.768                 O2167  2  100 
140.       2317.35    9.1        5.103      0.617                 O2167  2  101 
140.       2336.65    9.0        5.660      0.683                 O2167  2  102 
140.       2353.15    9.0        7.070      0.848                 O2167  2  103 
140.       2368.30    8.9        7.232      0.865                 O2167  2  104 
140.       2390.80    8.9        7.443      0.892                 O2167  2  105 
140.       2412.50    8.8        7.806      0.934                 O2167  2  106 
140.       2430.80    8.8        7.953      0.955                 O2167  2  107 
160.       787.10     17.3       1.791      0.217                 O2167  2  108 
160.       837.95     16.7       1.859      0.228                 O2167  2  109 
160.       887.75     16.2       1.897      0.230                 O2167  2  110 
160.       932.30     15.8       1.990      0.242                 O2167  2  111 
160.       989.85     15.2       2.102      0.254                 O2167  2  112 
160.       1013.65    15.0       2.035      0.244                 O2167  2  113 
160.       1039.70    14.8       2.264      0.278                 O2167  2  114 
160.       1064.60    14.6       2.257      0.275                 O2167  2  115 
160.       1090.85    14.4       2.472      0.302                 O2167  2  116 
160.       1114.50    14.2       2.435      0.297                 O2167  2  117 
160.       1139.80    14.0       2.535      0.317                 O2167  2  118 
160.       1163.75    13.8       2.654      0.323                 O2167  2  119 
160.       1189.70    13.6       2.927      0.359                 O2167  2  120 
160.       1215.15    13.4       3.128      0.382                 O2167  2  121 
160.       1240.85    13.2       3.456      0.421                 O2167  2  122 
160.       1265.90    13.1       3.743      0.453                 O2167  2  123 
160.       1291.10    12.9       4.135      0.500                 O2167  2  124 
160.       1314.85    12.8       4.819      0.580                 O2167  2  125 
160.       1341.15    12.6       4.802      0.577                 O2167  2  126 
160.       1365.95    12.5       5.651      0.677                 O2167  2  127 
160.       1391.20    12.3       6.299      0.755                 O2167  2  128 
160.       1405.05    12.3       7.148      0.859                 O2167  2  129 
160.       1410.10    12.2       7.102      0.849                 O2167  2  130 
160.       1416.80    12.2       8.158      0.973                 O2167  2  131 
160.       1424.70    12.1       8.914      1.064                 O2167  2  132 
160.       1431.55    12.1       10.299     1.220                 O2167  2  133 
160.       1438.45    12.1       12.380     1.472                 O2167  2  134 
160.       1444.85    12.0       16.495     1.955                 O2167  2  135 
160.       1451.80    12.0       25.289     2.980                 O2167  2  136 
160.       1458.90    12.0       35.675     4.221                 O2167  2  137 
160.       1465.75    11.9       30.750     3.619                 O2167  2  138 
160.       1473.80    11.9       18.854     2.233                 O2167  2  139 
160.       1481.40    11.9       10.409     1.249                 O2167  2  140 
160.       1488.60    11.8       6.953      0.834                 O2167  2  141 
160.       1503.55    11.8       6.005      0.721                 O2167  2  142 
160.       1532.55    11.6       6.182      0.742                 O2167  2  143 
160.       1561.85    11.5       4.612      0.561                 O2167  2  144 
160.       1590.70    11.4       5.413      0.656                 O2167  2  145 
160.       1621.55    11.2       5.584      0.676                 O2167  2  146 
160.       1648.90    11.1       5.630      0.681                 O2167  2  147 
160.       1676.60    11.0       6.092      0.731                 O2167  2  148 
160.       1692.05    10.9       5.887      0.713                 O2167  2  149 
160.       1700.25    10.9       5.639      1.540                 O2167  2  150 
160.       1708.05    10.9       6.216      1.699                 O2167  2  151 
160.       1716.85    10.9       7.104      1.940                 O2167  2  152 
160.       1724.50    10.8       7.322      1.999                 O2167  2  153 
160.       1731.25    10.8       7.406      2.023                 O2167  2  154 
160.       1739.85    10.8       7.887      2.152                 O2167  2  155 
160.       1747.50    10.7       8.030      2.193                 O2167  2  156 
160.       1756.35    10.7       7.813      2.134                 O2167  2  157 
160.       1766.05    10.7       7.865      2.146                 O2167  2  158 
160.       1773.80    10.6       7.590      2.070                 O2167  2  159 
160.       1782.20    10.6       7.202      0.868                 O2167  2  160 
160.       1789.60    10.6       7.565      0.909                 O2167  2  161 
160.       1798.10    10.6       7.089      0.855                 O2167  2  162 
160.       1806.65    10.5       7.645      0.920                 O2167  2  163 
160.       1822.20    10.5       7.642      0.923                 O2167  2  164 
160.       1838.10    10.4       7.840      0.946                 O2167  2  165 
160.       1854.20    10.4       7.927      0.954                 O2167  2  166 
160.       1870.70    10.3       8.438      1.013                 O2167  2  167 
160.       1885.85    10.3       8.507      1.023                 O2167  2  168 
160.       1937.25    10.1       10.517     1.264                 O2167  2  169 
160.       1951.70    10.1       11.856     1.420                 O2167  2  170 
160.       1969.85    10.0       19.000     2.257                 O2167  2  171 
160.       1978.20    10.0       40.811     4.811                 O2167  2  172 
160.       1985.40    10.0       33.027     3.897                 O2167  2  173 
160.       1993.20    10.0       13.708     1.631                 O2167  2  174 
160.       2003.30    9.9        10.055     1.203                 O2167  2  175 
160.       2018.85    9.9        11.343     1.351                 O2167  2  176 
160.       2037.00    9.8        13.124     1.566                 O2167  2  177 
160.       2052.75    9.8        15.719     1.872                 O2167  2  178 
160.       2062.40    9.8        17.366     2.067                 O2167  2  179 
