ENTRY            O1136   20040423                             0000O113600000001 
SUBENT        O1136001   20040423                             0000O113600100001 
BIB                 13         27                                 O113600100002 
TITLE      Neutron orbit radii in Sr-89 from the (d,p) sub-coulombO113600100003 
           reaction.                                              O113600100004 
AUTHOR     (A.Saganek, V.Meyer, S.Mirowski, M.Oteski, M.Sieminski,O113600100005 
           E.Wesolowski, Z.Wilhelmi)                              O113600100006 
INSTITUTE  (3POLWWA) Institute of experimental physics.           O113600100007 
           (2SWTZUR) Institute of physics.                        O113600100008 
REFERENCE  (J,JP/G,10,549,1984)                                   O113600100009 
HISTORY    (20040219C)                                            O113600100010 
           (20040423U) Last checking has been done.               O113600100011 
SAMPLE     A layer of thickness 80-mug/cm**2 of natural strontium,O113600100012 
           enrichment Sr-88 82.5%, evaporated onto a carbon       O113600100013 
           backing was used as target.                            O113600100014 
ADD-RES    (COMP) DWBA analysis.                                  O113600100015 
           (STRUC) Spectroscopic factors, root-mean-square radii  O113600100016 
           of neutron orbits.                                     O113600100017 
           (P-SPC) A typical spectrum of detected proton is       O113600100018 
           observed.                                              O113600100019 
DETECTOR   (SIBAR) Four surface-barrier silicon detectors.        O113600100020 
INC-SPECT   EN-RSL-FW. THE ENERGY RESOLUTION OF 37-45 KEV.        O113600100021 
FACILITY   (VDG,2SWTZUR)                                          O113600100022 
METHOD     (SITA)                                                 O113600100023 
ERR-ANALYS (DATA-ERR).The error is shown by authors on figures.   O113600100024 
           The error of the absolute (d,P) cross section was 5-11%O113600100025 
           and was approximately equal to the statistical errors  O113600100026 
           of the proton yields.                                  O113600100027 
           (ANG-ERR-D).Data-point reader uncertainty.             O113600100028 
STATUS     (CURVE).By CAJAD.                                      O113600100029 
ENDBIB              27          0                                 O113600100030 
COMMON               1          3                                 O113600100031 
EN-RSL-FW                                                         O113600100032 
KEV                                                               O113600100033 
        45.                                                       O113600100034 
ENDCOMMON            3          0                                 O113600100035 
ENDSUBENT           34          0                                 O113600199999 
SUBENT        O1136002   20040423                             0000O113600200001 
BIB                  3          7                                 O113600200002 
REACTION   (38-SR-88(D,P)38-SR-89,PAR,DA)                         O113600200003 
EN-SEC     (E-LVL,38-SR-89)                                       O113600200004 
LEVEL-PROP (38-SR-89,E-LVL=0.000,SPIN=2.5,PARITY=+1.)             O113600200005 
           (38-SR-89,E-LVL=1.032,SPIN=0.5,PARITY=+1.)             O113600200006 
           (38-SR-89,E-LVL=1.940,SPIN=2.5,PARITY=+1.)             O113600200007 
           (38-SR-89,E-LVL=2.008,SPIN=1.5,PARITY=+1.)             O113600200008 
           (38-SR-89,E-LVL=2.452,SPIN=1.5,PARITY=+1.)             O113600200009 
ENDBIB               7          0                                 O113600200010 
COMMON               1          3                                 O113600200011 
ANG-ERR-D                                                         O113600200012 
ADEG                                                              O113600200013 
        0.5                                                       O113600200014 
ENDCOMMON            3          0                                 O113600200015 
DATA                 5        112                                 O113600200016 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              O113600200017 
MEV        MEV        ADEG       MU-B/SR    PER-CENT              O113600200018 
        3.4         0.       89.8        42.         4.           O113600200019 
        3.4         0.       99.3        37.         3.           O113600200020 
        3.4         0.      109.3        47.         4.           O113600200021 
        3.4         0.      119.4        47.         3.           O113600200022 
        3.4         0.      124.8       44.2         3.           O113600200023 
        3.4         0.      129.8        42.         3.           O113600200024 
        3.4         0.      140.2        47.         3.           O113600200025 
        3.4         0.      149.3       42.5         3.           O113600200026 
        3.4      1.032       89.9        81.         5.           O113600200027 
        3.4      1.032       99.8        86.         6.           O113600200028 
        3.4      1.032      108.7        80.         5.           O113600200029 
        3.4      1.032      119.7        82.         6.           O113600200030 
        3.4      1.032      129.3        83.         6.           O113600200031 
        3.4      1.032       140.        81.         6.           O113600200032 
        3.4      1.032      149.9        86.         5.           O113600200033 
        3.4      1.032      160.2        76.         5.           O113600200034 
        3.4       1.94       99.6        17.         3.           O113600200035 
        3.4       1.94      109.9       14.4        2.6           O113600200036 
        3.4       1.94      119.9       20.2        2.6           O113600200037 
        3.4       1.94      130.2       21.9        2.3           O113600200038 
        3.4       1.94      139.9       17.5        2.3           O113600200039 
        3.4       1.94      149.9       16.2         3.           O113600200040 
        3.4      2.008       100.        55.         5.           O113600200041 
        3.4      2.008      110.5        60.         5.           O113600200042 
        3.4      2.008      130.2        60.         4.           O113600200043 
        3.4      2.008      140.1        64.         4.           O113600200044 
        3.4      2.008      150.9        74.         5.           O113600200045 
        3.4      2.008      160.4        73.         4.           O113600200046 
        3.4      2.452      130.2        48.         4.           O113600200047 
        3.4      2.452      140.7        58.         4.           O113600200048 
        3.4      2.452      150.4        65.         3.           O113600200049 
        3.4      2.452      160.5        62.         4.           O113600200050 
        3.8         0.       69.2        81.        11.           O113600200051 
        3.8         0.        79.        92.        10.           O113600200052 
        3.8         0.       88.8       102.        10.           O113600200053 
        3.8         0.      109.7       114.         7.           O113600200054 
        3.8         0.      119.2       110.         6.           O113600200055 
        3.8         0.      129.3       121.         6.           O113600200056 
        3.8         0.      140.1       114.         7.           O113600200057 
        3.8         0.      149.2       115.         8.           O113600200058 
        3.8         0.      159.3       115.         7.           O113600200059 
        3.8      1.032       79.8       144.        12.           O113600200060 
        3.8      1.032       89.7       174.        12.           O113600200061 
        3.8      1.032      109.2       193.        10.           O113600200062 
        3.8      1.032      119.1       199.         9.           O113600200063 
        3.8      1.032      129.4       177.         9.           O113600200064 
        3.8      1.032      140.1       161.         9.           O113600200065 
        3.8      1.032      149.7       160.         8.           O113600200066 
        3.8      1.032      159.6       171.         9.           O113600200067 
        3.8       1.94      100.4        42.         6.           O113600200068 
        3.8       1.94      131.7        43.         4.           O113600200069 
        3.8       1.94      139.4        41.         4.           O113600200070 
        3.8       1.94      150.1        40.         4.           O113600200071 
        3.8       1.94       160.        43.         4.           O113600200072 
        3.8      2.008       80.4        90.        10.           O113600200073 
        3.8      2.008       90.1       102.        12.           O113600200074 
