ENTRY            O0962   20150311                             O054O0962  0    1 
SUBENT        O0962001   20150311                             O054O0962  1    1 
BIB                 11         21                                 O0962  1    2 
TITLE      Backangle anomaly in scattering of alpha-particles fromO0962  1    3 
           Si-28 at low energies.                                 O0962  1    4 
AUTHOR     (A.Coban,F.Z.Khiari,M.S.Abdelmonem,A.Aksoy,A.A.Naqvi)  O0962  1    5 
INSTITUTE  (3SARDHA)                                              O0962  1    6 
REFERENCE  (J,NP/A,678,3,2000)                                    O0962  1    7 
ADD-RES    (THEO).A Regge pole formalism.                         O0962  1    8 
           Spectra of alpha-particles was measured.               O0962  1    9 
DETECTOR   (SIBAR) Six silicon surface barrier detectors with     O0962  1   10 
           active areas of 100 mm**2 were used.                   O0962  1   11 
FACILITY   (VDGT,3SARDHA) Energy resolution of the accelerator    O0962  1   12 
           was better than 2-KeV at all energies.                 O0962  1   13 
PART-DET   (A)                                                    O0962  1   14 
METHOD     (SITA)                                                 O0962  1   15 
           (BCINT)                                                O0962  1   16 
SAMPLE     The silicon targets were prepared using the electron   O0962  1   17 
           beam evaporation technique.A 200-900 nm thick layer of O0962  1   18 
           natural silicon was evaporated on a carbon foil with a O0962  1   19 
           40 mug/cm**2 thickness.                                O0962  1   20 
HISTORY    (20020523C) sb                                         O0962  1   21 
           (20050914A) Reference is corrected                     O0962  1   22 
           (20150311A).Data were re-digitized-sb.                 O0962  1   23 
ENDBIB              21          0                                 O0962  1   24 
NOCOMMON             0          0                                 O0962  1   25 
ENDSUBENT           24          0                                 O0962  199999 
SUBENT        O0962002   20150311                             O054O0962  2    1 
BIB                  4          4                                 O0962  2    2 
REACTION   (14-SI-28(A,EL)14-SI-28,,DA,,RTH)                      O0962  2    3 
STATUS     (CURVE).Fig 2 of J,NP/A,678,3,2000                     O0962  2    4 
HISTORY    (20150311A).Data were re-digitized                     O0962  2    5 
ERR-ANALYS (DATA-ERR).No information on source of uncertainty     O0962  2    6 
ENDBIB               4          0                                 O0962  2    7 
NOCOMMON             0          0                                 O0962  2    8 
DATA                 4        564                                 O0962  2    9 
ANG        EN         DATA       DATA-ERR                         O0962  2   10 
ADEG       MEV        NO-DIM     NO-DIM                           O0962  2   11 
       130.       3.01      1.049      0.073                      O0962  2   12 
       130.       3.05      1.055      0.079                      O0962  2   13 
       130.       3.11      1.048      0.073                      O0962  2   14 
       130.       3.15      1.067      0.059                      O0962  2   15 
       130.       3.18      1.067      0.040                      O0962  2   16 
       130.       3.21      1.054      0.053                      O0962  2   17 
       130.       3.25      1.053      0.040                      O0962  2   18 
       130.       3.30      1.052      0.066                      O0962  2   19 
       130.       3.34      1.084      0.059                      O0962  2   20 
       130.       3.39      1.005      0.059                      O0962  2   21 
       130.       3.44      1.057      0.053                      O0962  2   22 
       130.       3.49      0.990      0.046                      O0962  2   23 
       130.       3.54      1.069      0.040                      O0962  2   24 
       130.       3.59      1.009      0.046                      O0962  2   25 
       130.       3.64      1.047      0.073                      O0962  2   26 
       130.       3.67      1.014      0.033                      O0962  2   27 
       130.       3.72      1.007      0.059                      O0962  2   28 
       130.       3.76      1.013      0.060                      O0962  2   29 
       130.       3.80      1.012      0.059                      O0962  2   30 
       130.       3.84      1.011      0.046                      O0962  2   31 
       130.       3.87      0.998      0.059                      O0962  2   32 
       130.       3.91      1.004      0.046                      O0962  2   33 
       130.       3.95      1.070      0.033                      O0962  2   34 
       130.       3.99      1.003      0.046                      O0962  2   35 
       130.       4.05      1.115      0.059                      O0962  2   36 
       130.       4.10      1.022      0.040                      O0962  2   37 
       130.       4.13      1.034      0.053                      O0962  2   38 
       130.       4.17      1.047      0.040                      O0962  2   39 
       130.       4.20      1.067      0.053                      O0962  2   40 
       130.       4.23      1.066      0.053                      O0962  2   41 
       130.       4.25      1.026      0.026                      O0962  2   42 
       130.       4.27      1.019      0.040                      O0962  2   43 
       130.       4.31      1.032      0.053                      O0962  2   44 
       130.       4.35      1.005      0.046                      O0962  2   45 
       130.       4.40      0.965      0.046                      O0962  2   46 
       130.       4.44      0.951      0.053                      O0962  2   47 
       130.       4.48      0.964      0.046                      O0962  2   48 
       130.       4.51      0.970      0.059                      O0962  2   49 
       130.       4.55      0.976      0.046                      O0962  2   50 
       130.       4.59      0.962      0.073                      O0962  2   51 
       130.       4.63      0.963      0.046                      O0962  2   52 
       130.       4.67      0.955      0.059                      O0962  2   53 
       130.       4.70      0.961      0.046                      O0962  2   54 
       130.       4.74      0.855      0.053                      O0962  2   55 
       130.       4.79      1.052      0.059                      O0962  2   56 
       130.       4.85      1.150      0.059                      O0962  2   57 
       130.       4.89      1.064      0.033                      O0962  2   58 
       130.       4.94      1.202      0.053                      O0962  2   59 
       130.       4.99      1.115      0.079                      O0962  2   60 
       130.       5.04      1.055      0.073                      O0962  2   61 
       130.       5.10      1.134      0.066                      O0962  2   62 
       130.       5.20      0.994      0.053                      O0962  2   63 
       130.       5.24      1.073      0.066                      O0962  2   64 
       130.       5.30      0.933      0.046                      O0962  2   65 
       130.       5.33      1.065      0.079                      O0962  2   66 
       130.       5.37      1.097      0.139                      O0962  2   67 
       130.       5.39      0.972      0.086                      O0962  2   68 
       130.       5.41      0.892      0.066                      O0962  2   69 
       130.       5.44      1.004      0.119                      O0962  2   70 
       130.       5.48      0.865      0.066                      O0962  2   71 
       130.       5.54      0.844      0.046                      O0962  2   72 
       130.       5.59      0.923      0.092                      O0962  2   73 
       130.       5.65      1.041      0.059                      O0962  2   74 
       130.       5.69      0.961      0.053                      O0962  2   75 
       130.       5.74      1.191      0.086                      O0962  2   76 
       130.       5.80      1.059      0.086                      O0962  2   77 
       130.       5.84      1.117      0.046                      O0962  2   78 
       130.       5.90      0.965      0.079                      O0962  2   79 
       130.       5.95      0.905      0.046                      O0962  2   80 
       130.       5.96      1.010      0.046                      O0962  2   81 
       130.       5.97      0.799      0.040                      O0962  2   82 
       130.       5.99      0.673      0.059                      O0962  2   83 
       130.       6.02      1.188      0.073                      O0962  2   84 
       130.       6.04      0.811      0.053                      O0962  2   85 
       130.       6.06      1.339      0.066                      O0962  2   86 
