ENTRY            O2111   20130104                             O050O211100000001 
SUBENT        O2111001   20130104                             O050O211100100001 
BIB                 12         16                                 O211100100002 
TITLE      Neutron orbit sizes from measurements of the Ni-60(t,d)O211100100003 
           reaction in the sub-coulomb regime.                    O211100100004 
AUTHOR     (R.Chapman, J.N.Mo, J.L.Durell, N.H.Merrill)           O211100100005 
INSTITUTE  (2UK MAN)                                              O211100100006 
REFERENCE  (J,JP/G,2,951,1976)                                    O211100100007 
SAMPLE     The self-supporting targets enriched to 99.6% in Ni-60 O211100100008 
           and of approximate thickness 80 mug/cm**2 were         O211100100009 
           manufactured by an electroplating technique.           O211100100010 
DETECTOR   (SIBAR) Reaction products were detected in six 350 mum O211100100011 
           thick silicon surface-barrier detectors.               O211100100012 
FACILITY   (VDG,2UK MAN) 6 MV Van de Graaff                       O211100100013 
METHOD     (SITA)                                                 O211100100014 
ADD-RES    (COMP).DWBA analysis.                                  O211100100015 
EN-SEC     (E-LVL,28-NI-61)                                       O211100100016 
ERR-ANALYS (ERR-S).The errors on the points are statistical only. O211100100017 
HISTORY    (20130104) SB                                          O211100100018 
ENDBIB              16          0                                 O211100100019 
NOCOMMON             0          0                                 O211100100020 
ENDSUBENT           19          0                                 O211100199999 
SUBENT        O2111002   20130104                             O050O211100200001 
BIB                  2          2                                 O211100200002 
REACTION   (28-NI-60(T,D)28-NI-61,PAR,DA)                         O211100200003 
STATUS     (CURVE).Figure 2 of J,JP/G,2,951,1976                  O211100200004 
ENDBIB               2          0                                 O211100200005 
NOCOMMON             0          0                                 O211100200006 
DATA                 5        156                                 O211100200007 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 O211100200008 
MEV        MEV        ADEG       MB/SR      MB/SR                 O211100200009 
        2.5      0.000      86.97  1.067E-02  1.594E-03           O211100200010 
        2.5      0.000      96.67  1.354E-02  2.988E-03           O211100200011 
        2.5      0.000     116.50  2.032E-02  1.294E-03           O211100200012 
        2.5      0.000     133.07  2.961E-02  1.882E-03           O211100200013 
        2.5      0.000     142.81  2.928E-02  2.684E-03           O211100200014 
        2.5      0.000     157.20  3.444E-02  2.326E-03           O211100200015 
        2.5      0.068     131.25  5.711E-03  6.808E-04           O211100200016 
        2.5      0.068     141.54  5.597E-03  4.470E-04           O211100200017 
        2.5      0.068     155.41  6.500E-03  6.216E-04           O211100200018 
        2.5      0.284     130.76  2.496E-02  3.170E-03           O211100200019 
        2.5      0.284     140.93  2.590E-02  1.646E-03           O211100200020 
        2.5      0.284     155.79  2.660E-02  1.910E-03           O211100200021 
        3.0      0.000      56.79  2.939E-02  5.250E-03           O211100200022 
        3.0      0.000      62.22  3.653E-02  5.862E-03           O211100200023 
        3.0      0.000      67.57  3.023E-02  2.649E-03           O211100200024 
        3.0      0.000      73.80  5.445E-02  2.100E-03           O211100200025 
        3.0      0.000      77.31  5.512E-02  2.591E-03           O211100200026 
        3.0      0.000      79.49  5.026E-02  2.252E-03           O211100200027 
        3.0      0.000      83.55  7.344E-02  4.355E-03           O211100200028 
        3.0      0.000      86.13  8.116E-02  3.471E-03           O211100200029 
        3.0      0.000      89.86  7.864E-02  3.363E-03           O211100200030 
        3.0      0.000      92.21  8.883E-02  4.175E-03           O211100200031 
        3.0      0.000     107.36  1.063E-01  6.734E-03           O211100200032 
        3.0      0.000     115.49  1.253E-01  5.881E-03           O211100200033 
        3.0      0.000     123.04  1.324E-01  5.652E-03           O211100200034 
        3.0      0.000     128.62  1.449E-01  7.994E-03           O211100200035 
        3.0      0.000     133.09  1.397E-01  4.194E-03           O211100200036 
