ENTRY            O2454   20200318                             O077O2454  0    1 
SUBENT        O2454001   20200318                             O077O2454  1    1 
BIB                 12         22                                 O2454  1    2 
TITLE      Differential elastic scattering cross sections for     O2454  1    3 
           deuterons on 9Be, at energies and angles suitable for  O2454  1    4 
           elastic backscattering spectroscopy                    O2454  1    5 
AUTHOR     (E.Ntemou,M.Kokkoris,A.Lagoyannis,                     O2454  1    6 
           K.Preketes-Sigalas,P.Tsavalas)                         O2454  1    7 
INSTITUTE  (2GRCTUA,2GRCATH)                                      O2454  1    8 
REFERENCE  (J,NIM/B,459,90,2019)                                  O2454  1    9 
           #doi:10.1016/j.nimb.2019.08.032                        O2454  1   10 
FACILITY   (VDGT,2GRCATH)                                         O2454  1   11 
SAMPLE     A thin 9Be layer deposited, on a high purity,          O2454  1   12 
           ultra-thin self- supporting Si3N4 membrane with a      O2454  1   13 
           nominal thickness of 75 nm.                            O2454  1   14 
METHOD     (BCINT)                                                O2454  1   15 
DETECTOR   (SIBAR) A detection system of five silicon surface     O2454  1   16 
           barrier detectors with thicknesses of 500 um.          O2454  1   17 
MONITOR    (14-SI-0(D,EL)14-SI-0,,DA,,RTH)                        O2454  1   18 
ERR-ANALYS (ERR-S) The systematic uncertainties originating from  O2454  1   19 
           the charge calculation 6% and the target thickness     O2454  1   20 
           determination technique 10% are excluded from the      O2454  1   21 
           calculation of the total estimated uncertainty.        O2454  1   22 
STATUS     (APRVD) Proof-read by E.Ntemou (2020-05-07)            O2454  1   23 
HISTORY    (20200318C) VS                                         O2454  1   24 
ENDBIB              22          0                                 O2454  1   25 
COMMON               1          3                                 O2454  1   26 
EN-NRM                                                            O2454  1   27 
KEV                                                               O2454  1   28 
      1000.                                                       O2454  1   29 
ENDCOMMON            3          0                                 O2454  1   30 
ENDSUBENT           29          0                                 O2454  199999 
SUBENT        O2454002   20200318                             O077O2454  2    1 
BIB                  2          3                                 O2454  2    2 
REACTION   (4-BE-9(D,EL)4-BE-9,,DA)                               O2454  2    3 
STATUS     (TABLE) Data plotted on Fig 4 submitted by E.Ntemou to O2454  2    4 
           IBANDL                                                 O2454  2    5 
ENDBIB               3          0                                 O2454  2    6 
NOCOMMON             0          0                                 O2454  2    7 
DATA                 5        127                                 O2454  2    8 
ANG        EN         EN-ERR     DATA       ERR-S                 O2454  2    9 
     140.00   2177.500      2.200     10.500      0.300           O2454  2   47 
     140.00   2197.500      2.200      9.900      0.200           O2454  2   48 
     150.00   1637.100      2.200     10.200      0.100           O2454  2   49 
     150.00   1657.200      2.200     10.800      0.100           O2454  2   50 
     150.00   1677.200      2.200     10.300      0.200           O2454  2   51 
     150.00   1697.200      2.200     10.400      0.200           O2454  2   52 
     150.00   1717.200      2.200     10.600      0.200           O2454  2   53 
     150.00   1737.200      2.200     10.300      0.200           O2454  2   54 
     150.00   1757.200      2.200     10.300      0.200           O2454  2   55 
     150.00   1777.200      2.200     10.300      0.200           O2454  2   56 
     150.00   1797.300      2.200     10.400      0.200           O2454  2   57 
     150.00   1817.300      2.200     10.000      0.200           O2454  2   58 
     150.00   1837.300      2.200      9.500      0.200           O2454  2   59 
     150.00   1857.300      2.200      9.200      0.200           O2454  2   60 
     150.00   1877.300      2.200      9.100      0.300           O2454  2   61 
     150.00   1897.300      2.200      9.200      0.200           O2454  2   62 
     150.00   1917.300      2.200      8.300      0.200           O2454  2   63 
     150.00   1937.300      2.200      8.800      0.200           O2454  2   64 
     150.00   1957.300      2.200      8.300      0.200           O2454  2   65 
     150.00   1977.400      2.200      8.100      0.200           O2454  2   66 
     150.00   1997.400      2.200      8.600      0.300           O2454  2   67 
     150.00   2017.400      2.200      7.800      0.200           O2454  2   68 
     150.00   2037.400      2.200      8.700      0.300           O2454  2   69 
     150.00   2057.400      2.200      8.000      0.200           O2454  2   70 
     150.00   2077.400      2.200      7.800      0.300           O2454  2   71 
     150.00   2097.400      2.200      7.900      0.200           O2454  2   72 
     150.00   2117.400      2.200      7.800      0.200           O2454  2   73 
     150.00   2137.400      2.200      7.900      0.200           O2454  2   74 
     150.00   2157.500      2.200      7.600      0.200           O2454  2   75 
     150.00   2177.500      2.200      7.500      0.200           O2454  2   76 
     150.00   2197.500      2.200      7.600      0.200           O2454  2   77 
     160.00   1657.200      2.200     10.000      0.200           O2454  2   78 
     160.00   1677.200      2.200     10.100      0.300           O2454  2   79 
     160.00   1697.200      2.200      9.700      0.300           O2454  2   80 
     160.00   1717.200      2.200      9.400      0.200           O2454  2   81 
     160.00   1737.200      2.200      9.800      0.300           O2454  2   82 
     160.00   1757.200      2.200      9.500      0.300           O2454  2   83 
     160.00   1777.200      2.200      9.400      0.200           O2454  2   84 
     160.00   1797.300      2.200      9.100      0.300           O2454  2   85 
     160.00   1817.300      2.200      8.900      0.200           O2454  2   86 
     160.00   1837.300      2.200      8.800      0.200           O2454  2   87 
     160.00   1857.300      2.200      8.200      0.200           O2454  2   88 
     160.00   1877.300      2.200      8.500      0.300           O2454  2   89 
     160.00   1897.300      2.200      8.100      0.200           O2454  2   90 
     160.00   1917.300      2.200      8.000      0.300           O2454  2   91 
     160.00   1937.300      2.200      8.300      0.300           O2454  2   92 
     160.00   1957.300      2.200      7.400      0.200           O2454  2   93 
     160.00   1977.400      2.200      7.700      0.200           O2454  2   94 
     160.00   1997.400      2.200      8.100      0.300           O2454  2   95 
     160.00   2017.400      2.200      7.500      0.200           O2454  2   96 
     160.00   2037.400      2.200      7.200      0.300           O2454  2   97 
     160.00   2057.400      2.200      7.400      0.300           O2454  2   98 
     160.00   2077.400      2.200      7.500      0.200           O2454  2   99 
     160.00   2097.400      2.200      6.800      0.200           O2454  2  100 
     160.00   2117.400      2.200      7.100      0.300           O2454  2  101 
     160.00   2137.400      2.200      6.900      0.200           O2454  2  102 
     160.00   2157.500      2.200      7.100      0.200           O2454  2  103 
     160.00   2177.500      2.200      7.000      0.200           O2454  2  104 
     160.00   2197.500      2.200      7.100      0.200           O2454  2  105 
     170.00   1577.100      2.200      8.900      0.300           O2454  2  106 
     170.00   1597.100      2.200      9.100      0.300           O2454  2  107 
     170.00   1617.100      2.200      9.400      0.300           O2454  2  108 
     170.00   1637.100      2.200      9.500      0.300           O2454  2  109 
     170.00   1657.200      2.200      9.300      0.300           O2454  2  110 
     170.00   1677.200      2.200      8.400      0.300           O2454  2  111 
     170.00   1697.200      2.200      9.100      0.300           O2454  2  112 
     170.00   1717.200      2.200      9.100      0.300           O2454  2  113 
     170.00   1737.200      2.200      8.600      0.300           O2454  2  114 
     170.00   1757.200      2.200      8.700      0.300           O2454  2  115 
     170.00   1777.200      2.200      8.700      0.300           O2454  2  116 
     170.00   1797.300      2.200      8.900      0.300           O2454  2  117 
     170.00   1817.300      2.200      8.200      0.300           O2454  2  118 
     170.00   1837.300      2.200      8.600      0.300           O2454  2  119 
     170.00   1857.300      2.200      7.800      0.300           O2454  2  120 
     170.00   1877.300      2.200      8.000      0.400           O2454  2  121 
     170.00   1897.300      2.200      7.500      0.300           O2454  2  122 
