ENTRY            O1935   20120203                             O047O193500000001 
SUBENT        O1935001   20120203                             O047O193500100001 
BIB                 12         17                                 O193500100002 
TITLE      Tl-207 states excited in the (t,a) reaction on Pb-208  O193500100003 
AUTHOR     (S.Hinds, R.Middleton, J.H.Bjerregaad, O.Hansen,       O193500100004 
           O.Nathan)                                              O193500100005 
INSTITUTE  (2UK ALD)                                              O193500100006 
           (2DENCOP)                                              O193500100007 
REFERENCE  (J,PL,17,302,1965)                                     O193500100008 
SAMPLE     A lead target,thickness of approximately 70 mug/cm**2, O193500100009 
           enriched to 99% in Pb-208, was used.                   O193500100010 
DETECTOR   (MAGSP) the 24 gap heavy-particle magnetic spectrographO193500100011 
           (PLATE)                                                O193500100012 
FACILITY   (VDGT,2UK ALD)                                         O193500100013 
METHOD     (SITA)                                                 O193500100014 
ADD-RES    (COMP).The weak coupling model.                        O193500100015 
STATUS     (CURVE).By CAJAD-fig.2,3 of J,PL,17,302,1965           O193500100016 
ERR-ANALYS (DATA-ERR).The uncertainty is reported by authors on   O193500100017 
            figures.                                              O193500100018 
HISTORY    (20120203C) SB                                         O193500100019 
ENDBIB              17          0                                 O193500100020 
NOCOMMON             0          0                                 O193500100021 
ENDSUBENT           20          0                                 O193500199999 
SUBENT        O1935002   20120203                             O047O193500200001 
BIB                  2          2                                 O193500200002 
REACTION   (82-PB-208(T,A)81-TL-207,PAR,DA,,REL)                  O193500200003 
EN-SEC     (E-EXC,81-TL-207)                                      O193500200004 
ENDBIB               2          0                                 O193500200005 
NOCOMMON             0          0                                 O193500200006 
DATA                 5        182                                 O193500200007 
EN         E-EXC      ANG-CM     DATA-CM    DATA-ERR              O193500200008 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             O193500200009 
       12.0      0.000      19.50      0.190      0.090           O193500200010 
       12.0      0.000      27.68      0.353      0.066           O193500200011 
       12.0      0.000      34.42      0.189      0.055           O193500200012 
       12.0      0.000      42.11      0.130      0.058           O193500200013 
       12.0      0.000      49.42      0.975      0.070           O193500200014 
       12.0      0.000      57.64      1.453      0.070           O193500200015 
       12.0      0.000      65.81      1.449      0.078           O193500200016 
       12.0      0.000      72.77      1.912      0.058           O193500200017 
       12.0      0.000      80.71      2.718      0.066           O193500200018 
       12.0      0.000      87.59      2.476      0.086           O193500200019 
       12.0      0.000      92.89      2.117      0.070           O193500200020 
       12.0      0.000     100.77      2.292      0.082           O193500200021 
       12.0      0.000     107.99      2.299      0.074           O193500200022 
       12.0      0.000     115.82      2.077      0.082           O193500200023 
       12.0      0.000     123.16      1.706      0.090           O193500200024 
       12.0      0.000     129.90      1.511      0.074           O193500200025 
       12.0      0.000     137.75      1.472      0.062           O193500200026 
       12.0      0.000     144.78      1.159      0.074           O193500200027 
       12.0      0.000     152.62      0.964      0.070           O193500200028 
       12.0      0.000     159.69      1.034      0.082           O193500200029 
       12.0      0.000     167.69      0.881      0.074           O193500200030 
       12.0      0.000     174.61      0.978      0.066           O193500200031 
       12.0      0.350      19.94      0.385      0.077           O193500200032 
       12.0      0.350      27.46      0.174      0.082           O193500200033 
       12.0      0.350      34.71      0.306      0.092           O193500200034 
       12.0      0.350      42.98      0.621      0.092           O193500200035 
       12.0      0.350      50.27      1.008      0.077           O193500200036 
       12.0      0.350      58.53      1.272      0.097           O193500200037 
       12.0      0.350      66.57      2.175      0.071           O193500200038 
       12.0      0.350      73.56      2.685      0.066           O193500200039 
       12.0      0.350      81.83      3.036      0.118           O193500200040 
       12.0      0.350      94.17      3.146      0.092           O193500200041 
       12.0      0.350     102.02      2.966      0.097           O193500200042 
       12.0      0.350     109.55      2.806      0.087           O193500200043 
       12.0      0.350     117.52      2.412      0.077           O193500200044 
