ENTRY            O0511   20080402                             O036O051100000001 
SUBENT        O0511001   20080402                             O036O051100100001 
BIB                 13         35                                 O051100100002 
TITLE      Continuum protons from the inclusive reaction          O051100100003 
           Au-197(p,p') at incident energies between 100 and      O051100100004 
            200 MeV.                                              O051100100005 
AUTHOR     (A.A.Cowley, S.V.Fortsch, J.J.Lawrie, D.M.Whittal,     O051100100006 
           F.D.Smit, J.V.Pilcher)                                 O051100100007 
INSTITUTE  (3SAFNAC)                                              O051100100008 
REFERENCE  (J,ZP/A,336,189,1990)                                  O051100100009 
           (J,PR/C,48,743,1993)                                   O051100100010 
           (J,EUL,13,37,1990)                                     O051100100011 
HISTORY    (19990323C)                                            O051100100012 
           (19990516U) Last checking has been done.               O051100100013 
           (19991117A) Date is corrected                          O051100100014 
           (20080402A) New references was added as reported       O051100100015 
            S.Dunaeva.                                            O051100100016 
REL-REF    (R,,J.V.PILCHER+,J,PR/C,40,1937,1989).Details of       O051100100017 
           experiments.                                           O051100100018 
SAMPLE     A high purity (99.9%) gold foil of thickness 4.02+-    O051100100019 
            4.02+-0.10 mg/cm**2,with a uniformity of better than  O051100100020 
           0.5%/mm, were used as target.                          O051100100021 
ADD-RES    (COMP).The phenomenological parametrization of Kalbach.O051100100022 
DETECTOR   (TELES).The detector telescope consisted of a 1000 mum O051100100023 
           Si(delta-E) detector, followed by a 75*125 mm          O051100100024 
           NaI(E) detector. Correction for reaction loss from the O051100100025 
           NaI detector were performed on the delta-E versus      O051100100026 
           E-spectra.                                             O051100100027 
FACILITY   (CYCLO,3SAFNAC)                                        O051100100028 
METHOD     (SITA)                                                 O051100100029 
           (EDE)                                                  O051100100030 
ERR-ANALYS (ERR-1).A systematic error in the cross section        O051100100031 
           measurements.                                          O051100100032 
           (ERR-2).A relative uncertainty in the cross section    O051100100033 
           measurements.                                          O051100100034 
           (EN-ERR).The uncertainty is reported by authors.       O051100100035 
           Less than 0.5 MeV.                                     O051100100036 
STATUS     (TABLE) From A.A. Cowley.                              O051100100037 
ENDBIB              35          0                                 O051100100038 
COMMON               3          3                                 O051100100039 
EN-ERR     ERR-1      ERR-2                                       O051100100040 
MEV        PER-CENT   PER-CENT                                    O051100100041 
        0.5        10.         8.                                 O051100100042 
ENDCOMMON            3          0                                 O051100100043 
ENDSUBENT           42          0                                 O051100199999 
SUBENT        O0511002   19991117                             0000O051100200001 
BIB                  4          4                                 O051100200002 
REACTION   (79-AU-197(P,INL)79-AU-197,EM,DA/DE)                   O051100200003 
EN-SEC     (E,P)                                                  O051100200004 
PART-DET   (P)                                                    O051100200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O051100200006 
ENDBIB               4          0                                 O051100200007 
NOCOMMON             0          0                                 O051100200008 
DATA                 5        424                                 O051100200009 
EN         ANG        E          DATA       ERR-T                 O051100200010 
       100.        90.        50.     0.3222    0.00976           O051100200063 
       100.        90.        60.    0.16761    0.00704           O051100200064 
       100.        90.        70.    0.07626    0.00475           O051100200065 
       100.        90.        80.    0.02808    0.00288           O051100200066 
       100.       120.        40.    0.21734    0.00779           O051100200067 
       100.       120.        50.    0.09179    0.00506           O051100200068 
       100.       120.        60.    0.03962    0.00332           O051100200069 
       100.       120.        70.    0.01144    0.00179           O051100200070 
       100.       120.        80.    0.00419    0.00108           O051100200071 
       120.        15.        40.    3.63667    0.07396           O051100200072 
       120.        15.        60.    3.93898    0.07697           O051100200073 
       120.        15.        80.     3.9465    0.08008           O051100200074 
       120.        15.        90.     3.9841    0.07741           O051100200075 
       120.        15.       100.    4.43379    0.08311           O051100200076 
       120.        15.       110.    5.50464    0.09483           O051100200077 
       120.        20.        40.    3.58298    0.06072           O051100200078 
       120.        20.        60.    3.84023    0.06286           O051100200079 
       120.        20.        80.    3.94622    0.06372           O051100200080 
       120.        20.        90.    3.67765    0.06152           O051100200081 
       120.        20.       100.    3.72395     0.0619           O051100200082 
       120.        20.       110.    3.36071    0.05881           O051100200083 
       120.        25.        40.    2.89414    0.05415           O051100200084 
       120.        25.        60.    3.20007    0.05694           O051100200085 
       120.        25.        80.     3.3662    0.05839           O051100200086 
       120.        25.        90.    3.19298    0.05687           O051100200087 
       120.        25.       100.    3.01874     0.0553           O051100200088 
       120.        25.       110.    2.64596    0.05177           O051100200089 
       120.        30.        40.    2.84846    0.05795           O051100200090 
       120.        30.        60.    2.97933    0.05927           O051100200091 
       120.        30.        80.    2.92864    0.05876           O051100200092 
       120.        30.        90.     2.7341    0.05678           O051100200093 
       120.        30.       100.     2.3132    0.05222           O051100200094 
       120.        30.       110.    1.96775    0.04817           O051100200095 
       120.        35.        40.    2.61438    0.05006           O051100200096 
       120.        35.        60.    2.64601    0.05037           O051100200097 
       120.        35.        80.    2.45811    0.04854           O051100200098 
       120.        35.        90.    2.13982    0.04529           O051100200099 
       120.        35.       100.    1.91165    0.04281           O051100200100 
       120.        35.       110.    1.39779    0.03661           O051100200101 
       120.        40.        40.    2.44761    0.03857           O051100200102 
       120.        40.        60.    2.44396    0.03854           O051100200103 
       120.        40.        80.    2.09752    0.03571           O051100200104 
       120.        40.        90.     1.7219    0.03235           O051100200105 
       120.        40.       100.    1.37849    0.02895           O051100200106 
       120.        40.       110.    0.97856    0.02439           O051100200107 
       120.        45.        40.     2.3239    0.04978           O051100200108 
       120.        45.        60.     2.1074    0.04741           O051100200109 
       120.        45.        80.    1.75653    0.04328           O051100200110 
       120.        45.        90.    1.29473    0.03716           O051100200111 
       120.        45.       100.    1.01957    0.03298           O051100200112 
       120.        45.       110.    0.70282    0.02738           O051100200113 
       120.        50.        40.    2.06994    0.02857           O051100200114 
       120.        50.        60.    1.79243    0.02658           O051100200115 
       120.        50.        80.    1.31978    0.02281           O051100200116 
       120.        50.        90.    1.01349    0.01999           O051100200117 
       120.        50.       100.    0.73913    0.01707           O051100200118 
       120.        50.       110.    0.49275    0.01394           O051100200119 
       120.        55.        40.    1.86172    0.02776           O051100200120 
       120.        55.        60.    1.48259    0.02477           O051100200121 
       120.        55.        80.    1.01157    0.02046           O051100200122 
       120.        55.        90.    0.75578    0.01769           O051100200123 
       120.        55.       100.    0.52234    0.02941           O051100200124 
       120.        55.       110.    0.28062    0.01078           O051100200125 
       120.        60.        40.    1.74247    0.02483           O051100200126 
       120.        60.        60.    1.23229    0.02088           O051100200127 
       120.        60.        80.    0.78544    0.01667           O051100200128 
       120.        60.        90.    0.51301    0.01347           O051100200129 
       120.        60.       100.     0.3446    0.01104           O051100200130 
       120.        60.       110.    0.16629    0.00767           O051100200131 
       120.        65.        40.    1.54886    0.02317           O051100200132 
       120.        65.        60.    1.04851    0.01906           O051100200133 
       120.        65.        80.    0.55301    0.01384           O051100200134 
       120.        65.        90.    0.33403    0.01076           O051100200135 
       120.        65.       100.    0.18399    0.01597           O051100200136 
       120.        65.       110.    0.07103    0.00496           O051100200137 
       120.        70.        40.    1.32607    0.01784           O051100200138 
       120.        70.        60.    0.83459    0.01416           O051100200139 
       120.        70.        80.    0.40385    0.00985           O051100200140 
       120.        70.        90.    0.21897    0.00725           O051100200141 
       120.        70.       100.    0.10708    0.00507           O051100200142 
       120.        70.       110.    0.03361    0.00284           O051100200143 
       120.        80.        40.    0.99809    0.01351           O051100200144 
       120.        80.        60.    0.51531    0.00971           O051100200145 
       120.        80.        80.    0.17677    0.00568           O051100200146 
       120.        80.        90.    0.07897     0.0038           O051100200147 
       120.        80.       100.    0.02888     0.0023           O051100200148 
       120.        80.       110.    0.00567    0.00102           O051100200149 
       120.        90.        40.    0.73028    0.01092           O051100200150 
       120.        90.        60.    0.29443    0.00693           O051100200151 
       120.        90.        80.     0.0841    0.00371           O051100200152 
       120.        90.        90.    0.03707    0.00246           O051100200153 
       120.        90.       100.    0.01143    0.00273           O051100200154 
       120.        90.       110.    0.00212    0.00059           O051100200155 
       120.       100.        40.    0.53683    0.00829           O051100200156 
       120.       100.        60.    0.18918    0.00492           O051100200157 
       120.       100.        80.     0.0457    0.00242           O051100200158 
       120.       100.        90.    0.01574    0.00142           O051100200159 
       120.       100.       100.    0.00627     0.0009           O051100200160 
       120.       100.       110.    0.00102    0.00036           O051100200161 
       120.       110.        40.    0.39855    0.00732           O051100200162 
       120.       110.        60.    0.12424    0.00409           O051100200163 
       120.       110.        80.    0.02732    0.00192           O051100200164 
       120.       110.        90.    0.00727    0.00099           O051100200165 
       120.       110.       100.    0.00215    0.00054           O051100200166 
