ENTRY            O2356   20180211                             O064O2356  0    1 
SUBENT        O2356001   20180211                             O064O2356  1    1 
BIB                 11         42                                 O2356  1    2 
TITLE      Spectroscopy of 46Ar by the (t,p) two-neutron          O2356  1    3 
           transfer reaction                                      O2356  1    4 
AUTHOR     (K.Nowak,K.Wimmer,S.Hellgartner,D.Mucher,V.Bildstein,  O2356  1    5 
           J.Diriken,J.Elseviers,L.P.Gaffney,R.Gernhauser,        O2356  1    6 
           J.Iwanicki,J.G.Johansen,M.Huyse,J.Konki,T.Kroll,       O2356  1    7 
           R.Krucken,R.Lutter,R.Orlandi,J.Pakarinen,R.Raabe,      O2356  1    8 
           P.Reiter,T.Roger,G.Schrieder,M.Seidlitz,O.Sorlin,      O2356  1    9 
           P.Van Duppen,N.Warr,H.De Witte,M.Zielinska)            O2356  1   10 
INSTITUTE  (2GERMUN,2JPNTOK,1CANGUE,2BLGLEU,2UK LVP,2DENAAU,      O2356  1   11 
           2ZZZCER,2SF HLS,2SF JYV,2GERTHD,1CANUBC,2GERMUU,       O2356  1   12 
           2GERKLN,2FR GAN,3POLWWA,2SPNIEM)                       O2356  1   13 
REFERENCE  (J,PR/C,93,044335,2016)                                O2356  1   14 
           #doi:10.1103/PhysRevC.93.044335                        O2356  1   15 
FACILITY   (SYNCH,2ZZZCER)                                        O2356  1   16 
SAMPLE     Tritium-loaded titanium foil, with width of 4.5 mm     O2356  1   17 
           and thickness of 0.5 mg/cm**2. The tritium /           O2356  1   18 
           titanium ratio was 1.3:1, corresponding to an          O2356  1   19 
           effective tritium thickness of 36 ug/cm**2.            O2356  1   20 
INC-SOURCE The radioactive 44Ar beam was produced by 1.4-GeV      O2356  1   21 
           protons on an uranium carbide target. The target was   O2356  1   22 
           heated to reduce contamination via CO2. The 44Ar ions  O2356  1   23 
           then were transferred into the FEBIAD ion source to    O2356  1   24 
           achieve high ionization efficiency for 1+ state.       O2356  1   25 
           Afterwards, the ions were accelerated to 30 keV and    O2356  1   26 
           led through the HRS separator. The ions were then      O2356  1   27 
           accumulated in the REX trap for 60 ms, before          O2356  1   28 
           injection into the REX EBIS ion source. Before         O2356  1   29 
           acceleration the ions were separated by their mass to  O2356  1   30 
           charge ratio.                                          O2356  1   31 
DETECTOR   (SISD) T-REX silicon detector array                    O2356  1   32 
           (HPGE) MINIBALL germanium detector array               O2356  1   33 
METHOD     (EDE,EXTB,GSPEC,SITA)The 44Ar(t,p) transfer reaction   O2356  1   34 
           was studied by radioactive beams at REX ISOLDE, The    O2356  1   35 
           44Ar ions were accelerated by the REX LINAC to 2.16    O2356  1   36 
           MeV, and directed to the tritiated titanium target.    O2356  1   37 
           The average beam intensity was 2*10**5 ions/sec. The   O2356  1   38 
           angular distribution of protons from the reaction was  O2356  1   39 
           measured. Doppler corrected gamma spectra were also    O2356  1   40 
           acquired.                                              O2356  1   41 
ADD-RES    (COMP) The experimental results were compared with     O2356  1   42 
           theoretical calculations using the DWBA reaction model.O2356  1   43 
HISTORY    (20180201C)  MPT                                       O2356  1   44 
ENDBIB              42          0                                 O2356  1   45 
COMMON               1          3                                 O2356  1   46 
EN                                                                O2356  1   47 
MEV/A                                                             O2356  1   48 
2.16                                                              O2356  1   49 
ENDCOMMON            3          0                                 O2356  1   50 
ENDSUBENT           49          0                                 O2356  199999 
SUBENT        O2356002   20180211                             O064O2356  2    1 
BIB                  3          4                                 O2356  2    2 
REACTION   ((1-H-3(18-AR-44,P)18-AR-46,PAR,DA,RSD)=               O2356  2    3 
           (18-AR-44(T,P)18-AR-46,PAR,DA))                        O2356  2    4 
STATUS     (TABLE) Data were obtained from Dr. Wimmer.            O2356  2    5 
ERR-ANALYS (DATA-ERR) No detailed error analysis was provided.    O2356  2    6 
ENDBIB               4          0                                 O2356  2    7 
NOCOMMON             0          0                                 O2356  2    8 
DATA                 5         87                                 O2356  2    9 
E-LVL      ANG        ANG-ERR    DATA       DATA-ERR              O2356  2   10 
KEV        ADEG       ADEG       MB/SR      MB/SR                 O2356  2   11 
         0.     134.27       2.42   2.05E-02   1.18E-02           O2356  2   12 
         0.     126.79       2.85   4.29E-03   4.29E-03           O2356  2   13 
         0.     123.82       3.10   8.46E-03   5.98E-03           O2356  2   14 
         0.     120.59       3.39   7.30E-03   5.16E-03           O2356  2   15 
         0.     117.03       3.71   9.50E-03   5.49E-03           O2356  2   16 
         0.     113.16       3.99   2.62E-02   8.73E-03           O2356  2   17 
         0.     109.05       4.33   1.12E-02   4.19E-03           O2356  2   18 
         0.     104.50       4.73   5.23E-03   3.02E-03           O2356  2   19 
         0.      99.60       5.02   1.47E-02   4.91E-03           O2356  2   20 
         0.      94.45       5.27   5.09E-03   2.94E-03           O2356  2   21 
         0.      89.06       5.49   7.05E-03   3.52E-03           O2356  2   22 
         0.      83.48       5.58   2.09E-03   1.57E-03           O2356  2   23 
         0.      50.11       4.24   1.26E-01   1.70E-02           O2356  2   24 
         0.      45.88       4.01   1.62E-01   2.08E-02           O2356  2   25 
         0.      42.09       3.58   1.62E-01   2.10E-02           O2356  2   26 
         0.      38.71       3.23   1.32E-01   1.91E-02           O2356  2   27 
         0.      35.64       2.90   8.73E-02   1.65E-02           O2356  2   28 
         0.      32.92       2.55   1.23E-01   2.03E-02           O2356  2   29 
         0.      30.55       2.25   6.89E-02   1.67E-02           O2356  2   30 
         0.      28.43       2.01   1.70E-02   8.52E-03           O2356  2   31 
         0.      26.53       1.79   3.49E-02   1.32E-02           O2356  2   32 
         0.      24.84       1.60   2.34E-02   1.17E-02           O2356  2   33 
         0.      23.34       1.43   2.65E-02   1.32E-02           O2356  2   34 
         0.      21.98       1.29   3.05E-02   1.52E-02           O2356  2   35 
         0.      20.76       1.15   2.86E-02   1.65E-02           O2356  2   36 
         0.      19.68       1.14   8.29E-02   2.94E-02           O2356  2   37 
         0.      18.48       1.34   1.14E-01   3.45E-02           O2356  2   38 
         0.      17.00       1.48   5.86E-02   2.54E-02           O2356  2   39 
      1556.     134.27       2.42   5.01E-03   5.01E-03           O2356  2   40 
      1556.     129.52       2.60   3.51E-03   3.51E-03           O2356  2   41 
      1556.     126.79       2.85   5.47E-03   3.87E-03           O2356  2   42 
      1556.     123.82       3.10   2.56E-03   2.56E-03           O2356  2   43 
      1556.     117.03       3.71   5.81E-03   3.35E-03           O2356  2   44 
      1556.     113.16       3.99   5.72E-03   3.30E-03           O2356  2   45 
      1556.     109.05       4.33   9.24E-03   3.47E-03           O2356  2   46 
      1556.     104.50       4.73   7.80E-03   3.49E-03           O2356  2   47 
      1556.      99.60       5.02   1.05E-02   3.97E-03           O2356  2   48 
      1556.      94.45       5.27   4.64E-03   2.68E-03           O2356  2   49 
      1556.      89.06       5.49   1.47E-02   4.91E-03           O2356  2   50 
      1556.      83.48       5.58   1.37E-02   3.89E-03           O2356  2   51 
      1556.      50.11       4.24   3.72E-02   9.03E-03           O2356  2   52 
      1556.      45.88       4.01   3.39E-02   9.06E-03           O2356  2   53 
      1556.      42.09       3.58   4.04E-02   1.01E-02           O2356  2   54 
      1556.      38.71       3.23   3.73E-02   9.97E-03           O2356  2   55 
      1556.      35.64       2.90   5.59E-02   1.29E-02           O2356  2   56 
      1556.      32.92       2.55   5.10E-02   1.32E-02           O2356  2   57 
      1556.      30.55       2.25   4.64E-02   1.40E-02           O2356  2   58 
      1556.      28.43       2.01   5.95E-02   1.65E-02           O2356  2   59 
      1556.      26.53       1.79   5.38E-02   1.70E-02           O2356  2   60 
      1556.      24.84       1.60   4.41E-02   1.67E-02           O2356  2   61 
      1556.      23.34       1.43   6.77E-02   2.26E-02           O2356  2   62 
      1556.      21.98       1.29   3.38E-02   1.69E-02           O2356  2   63 
      1556.      20.76       1.15   4.24E-02   2.12E-02           O2356  2   64 
      1556.      19.68       1.14   2.33E-02   1.65E-02           O2356  2   65 
      1556.      18.48       1.34   4.67E-02   2.34E-02           O2356  2   66 
