ENTRY            O2472   20210214                             O083O2472  0    1 
SUBENT        O2472001   20210214                             O083O2472  1    1 
BIB                  9         17                                 O2472  1    2 
TITLE      Resolving the 11B(p,alpha) cross-section               O2472  1    3 
           discrepancies between 0.5 and 3.5 MeV                  O2472  1    4 
AUTHOR     (M.Munch,O.S.Kirsebom,J.A.Swartz,H.O.U.Fynbo)          O2472  1    5 
INSTITUTE  (2DENAAU,2DENRIS)                                      O2472  1    6 
           (1CANCAN) Institute for Big Data Analytics, Dalhousie  O2472  1    7 
           University, Halifax, Canada                            O2472  1    8 
REFERENCE  (J,EPJ/A,56,17,2020)                                   O2472  1    9 
           #doi:10.1140/epja/s10050-019-00016-8                   O2472  1   10 
FACILITY   (ACCEL,2DENAAU)                                        O2472  1   11 
SAMPLE     (6-C-11,ENR=0.99) The boron target was manufactured    O2472  1   12 
           by evaporating 99% enriched 11B onto a thin about 4    O2472  1   13 
           ug/cm2 natural carbon backing. The 11B thickness was   O2472  1   14 
           12.6(12) ug/cm2.                                       O2472  1   15 
DETECTOR   (SISD) Four double sided silicon strip detectors       O2472  1   16 
METHOD     (BCINT)                                                O2472  1   17 
HISTORY    (20200215R) Received from Dr. M.Munch trough IAEA-NDS. O2472  1   18 
           (20210214C) VS                                         O2472  1   19 
ENDBIB              17          0                                 O2472  1   20 
COMMON               1          3                                 O2472  1   21 
E-LVL                                                             O2472  1   22 
MEV                                                               O2472  1   23 
  0.0                                                             O2472  1   24 
ENDCOMMON            3          0                                 O2472  1   25 
ENDSUBENT           24          0                                 O2472  199999 
SUBENT        O2472002   20210214                             O083O2472  2    1 
BIB                  3          3                                 O2472  2    2 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA)                             O2472  2    3 
ERR-ANALYS (ERR-S) Counting statistics uncertainties.             O2472  2    4 
STATUS     (TABLE) Plotted on Fig.4 of Eur.Phys.J.A56(2020)17     O2472  2    5 
ENDBIB               3          0                                 O2472  2    6 
NOCOMMON             0          0 3                               O2472  2    7 
DATA                 5        415                                 O2472  2    8 
EN         ANG-CM     ANG-ERR    DATA-CM    ERR-S                 O2472  2    9 
KEV        ADEG       ADEG       MB/SR      MB/SR                 O2472  2   10 
       900.       30.0       10.0     0.3742     0.0266           O2472  2   11 
       900.       67.5        5.0     0.6976     0.0680           O2472  2   12 
       900.       72.5        5.0     0.7418     0.0694           O2472  2   13 
       900.       77.5        5.0     0.6611     0.0647           O2472  2   14 
       900.       82.5        5.0     0.7007     0.0673           O2472  2   15 
       900.       87.5        5.0     0.6291     0.0967           O2472  2   16 
       900.       92.5        5.0     0.4388     0.2098           O2472  2   17 
       900.       97.5        5.0     0.5092     0.0492           O2472  2   18 
       900.      102.5        5.0     0.3970     0.0424           O2472  2   19 
       900.      107.5        5.0     0.4496     0.0479           O2472  2   20 
       900.      112.5        5.0     0.3606     0.0413           O2472  2   21 
       900.      117.5        5.0     0.3413     0.0407           O2472  2   22 
       900.      122.5        5.0     0.5108     0.0641           O2472  2   23 
       900.      147.5        5.0     0.2176     0.0244           O2472  2   24 
       900.      152.5        5.0     0.2016     0.0215           O2472  2   25 
       900.      157.5        5.0     0.1868     0.0224           O2472  2   26 
       900.      162.5        5.0     0.1648     0.0239           O2472  2   27 
       900.      167.5        5.0     0.1920     0.0571           O2472  2   28 
       950.       30.0       10.0     0.3951     0.0271           O2472  2   29 
       950.       67.5        5.0     0.6956     0.0661           O2472  2   30 
       950.       72.5        5.0     0.7623     0.0706           O2472  2   31 
       950.       77.5        5.0     0.7194     0.0684           O2472  2   32 
       950.       82.5        5.0     0.7006     0.0652           O2472  2   33 
       950.       87.5        5.0     0.6204     0.0913           O2472  2   34 
       950.       92.5        5.0     0.6157     0.3387           O2472  2   35 
       950.       97.5        5.0     0.4830     0.0463           O2472  2   36 
       950.      102.5        5.0     0.4760     0.0459           O2472  2   37 
       950.      107.5        5.0     0.5014     0.0495           O2472  2   38 
       950.      112.5        5.0     0.4902     0.0481           O2472  2   39 
       950.      117.5        5.0     0.4030     0.0436           O2472  2   40 
       950.      122.5        5.0     0.3878     0.0528           O2472  2   41 
       950.      142.5        5.0     0.3250     0.3425           O2472  2   42 
       950.      147.5        5.0     0.1946     0.0229           O2472  2   43 
