ENTRY            O2061   20120613                             O050O206100000001 
SUBENT        O2061001   20120613                             O050O206100100001 
BIB                 11         32                                 O206100100002 
TITLE      Differential cross sections measurements for the       O206100100003 
           Li-7(p,p0)Li-7, Li-7(p,p1)Li-7, Li-7(p,a0)He-4,        O206100100004 
           F-19(p,p0)F-19, F-19(p,a0)O-16 and F-19(p,a1,2)O-16    O206100100005 
           reactions.                                             O206100100006 
AUTHOR     (V.Paneta, A.Kafkarkou, M.Kokkoris, A.Lagoyannis)      O206100100007 
INSTITUTE  (2GRCATH)                                              O206100100008 
           (2GRCTUA)                                              O206100100009 
REFERENCE  (J,NIM/B,288,53,2012)                                  O206100100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV TN11 Tandem Accelerator of       O206100100011 
           N.C.S.R. 'Demokritos', Athens, Greece                  O206100100012 
SAMPLE     The target consisted of a thin carbon foil of          O206100100013 
           52+-2 mug/cm**2 thickness, with a LiF layer of         O206100100014 
            (960+-38)+E+15 at/cm**2 that was evaporated onto the  O206100100015 
           carbon foil and additionally with a thin gold layer of O206100100016 
           4.4+-0.3 mug/cm**2 that was evaporated onto the LiF    O206100100017 
           layer for protection against wear and humidity         O206100100018 
           absorption.                                            O206100100019 
           For the validation of the obtained differential cross  O206100100020 
           sections, benchmarking experiments were performed,     O206100100021 
           using thick, commercial and mirror-polished BaF(2) and O206100100022 
           LiF targets. For beam normalization purposes Au was    O206100100023 
           evaporated onto the LiF thick target                   O206100100024 
DETECTOR   (SIBAR) The detection system consisted of four Si      O206100100025 
           surface barrier detectors, thickness of 1000 mum,      O206100100026 
           (HPGE) a HPGe detector of 80% relative efficiency      O206100100027 
MONITOR    (13-AL-27(P,G)14-SI-28,,SIG) for the energy of the     O206100100028 
           protons entering the scattering chamber                O206100100029 
ERR-ANALYS (ERR-1).The error in target thickness.                 O206100100030 
STATUS     (TABLE).Table data plus E-LVL values were received fromO206100100031 
           Dr.V.Paneta 16.10.2012                                 O206100100032 
           (APRVD).By Dr.V.Paneta                                 O206100100033 
HISTORY    (20121016C) SB                                         O206100100034 
ENDBIB              32          0                                 O206100100035 
COMMON               1          3                                 O206100100036 
ERR-1                                                             O206100100037 
PER-CENT                                                          O206100100038 
4.                                                                O206100100039 
ENDCOMMON            3          0                                 O206100100040 
ENDSUBENT           39          0                                 O206100199999 
SUBENT        O2061002   20121021                             O050O206100200001 
BIB                  2          6                                 O206100200002 
REACTION   (3-LI-7(P,EL)3-LI-7,,DA)                               O206100200003 
ERR-ANALYS (ERR-S,1.0,4.0).Statistical errors for the differentialO206100200004 
           cross sections, varying between 1-4% for elastic       O206100200005 
           scattering, included the uncertainties in peak         O206100200006 
           integration (including counting statistics and         O206100200007 
           background subtraction)                                O206100200008 
ENDBIB               6          0                                 O206100200009 
NOCOMMON             0          0                                 O206100200010 
DATA                 5        237                                 O206100200011 
ANG        EN         EN-ERR     DATA       DATA-ERR              O206100200012 
ADEG       KEV        KEV        MB/SR      MB/SR                 O206100200013 
140.       1498.000   3.000      31.550     0.770                 O206100200014 
140.       1598.000   3.000      32.260     0.620                 O206100200015 
140.       1698.000   3.000      32.320     0.580                 O206100200016 
140.       1798.000   3.000      28.970     0.620                 O206100200017 
140.       1848.000   3.000      39.870     0.600                 O206100200018 
140.       1873.000   3.000      35.680     0.520                 O206100200019 
140.       1898.000   3.000      39.450     0.540                 O206100200020 
140.       1923.000   3.000      51.370     0.650                 O206100200021 
140.       1948.000   3.000      64.650     0.750                 O206100200022 
140.       1973.000   3.000      77.420     0.850                 O206100200023 
140.       1998.000   3.000      84.760     0.920                 O206100200024 
140.       2023.000   3.000      84.070     0.890                 O206100200025 
140.       2048.000   3.000      86.270     0.910                 O206100200026 
140.       2073.000   3.000      81.610     0.870                 O206100200027 
140.       2098.000   3.000      73.220     0.790                 O206100200028 
140.       2123.000   3.000      60.850     0.710                 O206100200029 
140.       2148.000   3.000      48.900     0.610                 O206100200030 
140.       2173.000   3.000      35.380     0.500                 O206100200031 
140.       2198.000   4.000      25.100     0.420                 O206100200032 
140.       2298.000   4.000      52.120     0.650                 O206100200033 
140.       2398.000   4.000      68.870     0.860                 O206100200034 
140.       2499.000   4.000      68.900     0.770                 O206100200035 
140.       2599.000   4.000      67.290     0.760                 O206100200036 
140.       2699.000   4.000      66.390     0.750                 O206100200037 
140.       2799.000   4.000      63.700     0.730                 O206100200038 
140.       2899.000   4.000      66.500     0.750                 O206100200039 
140.       2999.000   4.000      69.050     0.750                 O206100200040 
140.       3099.000   4.000      71.350     0.780                 O206100200041 
140.       3199.000   5.000      73.610     0.800                 O206100200042 
140.       3299.000   5.000      74.930     0.800                 O206100200043 
140.       3399.000   5.000      77.010     0.750                 O206100200044 
140.       3499.000   5.000      78.570     0.760                 O206100200045 
140.       3599.000   5.000      80.130     0.770                 O206100200046 
140.       3699.000   5.000      81.580     0.760                 O206100200047 
140.       3799.000   6.000      82.600     0.760                 O206100200048 
140.       3899.000   6.000      84.520     0.770                 O206100200049 
140.       3999.000   6.000      86.160     0.790                 O206100200050 
140.       4099.000   6.000      81.310     0.550                 O206100200051 
140.       4199.000   6.000      81.150     0.550                 O206100200052 
140.       4299.000   6.000      81.600     0.550                 O206100200053 
140.       4399.000   7.000      79.840     0.540                 O206100200054 
140.       4499.000   7.000      76.810     0.520                 O206100200055 
140.       4599.000   7.000      71.800     0.500                 O206100200056 
140.       4699.000   7.000      65.150     0.460                 O206100200057 
140.       4799.000   7.000      58.570     0.430                 O206100200058 
140.       4899.000   7.000      52.300     0.390                 O206100200059 
140.       4999.000   8.000      47.110     0.370                 O206100200060 
140.       5299.000   8.000      38.450     0.310                 O206100200061 
140.       5399.000   8.000      36.250     0.310                 O206100200062 
140.       5499.000   8.000      35.490     0.300                 O206100200063 
140.       5599.000   9.000      34.570     0.370                 O206100200064 
