ENTRY            O0482   20000426                             0000O048200000001 
SUBENT        O0482001   20000426                             0000O048200100001 
BIB                 15         37                                 O048200100002 
TITLE      Inelastic Scattering of 50 MeV Protons by Fe-54.       O048200100003 
AUTHOR     (G.S.MANI)                                             O048200100004 
INSTITUTE  (2UK MAN)                                              O048200100005 
REFERENCE  (J,NP/A,157,471,1970)                                  O048200100006 
REL-REF    (R,O0056001,J.A.FANNON+,J,NP/A,97,263,1967) The data   O048200100007 
           were used to correct the observed spectra for          O048200100008 
           the carbon and oxygen impurities thought to be in      O048200100009 
           the targets.                                           O048200100010 
HISTORY    (19980929C)                                            O048200100011 
           (19981029U) Last checking has been done.               O048200100012 
           (20000426A) DATE is corrected                          O048200100013 
SAMPLE     Self-supporting foils Fe-54, thickness 2 Mg/Cm**2,     O048200100014 
           enriched 99%, were used.                               O048200100015 
ADD-RES    (COMP).DWBA Analysis.                                  O048200100016 
           (P-SPC)                                                O048200100017 
           (STRUC) Energies, Spins and Parities of Investigated   O048200100018 
           Levels.                                                O048200100019 
           (POT)                                                  O048200100020 
           Deformation Parameter.                                 O048200100021 
DETECTOR   (MAGSP).An Acoustic Spark Chamber (S/C) was used to    O048200100022 
           measure the position of the particle.                  O048200100023 
           (SCIN). Two Thin Plastic Scintillator, thickness       O048200100024 
           254 Mumeter to trigger off Spark Chamber.              O048200100025 
FACILITY   (LINAC,2UK NIN)                                        O048200100026 
INC-SPECT  - En-Rsl - Overall Resolution of Spectrometer.         O048200100027 
METHOD     (SITA)                                                 O048200100028 
           (BCINT).The Mean Beam Current at the end of the        O048200100029 
           Accelerator was 2 MuA.                                 O048200100030 
CORRECTION  A Correction was made for the number of coincidences  O048200100031 
           due to neutrons. This correction was less than 3% at   O048200100032 
           all angles.                                            O048200100033 
           Correction on Carbon and Oxygen admixtures in Target   O048200100034 
           was made also.                                         O048200100035 
ERR-ANALYS (ANG-ERR).Data-Point Reader Uncertainty.               O048200100036 
           (ERR-T).The Uncertainties are Shown on Figures.        O048200100037 
           (E-LVL-ERR) From Spectrometer Resolution.              O048200100038 
STATUS     (CURVE).By CAJAD.                                      O048200100039 
ENDBIB              37          0                                 O048200100040 
COMMON               2          3                                 O048200100041 
EN         EN-RSL                                                 O048200100042 
MEV        PER-CENT                                               O048200100043 
      49.35       0.15                                            O048200100044 
ENDCOMMON            3          0                                 O048200100045 
ENDSUBENT           44          0                                 O048200199999 
SUBENT        O0482002   20000426                             0000O048200200001 
BIB                  3         13                                 O048200200002 
REACTION   (26-FE-54(P,INL)26-FE-54,PAR,DA)                       O048200200003 
EN-SEC     (E-LVL,26-FE-54)                                       O048200200004 
LEVEL-PROP (26-FE-54,E-LVL=1.413,SPIN=2.,PARITY=+1.)              O048200200005 
           (26-FE-54,E-LVL=2.562,SPIN=4.,PARITY=+1.)              O048200200006 
           (26-FE-54,E-LVL=2.984,SPIN=2.,PARITY=+1.)              O048200200007 
           (26-FE-54,E-LVL=3.182,SPIN=2.,PARITY=+1.)              O048200200008 
           (26-FE-54,E-LVL=3.325,SPIN=4.,PARITY=+1.)              O048200200009 
           (26-FE-54,E-LVL=3.866,SPIN=4.,PARITY=+1.)              O048200200010 
           (26-FE-54,E-LVL=4.072,SPIN=4.,PARITY=+1.)              O048200200011 
           (26-FE-54,E-LVL=4.297,SPIN=4.,PARITY=+1.)              O048200200012 
           (26-FE-54,E-LVL=4.548,SPIN=2.,PARITY=+1.)              O048200200013 
           (26-FE-54,E-LVL=4.630,SPIN=2.,PARITY=+1.)              O048200200014 
           (26-FE-54,E-LVL=4.789,SPIN=3.,PARITY=-1.)              O048200200015 
ENDBIB              13          0                                 O048200200016 
COMMON               1          3                                 O048200200017 
ANG-ERR                                                           O048200200018 
ADEG                                                              O048200200019 
        0.4                                                       O048200200020 
ENDCOMMON            3          0                                 O048200200021 
DATA                 5        323                                 O048200200022 
ANG-CM     E-LVL      DATA       ERR-T      E-LVL-ERR             O048200200023 
ADEG       MEV        MB/SR      PER-CENT   MEV                   O048200200024 
       14.4      3.866       0.89        17.      0.015           O048200200025 
       15.1      4.789       0.18        17.       0.02           O048200200026 
       15.2      4.297       0.31        13.       0.02           O048200200027 
       15.2       4.63      0.196        15.       0.03           O048200200028 
       15.3      3.182       1.38        12.       0.01           O048200200029 
       15.4      3.325       0.55        16.       0.01           O048200200030 
       15.4      4.072      0.127        14.      0.015           O048200200031 
       15.5      4.548      0.173        16.       0.03           O048200200032 
       15.6      1.413        5.6        13.       0.01           O048200200033 
       15.7      2.562       0.47        11.       0.01           O048200200034 
       17.6      3.182       1.12        15.       0.01           O048200200035 
       17.6       4.63       0.39        15.       0.03           O048200200036 
       17.8      3.866       0.99        12.      0.015           O048200200037 
       17.9      3.325       0.67        12.       0.01           O048200200038 
       17.9      4.297       0.53        13.       0.02           O048200200039 
       17.9      4.789       0.21        14.       0.02           O048200200040 
        18.      4.548        0.3        17.       0.03           O048200200041 
       18.2      4.072      0.141        17.      0.015           O048200200042 
       18.3      1.413        7.5        11.       0.01           O048200200043 
       18.7      2.562       0.46         9.       0.01           O048200200044 
        19.      2.984        4.8        13.       0.01           O048200200045 
       20.2      3.866       0.87        16.      0.015           O048200200046 
       20.4      3.182       0.97        11.       0.01           O048200200047 
       20.5      4.789       0.21        19.       0.02           O048200200048 
       20.6      4.548      0.143        15.       0.03           O048200200049 
       20.7      4.072      0.121        16.      0.015           O048200200050 
       20.8      2.984        4.2        14.       0.01           O048200200051 
       20.8      3.325       0.38        16.       0.01           O048200200052 
       20.8      4.297       0.49        10.       0.02           O048200200053 
       20.8       4.63       0.35        17.       0.03           O048200200054 
       20.9      2.562       0.55        18.       0.01           O048200200055 
       21.1      1.413        7.9        12.       0.01           O048200200056 
       22.6      3.182       0.94        12.       0.01           O048200200057 
       22.7      4.548       0.33        18.       0.03           O048200200058 
       22.7       4.63        0.2        20.       0.03           O048200200059 
       22.8      3.866       1.11        14.      0.015           O048200200060 
       22.8      4.297        0.7        13.       0.02           O048200200061 
       22.8      4.789       0.24        13.       0.02           O048200200062 
       22.9      3.325        0.5        16.       0.01           O048200200063 
       22.9      4.072      0.143        16.      0.015           O048200200064 
       23.3      1.413        6.9        12.       0.01           O048200200065 
       23.3      2.984        3.6        11.       0.01           O048200200066 
       23.4      2.562       0.56        14.       0.01           O048200200067 
       24.8      3.182       0.84        11.       0.01           O048200200068 
       24.9      3.866       1.12        11.      0.015           O048200200069 
       25.1       4.63       0.37        19.       0.03           O048200200070 
       25.2      3.325       0.41        12.       0.01           O048200200071 
       25.2      4.297       0.65        14.       0.02           O048200200072 
       25.6      4.548      0.178        15.       0.03           O048200200073 
       25.7      4.789      0.213        10.       0.02           O048200200074 
       25.8      4.072      0.223        13.      0.015           O048200200075 
       25.9      2.562       0.62         8.       0.01           O048200200076 
       26.1      1.413        5.9        12.       0.01           O048200200077 
       26.3      2.984       2.57        11.       0.01           O048200200078 
       27.3      3.866       1.07        15.      0.015           O048200200079 
       27.4      3.182       0.58        14.       0.01           O048200200080 
       27.6       4.63       0.27        19.       0.03           O048200200081 
       27.8      4.072       0.23        13.      0.015           O048200200082 
       27.8      4.789      0.183        16.       0.02           O048200200083 
       27.9      3.325       0.46        13.       0.01           O048200200084 
       27.9      4.548        0.2        15.       0.03           O048200200085 
       28.1      4.297       0.69        13.       0.02           O048200200086 
       28.3      2.562       0.67        12.       0.01           O048200200087 
       28.4      1.413        4.5        16.       0.01           O048200200088 
       28.6      2.984         2.        15.       0.01           O048200200089 
        30.      3.182        0.3        10.       0.01           O048200200090 
        30.      3.866       1.12        13.      0.015           O048200200091 
       30.1      3.325       0.51        12.       0.01           O048200200092 
       30.2      4.548      0.126        15.       0.03           O048200200093 
       30.4       4.63       0.28        18.       0.03           O048200200094 
       30.4      4.789       0.18        11.       0.02           O048200200095 
       30.5      2.984       1.19        11.       0.01           O048200200096 
