EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              O177500200011 
MEV        MEV        ADEG       MB/SR      PER-CENT              O177500200012 
    6.25000    3.37000   99.00000    0.43000    9.00000           O177500200061 
    6.25000    3.37000  106.40000    0.36000    8.00000           O177500200062 
    6.25000    3.37000  114.30000    0.35000    9.00000           O177500200063 
    6.25000    3.37000  120.90000    0.31000   10.00000           O177500200064 
    6.25000    3.37000  128.80000    0.26000    8.00000           O177500200065 
    6.25000    4.11000   24.00000    0.39000   40.00000           O177500200066 
    6.25000    4.11000   31.10000    0.12400   14.00000           O177500200067 
    6.25000    4.11000   38.60000    0.04100   20.00000           O177500200068 
    6.25000    4.11000   46.00000    0.06400   20.00000           O177500200069 
    6.25000    4.11000   53.60000    0.20000   20.00000           O177500200070 
    6.25000    4.11000   69.20000    0.19000   16.00000           O177500200071 
    6.25000    4.11000   84.00000    0.12000   30.00000           O177500200072 
    6.25000    4.11000   91.00000    0.09000   40.00000           O177500200073 
    6.25000    5.18000    0.00000    0.68400                      O177500200074 
    6.25000    5.18000    9.70000    0.59000    5.00000           O177500200075 
    6.25000    5.18000   16.80000    0.27000   19.00000           O177500200076 
    6.25000    5.18000   23.00000    0.20900   14.00000           O177500200077 
    6.25000    5.35000    0.00000    0.65400                      O177500200078 
    6.25000    5.35000    9.40000    0.59000    7.00000           O177500200079 
    6.25000    5.35000   16.10000    0.25000   16.00000           O177500200080 
    6.25000    5.35000   23.40000    0.27000   24.00000           O177500200081 
    6.25000    5.49000    0.00000    1.05000    6.00000           O177500200082 
    6.25000    5.49000   15.60000    0.42000   10.00000           O177500200083 
    6.25000    5.49000   22.60000    0.34000   15.00000           O177500200084 
    7.00000    0.00000    0.00000    0.68000    6.00000           O177500200085 
    7.00000    0.00000    6.70000    0.60700    4.00000           O177500200086 
    7.00000    0.00000   14.50000    0.52900    4.00000           O177500200087 
    7.00000    0.00000   22.00000    0.47000    9.00000           O177500200088 
    7.00000    0.00000   29.00000    0.42200    6.00000           O177500200089 
    7.00000    0.00000   36.90000    0.33200    4.00000           O177500200090 
    7.00000    0.00000   44.40000    0.24500    6.00000           O177500200091 
    7.00000    0.00000   51.80000    0.26500    6.00000           O177500200092 
    7.00000    0.00000   59.30000    0.27300    8.00000           O177500200093 
    7.00000    0.00000   66.70000    0.26600    7.00000           O177500200094 
    7.00000    0.00000   74.50000    0.26000    7.00000           O177500200095 
    7.00000    0.00000   81.20000    0.22100    6.00000           O177500200096 
    7.00000    0.00000   89.20000    0.13500    9.00000           O177500200097 
    7.00000    0.00000   96.20000    0.10500   10.00000           O177500200098 
    7.00000    0.00000  103.80000    0.07300   10.00000           O177500200099 
    7.00000    0.00000  112.10000    0.05600    7.00000           O177500200100 
    7.00000    0.00000  118.70000    0.05000   10.00000           O177500200101 
    7.00000    0.00000  126.50000    0.06000   12.00000           O177500200102 
    7.00000    0.39000    0.00000    0.03600    5.00000           O177500200103 
    7.00000    0.39000    5.80000    0.08000    9.00000           O177500200104 
    7.00000    0.39000    9.60000    0.02700    4.00000           O177500200105 
    7.00000    0.39000   13.10000    0.11100    9.00000           O177500200106 
    7.00000    0.39000   21.30000    0.09600   10.00000           O177500200107 
    7.00000    0.39000   28.60000    0.05800    7.00000           O177500200108 
    7.00000    0.39000   36.20000    0.03270    7.00000           O177500200109 
    7.00000    0.39000   43.60000    0.03700   11.00000           O177500200110 
    7.00000    0.39000   51.40000    0.03500   11.00000           O177500200111 
    7.00000    0.39000   58.70000    0.02000   20.00000           O177500200112 
    7.00000    1.52000    0.00000    0.03700   14.00000           O177500200113 
    7.00000    1.52000    7.10000    0.04000   18.00000           O177500200114 
    7.00000    1.52000   13.30000    0.09000   18.00000           O177500200115 
    7.00000    1.52000   20.90000    0.05900   17.00000           O177500200116 
    7.00000    1.52000   29.00000    0.03000   27.00000           O177500200117 
    7.00000    1.52000   36.60000    0.02000   25.00000           O177500200118 
    7.00000    1.78000    0.00000    0.20000   30.00000           O177500200119 
    7.00000    1.78000    7.50000    0.36000   30.00000           O177500200120 
    7.00000    1.78000   14.30000    0.54000   11.00000           O177500200121 
    7.00000    1.78000   22.20000    0.44000    9.00000           O177500200122 
    7.00000    1.78000   29.40000    0.30000   10.00000           O177500200123 
    7.00000    1.78000   37.30000    0.10000   30.00000           O177500200124 
    7.00000    3.37000    7.40000    0.07500   21.00000           O177500200125 
    7.00000    3.37000   14.30000    0.50400    5.00000           O177500200126 
    7.00000    3.37000   21.90000    1.09000    6.00000           O177500200127 
    7.00000    3.37000   29.30000    1.35300                      O177500200128 
    7.00000    3.37000   37.50000    1.37500                      O177500200129 
    7.00000    3.37000   43.80000    0.97000    6.00000           O177500200130 
    7.00000    3.37000   52.10000    0.82000    7.00000           O177500200131 
    7.00000    3.37000   59.20000    0.54000    6.00000           O177500200132 
    7.00000    3.37000   67.10000    0.45400    7.00000           O177500200133 
    7.00000    3.37000   74.60000    0.40700    5.00000           O177500200134 
    7.00000    3.37000   81.60000    0.39800    7.00000           O177500200135 
    7.00000    3.37000   89.00000    0.47000    6.00000           O177500200136 
    7.00000    3.37000   96.80000    0.41000    7.00000           O177500200137 
    7.00000    3.37000  104.30000    0.35400    8.00000           O177500200138 
    7.00000    3.37000  111.40000    0.21500    8.00000           O177500200139 
    7.00000    3.37000  118.90000    0.22400    6.00000           O177500200140 
    7.00000    3.37000  127.60000    0.17400    6.00000           O177500200141 
    7.00000    3.95000    0.00000    0.06000   50.00000           O177500200142 
    7.00000    3.95000    7.60000    0.05700   50.00000           O177500200143 
    7.00000    3.95000   14.30000    0.04100   70.00000           O177500200144 
    7.00000    3.95000   36.90000    0.06200   13.00000           O177500200145 
    7.00000    3.95000   52.40000    0.10700    9.00000           O177500200146 
    7.00000    3.95000   59.10000    0.10300    9.00000           O177500200147 
    7.00000    3.95000   67.40000    0.06700    9.00000           O177500200148 
    7.00000    3.95000   75.00000    0.04300    9.00000           O177500200149 
    7.00000    3.95000   82.00000    0.04500   12.00000           O177500200150 
    7.00000    3.95000   89.10000    0.03300   12.00000           O177500200151 
    7.00000    3.95000   97.50000    0.01880   11.00000           O177500200152 
    7.00000    3.95000  104.60000    0.01400   40.00000           O177500200153 
    7.00000    4.11000   21.50000    1.00000   30.00000           O177500200154 
    7.00000    4.11000   29.20000    0.37000   22.00000           O177500200155 
    7.00000    4.11000   36.50000    0.17000   24.00000           O177500200156 
    7.00000    4.11000   44.60000    0.07500   25.00000           O177500200157 
    7.00000    4.11000   51.90000    0.10900   15.00000           O177500200158 
    7.00000    4.11000   58.40000    0.13600   15.00000           O177500200159 
    7.00000    4.11000   73.90000    0.29200   10.00000           O177500200160 
    7.00000    4.11000   81.20000    0.15600   15.00000           O177500200161 
    7.00000    4.11000   88.90000    0.07600   14.00000           O177500200162 
    7.00000    4.11000   96.60000    0.03200   16.00000           O177500200163 
    7.00000    4.11000  103.50000    0.01400   50.00000           O177500200164 
    7.00000    4.11000  119.40000    0.04300   16.00000           O177500200165 
    7.00000    4.11000  126.30000    0.06400   11.00000           O177500200166 
    7.00000    5.18000    0.00000    0.77000    6.00000           O177500200167 
    7.00000    5.18000    7.70000    0.74000    8.00000           O177500200168 
    7.00000    5.18000   14.60000    0.57000    7.00000           O177500200169 
    7.00000    5.18000   22.70000    0.31000   13.00000           O177500200170 
    7.00000    5.18000   29.60000    0.08100   12.00000           O177500200171 
    7.00000    5.18000   36.90000    0.03500   11.00000           O177500200172 
    7.00000    5.18000   51.90000    0.04300   16.00000           O177500200173 
    7.00000    5.18000   59.70000    0.10200   19.00000           O177500200174 
    7.00000    5.18000   67.40000    0.03400   40.00000           O177500200175 
    7.00000    5.18000   89.30000    0.04700   50.00000           O177500200176 
    7.00000    5.18000   97.00000    0.02700   50.00000           O177500200177 
    7.00000    5.35000    0.00000    0.54000    6.00000           O177500200178 
    7.00000    5.35000    8.10000    0.48000    8.00000           O177500200179 
    7.00000    5.35000   15.40000    0.51000    8.00000           O177500200180 
    7.00000    5.35000   23.10000    0.30200    7.00000           O177500200181 
    7.00000    5.35000   30.40000    0.10200   13.00000           O177500200182 
    7.00000    5.35000   37.70000    0.07100   11.00000           O177500200183 
    7.00000    5.35000   53.20000    0.05200   40.00000           O177500200184 
    7.00000    5.35000   60.10000    0.14000    9.00000           O177500200185 
    7.00000    5.35000   67.40000    0.06900   28.00000           O177500200186 
    7.00000    5.35000   90.50000    0.04600   50.00000           O177500200187 
    7.00000    5.35000   97.80000    0.03200   60.00000           O177500200188 
    7.00000    5.49000    0.00000    1.14200    1.80000           O177500200189 
    7.00000    5.49000    8.90000    1.03000    8.00000           O177500200190 
    7.00000    5.49000   15.80000    0.90000    4.00000           O177500200191 
    7.00000    5.49000   24.30000    0.37500    5.00000           O177500200192 
    7.00000    5.49000   30.80000    0.07100   13.00000           O177500200193 
    7.00000    5.49000   38.50000    0.03000   23.00000           O177500200194 
    7.00000    5.49000   54.00000    0.08100   30.00000           O177500200195 
    7.00000    5.49000   60.90000    0.13200    7.00000           O177500200196 
