ENTRY            O2469   20200525                             O078O246900000001 
SUBENT        O2469001   20200525                             O078O246900100001 
BIB                 10         13                                 O246900100002 
TITLE      Differential cross section and polarization in         O246900100003 
            p-alpha scattering from 22 to 25 MeV                  O246900100004 
AUTHOR     (P.Darriulat, D.Garreta, A.Tarrats, J.Testoni)         O246900100005 
INSTITUTE  (2FR SAC)                                              O246900100006 
REFERENCE  (J,NP/A,108,316,1968)                                  O246900100007 
FACILITY   (CYCLO,2FR SAC) Saclay variable energy cyclotron       O246900100008 
SAMPLE     Helium gas at room temperature and under 4 atm with    O246900100009 
            the 6.1 mg and 12.6 mg havar foils as entrance and    O246900100010 
            exit walls                                            O246900100011 
DETECTOR   (SILI) Six independent Si(Li) counters                 O246900100012 
ERR-ANALYS (DATA-ERR) statistical and systematic errors           O246900100013 
STATUS     (TABLE) Table 1 of Nucl.Phys.A108(1968)316             O246900100014 
HISTORY    (20200525C) On+LV                                      O246900100015 
ENDBIB              13          0                                 O246900100016 
NOCOMMON             0          0                                 O246900100017 
ENDSUBENT           16          0                                 O246900199999 
SUBENT        O2469002   20200525                             O078O246900200001 
BIB                  1          1                                 O246900200002 
REACTION   (2-HE-4(P,EL)2-HE-4,,DA)                               O246900200003 
ENDBIB               1          0                                 O246900200004 
COMMON               2          3                                 O246900200005 
EN-ERR     EN-RSL                                                 O246900200006 
KEV        KEV                                                    O246900200007 
 50.        35.                                                   O246900200008 
ENDCOMMON            3          0                                 O246900200009 
DATA                 4        156                                 O246900200010 
ANG-CM     EN         DATA-CM    DATA-ERR                         O246900200011 
ADEG       MEV        MB/SR      PER-CENT                         O246900200012 
  25.0      22.15      168.8      3.3                             O246900200013 
  25.0      22.41      163.8      3.3                             O246900200014 
  25.0      22.74      165.3      3.6                             O246900200015 
  25.0      22.93      165.8      3.3                             O246900200016 
  25.0      23.06      170.8      3.3                             O246900200017 
  25.0      23.15      182.2      3.3                             O246900200018 
  25.0      23.25      201.6      3.2                             O246900200019 
  25.0      23.38      189.8      3.1                             O246900200020 
  25.0      23.59      172.0      3.2                             O246900200021 
  25.0      23.85      170.4      3.1                             O246900200022 
  25.0      24.04      168.4      3.6                             O246900200023 
  25.0      24.25      162.4      3.3                             O246900200024 
  25.0      24.78      159.3      3.4                             O246900200025 
  39.4      22.15      132.8      3.4                             O246900200026 
  39.4      22.41      133.4      3.3                             O246900200027 
  39.4      22.74      133.0      3.3                             O246900200028 
  39.4      22.93      133.3      3.3                             O246900200029 
  39.4      23.06      135.2      3.3                             O246900200030 
  39.4      23.15      138.2      3.2                             O246900200031 
  39.4      23.25      144.7      3.2                             O246900200032 
  39.4      23.38      140.3      3.3                             O246900200033 
  39.4      23.59      132.7      3.2                             O246900200034 
  39.4      23.85      130.1      3.1                             O246900200035 
  39.4      24.04      126.7      3.4                             O246900200036 
  39.4      24.25      125.9      3.3                             O246900200037 
  39.4      24.78      121.1      3.4                             O246900200038 
  55.0      22.15       89.9      3.3                             O246900200039 
  55.0      22.41       87.8      3.2                             O246900200040 
  55.0      22.74       86.6      3.3                             O246900200041 
  55.0      22.93       91.0      3.4                             O246900200042 
  55.0      23.06       86.6      3.1                             O246900200043 
  55.0      23.15       84.1      3.3                             O246900200044 
  55.0      23.25       84.3      3.2                             O246900200045 
  55.0      23.38       82.1      3.2                             O246900200046 
  55.0      23.59       80.2      3.2                             O246900200047 
  55.0      23.85       80.9      3.1                             O246900200048 
  55.0      24.04       78.1      3.2                             O246900200049 
  55.0      24.25       77.2      3.4                             O246900200050 
  55.0      24.78       74.2      3.4                             O246900200051 
  64.0      22.15       66.1      3.2                             O246900200052 
  64.0      22.41       63.8      3.2                             O246900200053 
  64.0      22.74       64.1      3.3                             O246900200054 
  64.0      22.93       61.9      3.3                             O246900200055 
  64.0      23.06       61.7      3.2                             O246900200056 
  64.0      23.15       59.1      3.2                             O246900200057 
  64.0      23.25       61.1      3.2                             O246900200058 
  64.0      23.38       56.7      3.1                             O246900200059 
  64.0      23.59       55.7      3.1                             O246900200060 
  64.0      23.85       56.5      3.1                             O246900200061 
  64.0      24.04       56.8      3.3                             O246900200062 
  64.0      24.25       55.5      3.2                             O246900200063 
  64.0      24.78       53.2      3.4                             O246900200064 
  77.3      22.15       37.1      3.5                             O246900200065 
  77.3      22.41       35.7      3.5                             O246900200066 
  77.3      22.74       34.2      4.1                             O246900200067 
  77.3      22.93       35.8      3.5                             O246900200068 
  77.3      23.06       34.0      3.3                             O246900200069 
  77.3      23.15       31.0      3.3                             O246900200070 
  77.3      23.25       28.1      3.3                             O246900200071 
  77.3      23.38       27.5      3.2                             O246900200072 
  77.3      23.59       28.3      3.2                             O246900200073 
  77.3      23.85       29.3      3.1                             O246900200074 
  77.3      24.04       28.2      3.5                             O246900200075 
  77.3      24.25       28.5      3.4                             O246900200076 
  77.3      24.78       27.5      3.3                             O246900200077 
  90.3      22.15       18.0      3.6                             O246900200078 
  90.3      22.41       17.1      3.9                             O246900200079 
  90.3      22.74       17.0      3.6                             O246900200080 
  90.3      22.93       16.6      3.7                             O246900200081 
