ENTRY            O1146   20140205                             O052O114600000001 
SUBENT        O1146001   20140205                             O052O114600100001 
BIB                 10         26                                 O114600100002 
TITLE      Neutron and light charged particle productions in      O114600100003 
           proton induced reactions on Pb-208 at 62.9-MeV.        O114600100004 
AUTHOR     (A.Guertin, N.Marie, S.Auduc, V.Blideanu, Th.Delbar,   O114600100005 
           P.Eudes, Y.Foucher, F.Haddad, T.Kirchner, Ch.Le Brun,  O114600100006 
           C.Lebrun, F.R.Lecolley, J.F.Lecolley, X.Ledoux,        O114600100007 
           F.Lefebvres, T.Lefort, M.Louvel, A.Ninane, Y.Patin,    O114600100008 
           Ph.Pras, G.Riviere, C.Varignon)                        O114600100009 
INSTITUTE  (2FR NTE) Nantes CEDEX, Laboratoire Subatech           O114600100010 
           (2FR CAE)                                              O114600100011 
           (2FR BRC)                                              O114600100012 
           (2BLGLVN)                                              O114600100013 
           (2NEDRCN)                                              O114600100014 
REFERENCE  (J,EPJ/A,23,49,2005)                                   O114600100015 
           (W,MARIE,20040315) All data were taken from it.        O114600100016 
SAMPLE     An enriched Pb-208 target, of 10.7 mg/cm**2 thick,     O114600100017 
           was used.                                              O114600100018 
ADD-RES    (COMP) Theoretical calculations MCNPX, FLUKA, TALYS.   O114600100019 
FACILITY   (CYCLO,2BLGLVN)                                        O114600100020 
STATUS     (TABLE) Tables were received from M.Kellett.           O114600100021 
COMMENT    - By compiler. Zeros values were excluded from         O114600100022 
           authors' tables.                                       O114600100023 
HISTORY    (20040318C)                                            O114600100024 
           (20050311A) Reference and authors' list are corrected. O114600100025 
           (20050523U) Last checking has been done.               O114600100026 
           (20140205A) SD: Authors' name corrected. Subents  20-25O114600100027 
           were added.                                            O114600100028 
ENDBIB              26          0                                 O114600100029 
COMMON               1          3                                 O114600100030 
EN                                                                O114600100031 
MEV                                                               O114600100032 
       62.9                                                       O114600100033 
ENDCOMMON            3          0                                 O114600100034 
ENDSUBENT           33          0                                 O114600199999 
SUBENT        O1146002   20040411                             0000O114600200001 
BIB                  5         13                                 O114600200002 
REACTION   (82-PB-208(P,X)1-H-1,EM,DA/DE)                         O114600200003 
EN-SEC     (E,P)                                                  O114600200004 
METHOD     (EDE)                                                  O114600200005 
DETECTOR   (TELES,SOLST,SOLST,CSICR) Seven triple telescopes.     O114600200006 
           Each telescope consisted of two silicon detectors,     O114600200007 
           80-mum thick and 300 or 500-mum thick, backed by a one O114600200008 
           inch diameter and 80-mm thick CsI(Tl) crystal.         O114600200009 
ERR-ANALYS (ERR-1) The systematic error is derived                O114600200010 
           from:                                                  O114600200011 
           (ERR-2) Beam monitoring-5%,                            O114600200012 
           (ERR-3) Solid angle corrections-1%,                    O114600200013 
           (ERR-4) Number of target nuclei-3%.                    O114600200014 
           (ERR-S) The statistical error is given by authors.     O114600200015 
ENDBIB              13          0                                 O114600200016 
COMMON               4          3                                 O114600200017 
ERR-1      ERR-2      ERR-3      ERR-4                            O114600200018 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         O114600200019 
         6.         5.         1.         3.                      O114600200020 
ENDCOMMON            3          0                                 O114600200021 
DATA                 4        645                                 O114600200022 
E          ANG        DATA       ERR-S                            O114600200023 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        O114600200024 
         4.        25.   1.34E-02    5.2E-04                      O114600200025 
         4.        35.   5.53E-03   3.02E-04                      O114600200026 
         4.        65.   6.28E-03   3.56E-04                      O114600200027 
         4.        75.   7.15E-03    3.4E-04                      O114600200028 
         4.        85.   2.13E-02   6.47E-04                      O114600200029 
         4.        95.   1.08E-02   3.78E-04                      O114600200030 
         5.        25.   6.39E-01   3.59E-03                      O114600200031 
         5.        35.   2.45E-01   1.99E-03                      O114600200032 
         5.        45.   8.65E-02   1.31E-03                      O114600200033 
         5.        55.    7.5E-02    1.1E-03                      O114600200034 
         5.        65.   1.09E-01   1.46E-03                      O114600200035 
         5.        75.   1.03E-01   1.29E-03                      O114600200036 
         5.        85.    8.3E-02   1.28E-03                      O114600200037 
         5.        95.   9.67E-02    1.5E-03                      O114600200038 
         5.       115.   2.86E-02   1.43E-03                      O114600200039 
         5.       135.   4.47E-02                                 O114600200040 
         6.        25.   7.68E-01   3.93E-03                      O114600200041 
         6.        35.   3.98E-01    2.2E-03                      O114600200042 
         6.        45.   1.72E-01   1.84E-03                      O114600200043 
         6.        55.   1.47E-01   1.55E-03                      O114600200044 
         6.        65.   1.37E-01   1.65E-03                      O114600200045 
         6.        75.   1.18E-01   1.38E-03                      O114600200046 
         6.        85.   1.14E-01    1.5E-03                      O114600200047 
         6.        95.   1.28E-01   1.68E-03                      O114600200048 
         6.       115.   6.71E-02   2.24E-03                      O114600200049 
         6.       135.   7.07E-02                                 O114600200050 
         7.        25.    9.3E-01   4.33E-03                      O114600200051 
         7.        35.   4.78E-01   2.47E-03                      O114600200052 
         7.        45.   2.26E-01   2.11E-03                      O114600200053 
         7.        55.   1.94E-01   1.77E-03                      O114600200054 
         7.        65.   2.02E-01   1.99E-03                      O114600200055 
         7.        75.   1.69E-01   1.65E-03                      O114600200056 
         7.        85.   2.22E-01   1.58E-03                      O114600200057 
         7.        95.   1.43E-01   1.91E-03                      O114600200058 
         7.       115.   1.13E-01   2.92E-03                      O114600200059 
         7.       135.    8.9E-02   1.13E-03                      O114600200060 
         7.       155.   1.16E-01   9.74E-04                      O114600200061 
         8.        25.       1.12   4.75E-03                      O114600200062 
         8.        35.   6.01E-01   2.84E-03                      O114600200063 
         8.        45.   3.39E-01   2.16E-03                      O114600200064 
         8.        55.   3.14E-01   1.87E-03                      O114600200065 
         8.        65.    2.9E-01   2.39E-03                      O114600200066 
         8.        75.   2.49E-01   2.01E-03                      O114600200067 
         8.        85.    3.3E-01    1.6E-03                      O114600200068 
         8.        95.    2.2E-01   2.39E-03                      O114600200069 
         8.       115.   1.35E-01   3.27E-03                      O114600200070 
         8.       135.   1.31E-01   1.34E-03                      O114600200071 
         8.       155.   1.53E-01   1.16E-03                      O114600200072 
         9.        25.       1.27   4.86E-03                      O114600200073 
         9.        35.   7.37E-01   3.21E-03                      O114600200074 
         9.        45.   4.45E-01    2.2E-03                      O114600200075 
         9.        55.   4.24E-01    1.9E-03                      O114600200076 
         9.        65.    3.6E-01   2.66E-03                      O114600200077 
         9.        75.   3.07E-01   2.23E-03                      O114600200078 
         9.        85.   4.38E-01   2.17E-03                      O114600200079 
         9.        95.   3.17E-01   2.83E-03                      O114600200080 
         9.       115.   2.67E-01   3.48E-03                      O114600200081 
