ENTRY            O2514   20210222                             O083O2514  0    1 
SUBENT        O2514001   20210222                             O083O2514  1    1 
BIB                 10         42                                 O2514  1    2 
TITLE      Measurement of Deuteron carbon vector analyzing        O2514  1    3 
            powers in the kinetic energy range 170-380 MeV        O2514  1    4 
AUTHOR     (F.Mueller, M.zurek, Z.Bagdasarian, L.Barion, M.Berz,  O2514  1    5 
            I.Ciepal, G.Ciullo, S.Dymov, D.Eversmann, M.Gaisser,  O2514  1    6 
            R.Gebel, K.Grigoryev, D.Grzonka, V.Hejny,             O2514  1    7 
            N.Hempelmann, J.Hetzel, F.Hinder, A.Kacharava,        O2514  1    8 
            V.Kamerdzhiev, I.Keshelashvili, I.Koop, A.Kulikov,    O2514  1    9 
            A.Lehrach, P.Lenisa, N.Lomidze, B.Lorentz, P.Maanen,  O2514  1   10 
            G.Macharashvili, A.Magiera, D.Mchedlishvili, A.Nass,  O2514  1   11 
            N.N.Nikolaev, A.Pesce, D.Prasuhn, J.Pretz, F.Rathmann,O2514  1   12 
            V.Rolando, M.Rosenthal, A.Saleev, V.Schmidt,          O2514  1   13 
            Y.Senichev, D.Shergelashvili, V.Shmakova, A.Silenko,  O2514  1   14 
            J.Slim, H.Soltner, A.Stahl, R.Stassen, E.Stephenson,  O2514  1   15 
            H.Stroeher, M.Tabidze, G.Tagliente, R.Talman,         O2514  1   16 
            F.Trinkel, Yu.Uzikov, Yu.Valdau, E.Valetov,           O2514  1   17 
            C.Weidemann, A.Wronska, P.Wuestner)                   O2514  1   18 
INSTITUTE  (2GERJUL,2GERTHA,1USAMSU,3POLIFJ,4ZZZDUB,4RUSSIB,      O2514  1   19 
           4GRGTGU,3POLUJK,4BLRPCB,1USAINU,2ITYBAU,1USACOR,       O2514  1   20 
           4RUSMOS)                                               O2514  1   21 
           (4RUSRUS) L.D. Landau Institute for Theoretical        O2514  1   22 
           Physics, Chernogolovka, Russia                         O2514  1   23 
           (4RUSRUS) Moscow Institute for Physics and Technology, O2514  1   24 
           Dolgoprudny, Russia                                    O2514  1   25 
           (4RUSRUS) Dubna State University, 141980 Dubna, Russia O2514  1   26 
REFERENCE  (J,EPJ/A,56,211,2020)                                  O2514  1   27 
           #doi:10.1140/epja/s10050-020-00215-8                   O2514  1   28 
FACILITY   (SYNCH,2GERJUL)                                        O2514  1   29 
INC-SOURCE (POLIS) Three beam polarization states:                O2514  1   30 
            - unpolarized (P0);                                   O2514  1   31 
            - upwards polarized in the laboratory frame along the O2514  1   32 
           vertical axis (55.4 +- 6.5)%;                          O2514  1   33 
            - downwards polarized along the vertical axis         O2514  1   34 
            (37.4 +- 4.0)%.                                       O2514  1   35 
SAMPLE     A thin needle-shaped diamond target.                   O2514  1   36 
DETECTOR   (SCIN) WASA detector (Wide Angle Shower Apparatus)     O2514  1   37 
           WASA forward detector consists of five thick hodoscope O2514  1   38 
           layers composed of pizza shaped plastic scintillators  O2514  1   39 
           for energy measurement.                                O2514  1   40 
ERR-ANALYS (ERR-SYS) The systematic errors are mainly due to the  O2514  1   41 
           error in the polarization measurement - 10%.           O2514  1   42 
           (ERR-S) The statistical errors.                        O2514  1   43 
HISTORY    (20210222C) VS                                         O2514  1   44 
ENDBIB              42          0                                 O2514  1   45 
COMMON               1          3                                 O2514  1   46 
ERR-SYS                                                           O2514  1   47 
PER-CENT                                                          O2514  1   48 
        10.                                                       O2514  1   49 
ENDCOMMON            3          0                                 O2514  1   50 
ENDSUBENT           49          0                                 O2514  199999 
SUBENT        O2514002   20210222                             O083O2514  2    1 
BIB                  2          2                                 O2514  2    2 
REACTION   (6-C-12(D,EL)6-C-12,,POL/DA,,ANA/AV)                   O2514  2    3 
STATUS     (TABLE) Table 2 of Eur.Phys.J.A56(2020)211             O2514  2    4 
ENDBIB               2          0                                 O2514  2    5 
NOCOMMON             0          0                                 O2514  2    6 
DATA                 5        196                                 O2514  2    7 
EN         ANG-MIN    ANG-MAX    DATA       ERR-S                 O2514  2    8 
MEV        ADEG       ADEG       NO-DIM     NO-DIM                O2514  2    9 
       170.       2.45       2.95      0.076      0.001           O2514  2   10 
       170.       2.95       3.45      0.074      0.001           O2514  2   11 
       170.       3.45       3.95      0.066      0.001           O2514  2   12 
       170.       3.95       4.45      0.065      0.001           O2514  2   13 
       170.       4.45       4.95      0.064      0.001           O2514  2   14 
       170.       4.95       5.45      0.067      0.001           O2514  2   15 
       170.       5.45       5.95      0.069      0.001           O2514  2   16 
       170.       5.95       6.45      0.069      0.001           O2514  2   17 
       170.       6.45       6.95      0.071      0.001           O2514  2   18 
       170.       6.95       7.45      0.077      0.001           O2514  2   19 
       170.       7.45       7.95      0.083      0.001           O2514  2   20 
       170.       7.95       8.45      0.088      0.001           O2514  2   21 
       170.       8.45       8.95      0.097      0.001           O2514  2   22 
       170.       8.95       9.45      0.105      0.001           O2514  2   23 
       170.       9.45       9.95       0.12      0.002           O2514  2   24 
       170.       9.95      10.45      0.139      0.002           O2514  2   25 
       170.      10.45      10.95      0.163      0.002           O2514  2   26 
       170.      10.95      11.45      0.196      0.002           O2514  2   27 
       170.      11.45      11.95       0.24      0.003           O2514  2   28 
       170.      11.95      12.45      0.301      0.003           O2514  2   29 
       170.      12.45      12.95      0.371      0.003           O2514  2   30 
       170.      12.95      13.45      0.438      0.003           O2514  2   31 
       170.      13.45      13.95      0.515      0.004           O2514  2   32 
       170.      13.95      14.45      0.556      0.004           O2514  2   33 
       170.      14.45      14.95      0.592      0.004           O2514  2   34 
       170.      14.95      15.45      0.596      0.004           O2514  2   35 
       170.      15.45      15.95      0.595      0.004           O2514  2   36 
       170.      15.95      16.45      0.563      0.004           O2514  2   37 
       200.       2.45       2.95      0.099      0.001           O2514  2   38 
       200.       2.95       3.45        0.1      0.001           O2514  2   39 
       200.       3.45       3.95      0.094      0.001           O2514  2   40 
       200.       3.95       4.45        0.1      0.001           O2514  2   41 
       200.       4.45       4.95      0.104      0.001           O2514  2   42 
       200.       4.95       5.45      0.103      0.001           O2514  2   43 
       200.       5.45       5.95       0.11      0.001           O2514  2   44 
       200.       5.95       6.45       0.12      0.001           O2514  2   45 
       200.       6.45       6.95       0.13      0.001           O2514  2   46 
       200.       6.95       7.45      0.137      0.001           O2514  2   47 
       200.       7.45       7.95      0.151      0.001           O2514  2   48 
       200.       7.95       8.45      0.162      0.001           O2514  2   49 
       200.       8.45       8.95      0.185      0.001           O2514  2   50 
       200.       8.95       9.45      0.208      0.002           O2514  2   51 
       200.       9.45       9.95      0.243      0.002           O2514  2   52 
       200.       9.95      10.45      0.283      0.002           O2514  2   53 
       200.      10.45      10.95      0.337      0.002           O2514  2   54 
       200.      10.95      11.45      0.404      0.003           O2514  2   55 
       200.      11.45      11.95      0.477      0.003           O2514  2   56 
       200.      11.95      12.45      0.561      0.003           O2514  2   57 
       200.      12.45      12.95      0.642      0.004           O2514  2   58 
       200.      12.95      13.45      0.688      0.004           O2514  2   59 
       200.      13.45      13.95       0.72      0.004           O2514  2   60 
       200.      13.95      14.45      0.715      0.004           O2514  2   61 
       200.      14.45      14.95        0.7      0.004           O2514  2   62 
       200.      14.95      15.45      0.673      0.004           O2514  2   63 
       200.      15.45      15.95      0.653      0.005           O2514  2   64 
       200.      15.95      16.45      0.625      0.005           O2514  2   65 
       235.       2.45       2.95      0.131      0.001           O2514  2   66 
       235.       2.95       3.45      0.138      0.001           O2514  2   67 
       235.       3.45       3.95      0.139      0.001           O2514  2   68 
       235.       3.95       4.45       0.14      0.001           O2514  2   69 
       235.       4.45       4.95       0.15      0.001           O2514  2   70 
       235.       4.95       5.45      0.164      0.001           O2514  2   71 
       235.       5.45       5.95      0.176      0.001           O2514  2   72 
       235.       5.95       6.45      0.197      0.001           O2514  2   73 
       235.       6.45       6.95      0.217      0.001           O2514  2   74 
       235.       6.95       7.45      0.233      0.001           O2514  2   75 
       235.       7.45       7.95      0.259      0.001           O2514  2   76 
