ENTRY            O1417   20070605                             O028O141700000001 
SUBENT        O1417001   20070605                             O028O141700100001 
BIB                 13         51                                 O141700100002 
TITLE      Light charged particle and neutron production in       O141700100003 
           proton- and alpha-particle-induced reactions on nat-Si O141700100004 
           at energies between 20 and 65 MeV                      O141700100005 
AUTHOR     (Ch.Dufauquez, Y.El Masri, V.Roberfroid, J.Cabreraa,   O141700100006 
           Th.Keutgen, J.Vanmol, P.Demetriou, R.Charity)          O141700100007 
INSTITUTE  (2BLGLVN) Fnrs and institute of nuclear physics.       O141700100008 
           (1USAWAS) Department of chemistry.                     O141700100009 
REFERENCE  (J,NP/A,773,24,2006)                                   O141700100010 
REL-REF    (R,,I.TILQUIN+,J,NIM/A,365,446,1995)  Demon counter.   O141700100011 
           (N,O1296001,P.DEMETRIOU+,J,PR/C,72,034607,2005)        O141700100012 
            Angle-integrated energy spectra                       O141700100013 
SAMPLE     A 215 mug/cm2 self-supporting foil of nat-Si of 18 mm  O141700100014 
           diameter. The target holder was set at a potential of  O141700100015 
           +18-kv to suppress secondary electron emission.        O141700100016 
DETECTOR   (TELES,SI,SI,SI) Light charged particlts emitted at    O141700100017 
           backward angles were detected and identified in seven  O141700100018 
           triple-Si E-delta-E telescopes. The Si-detectors with  O141700100019 
           thicknesses of 85, 706, and 706-mum, respectively.     O141700100020 
           (TELES,SI,SI) At forward angles, light charged         O141700100021 
           particles were detected in eight E-delta-E telescopes. O141700100022 
           (TELES,SI,CSICR) The telescopes were used for the firstO141700100023 
           experiment with the proton beams at forward angles.    O141700100024 
           The Si delta-E element was 40 mum thick and of 20 mm   O141700100025 
           active diameter.  This was followed by a 33 mm-thick   O141700100026 
           Cs(I) crystal of 15 mm diameter.                       O141700100027 
           (SCIN) Neutrons emitted in coincidence with charged    O141700100028 
           particles were detected in up to 81 Demon counters.    O141700100029 
           Each counter, consisting of an active volume of 16 cm  O141700100030 
           diameter by 20 cm depth, is filled with Ne213          O141700100031 
           liquid scintillator.  These detectors were mounted     O141700100032 
           outside the scattering chamber and were arranged in a  O141700100033 
           4-pi geometry                                          O141700100034 
FACILITY   (CYCLO,2BLGLVN)                                        O141700100035 
           The beams were chopped to produce a macro-time         O141700100036 
           structure of one beam pulse every 500 nanoseconds and  O141700100037 
           thus allow the detection of very long time-of-flight   O141700100038 
           events (especially neutrons).                          O141700100039 
METHOD     (SITA)                                                 O141700100040 
           (BCINT) Electron emission from this faraday cup was    O141700100041 
           suppressed by a guard electrode.                       O141700100042 
CORRECTION The dead time of acquisition data system was very      O141700100043 
           severely controlled and kept below 10% even though     O141700100044 
           related corrections were applied to the data.          O141700100045 
STATUS     (TABLE) From the authors.                              O141700100046 
HISTORY    (20070219C)                                            O141700100047 
           (20060626R) Data tables were received from             O141700100048 
            Th.Keutgen.                                           O141700100049 
           (20070605A) SF5 in subentry 002 is corrected according O141700100050 
             N.Otsuka remarks.                                    O141700100051 
           (20070605U) Last checking has been done.               O141700100052 
ERR-ANALYS (DATA-ERR) An analysis is not given.                   O141700100053 
ENDBIB              51          0                                 O141700100054 
NOCOMMON             0          0                                 O141700100055 
ENDSUBENT           54          0                                 O141700199999 
SUBENT        O1417002   20070605                             O028O141700200001 
BIB                  4          4                                 O141700200002 
REACTION   (14-SI-0(P,X)1-H-1,,DA/DE)                             O141700200003 
PART-DET   (P)                                                    O141700200004 
EN-SEC     (E,P)                                                  O141700200005 
ADD-RES    (COMP) Gnash prediction in laboratory frame.           O141700200006 
ENDBIB               4          0                                 O141700200007 
NOCOMMON             0          0                                 O141700200008 
DATA                 5       7053                                 O141700200009 
EN         ANG        E          DATA       DATA-ERR              O141700200010 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             O141700200011 
       26.5        60.       2.55    7.79102    0.07838           O141700200012 
       26.5        60.       2.85    8.86935    0.08362           O141700200013 
       26.5        60.       3.15    9.53302     0.0867           O141700200014 
       26.5        60.       3.45    9.34691    0.08585           O141700200015 
       26.5        60.       3.75    9.38221    0.08601           O141700200016 
       26.5        60.       4.05    9.27854    0.08553           O141700200017 
       26.5        60.       4.35    8.87014    0.08363           O141700200018 
       26.5        60.       4.65    8.37457    0.08126           O141700200019 
       26.5        60.       4.95    7.86173    0.07873           O141700200020 
       26.5        60.       5.25     7.3646     0.0762           O141700200021 
       26.5        60.       5.55      7.089    0.07476           O141700200022 
       26.5        60.       5.85    6.75609    0.07299           O141700200023 
       26.5        60.       6.15    6.22113    0.06407           O141700200024 
       26.5        60.       6.45    5.70282    0.06407           O141700200025 
       26.5        60.       6.75    5.15328    0.06407           O141700200026 
       26.5        60.       7.05     4.7822    0.06407           O141700200027 
       26.5        60.       7.35    4.55518    0.06407           O141700200028 
       26.5        60.       7.65    4.10534    0.06407           O141700200029 
       26.5        60.       7.95    3.85832    0.05514           O141700200030 
       26.5        60.       8.25    3.52498     0.0527           O141700200031 
       26.5        60.       8.55    3.39034    0.05168           O141700200032 
       26.5        60.       8.85    3.11406    0.04953           O141700200033 
       26.5        60.       9.15     2.7633    0.04665           O141700200034 
       26.5        60.       9.45    2.79658    0.04693           O141700200035 
       26.5        60.       9.75    2.48411    0.04423           O141700200036 
       26.5        60.      10.05    2.34903    0.04301           O141700200037 
       26.5        60.      10.35    2.15272    0.04117           O141700200038 
       26.5        60.      10.65    2.11761    0.04083           O141700200039 
       26.5        60.      10.95    2.05407    0.04021           O141700200040 
       26.5        60.      11.25    1.97633    0.03944           O141700200041 
       26.5        60.      11.55    2.14711    0.04111           O141700200042 
       26.5        60.      11.85    2.06146    0.04028           O141700200043 
       26.5        60.      12.15    1.93733    0.03905           O141700200044 
       26.5        60.      12.45    1.77219    0.03735           O141700200045 
       26.5        60.      12.75    1.70143    0.03659           O141700200046 
       26.5        60.      13.05    1.58986    0.03537           O141700200047 
       26.5        60.      13.35    1.47107    0.03402           O141700200048 
       26.5        60.      13.65    1.50333    0.03439           O141700200049 
       26.5        60.      13.95    1.44363     0.0337           O141700200050 
       26.5        60.      14.25    1.38699    0.03304           O141700200051 
       26.5        60.      14.55    1.27841    0.03172           O141700200052 
       26.5        60.      14.85    1.18324    0.03051           O141700200053 
       26.5        60.      15.15    1.25169    0.03138           O141700200054 
       26.5        60.      15.45      1.376     0.0329           O141700200055 
       26.5        60.      15.75     1.4964    0.03431           O141700200056 
       26.5        60.      16.05    1.49091    0.03425           O141700200057 
       26.5        60.      16.35    1.50115    0.03437           O141700200058 
       26.5        60.      16.65    1.23521    0.03117           O141700200059 
       26.5        60.      16.95    1.07708    0.02911           O141700200060 
       26.5        60.      17.25    0.93544    0.02713           O141700200061 
       26.5        60.      17.55    0.91737    0.02687           O141700200062 
       26.5        60.      17.85     1.0047    0.02812           O141700200063 
       26.5        60.      18.15    1.42328    0.03346           O141700200064 
       26.5        60.      18.45    2.29893    0.04253           O141700200065 
       26.5        60.      18.75    2.68676    0.04598           O141700200066 
       26.5        60.      19.05    2.74655    0.04649           O141700200067 
       26.5        60.      19.35    1.88748    0.03854           O141700200068 
       26.5        60.      19.65    0.61132    0.02193           O141700200069 
       26.5        60.      19.95    0.39575    0.01765           O141700200070 
       26.5        60.      20.25    0.45003    0.01882           O141700200071 
       26.5        60.      20.55    0.67583    0.02306           O141700200072 
       26.5        60.      20.85    0.81273    0.02529           O141700200073 
